YEAR,WEEK,flu_season_year,flu_weekid,holiday_effect,date,ILI+,ILI_weight,pos,ILI_est,beta,S,I,R,gamma,xi,total_inf,ILI_growth_rate,diff_spike,status,ili_status,SIR,ILI*beta,SIR_new,I_gr,SIR_gr,ILI_est_gr,beta_gr,beta_diff2,mean_2,max_2,min_2,avg_2,ILI,ILI_diff,diff_mean_4,diff_std_4,diff_max_4,seq_diff2,diff_mean_4_est,diff_std_4_est,diff_max_4_est,seq_diff2_est,beta_lag1,ILI_lag1,beta_lag2,ILI_lag2,beta_lag3,ILI_lag3,sin_week,cos_week,beta_lag1_gr,ILI_lag1_gr,time_idx,time_sin,time_cos,decay_distance
2002,40,2002,49,0,2002-10-06,0.0,1.22262,0.0,0.11072081521274602,0.03584964289680769,99888.42171679303,22.633583314815425,88.94469989219112,0.2501000209787466,0.005504762261093345,2.9383173815328587,0.0,0,1,0,81050.0526561302,0.0,3580.9642480727607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,,,-0.35460488704253595,0.9350162426854147,0.0,0.0,0,0.0,1.0,0.0
2002,41,2002,50,0,2002-10-13,0.0263699406723796,1.33344,0.001977587343441,0.04274158961107886,0.05026557420422973,99879.11034434305,8.165324675900527,112.7243309810375,0.25005188195856837,0.005502081967139842,1.544889407081874,0.0263699406723796,0,1,0,40993.85602622045,0.0013255002096286325,5020.480832466024,-14.468258638914898,-40056.19662990975,-0.06797922560166716,0.014415931307422039,0.014415931307422039,0.0131849703361898,0.0263699406723796,0.03584964289680769,0.05026557420422973,0.0131849703361898,0.0131849703361898,3.0,0.0,0.0,0.0263699406723796,3.0,0.0,0.0,-0.06797922560166716,0.03584964289680769,0.0,,,,,-0.2393156642875578,0.970941817426052,0.0,0.0,1,0.005306719439636847,0.9999859192652609,0.0
2002,42,2002,51,0,2002-10-20,0.0,1.31929,0.0,0.028820344485728202,0.0599354021593053,99866.62336568671,6.669935076196805,126.70669923706478,0.24982959845414232,0.005500635747024804,1.545616444593335,-0.0263699406723796,0,1,0,39923.20477444874,0.0,5985.546233714308,-1.4953895997037217,-1070.6512517717056,-0.013921245125350656,0.009669827955075566,-0.004746103352346473,0.0131849703361898,0.0263699406723796,0.05026557420422973,0.0599354021593053,0.0131849703361898,0.0,0.0,0.0263699406723796,0.0263699406723796,-0.0527398813447592,-0.027300156909005942,0.03591016901570797,0.0,0.054057980476316506,0.05026557420422973,0.0263699406723796,0.03584964289680769,0.0,,,-0.12053668025532363,0.992708874098054,0.014415931307422039,0.0263699406723796,2,0.010613289434256165,0.999943677457578,0.0
2002,43,2002,52,0,2002-10-27,0.0505582863585112,1.49484,0.0033821871476888,0.032091644624995766,0.07113645172538226,99850.89135870869,6.439583170946359,142.6690581202101,0.24981664812184012,0.005506759632967448,1.8265225469436785,0.0505582863585112,0,1,0,45740.60469426152,0.0035965370968602845,7103.038112875169,-0.2303519052504459,5817.3999198127785,0.003271300139267564,0.01120104956607696,0.0015312216110013946,0.0252791431792556,0.0505582863585112,0.0599354021593053,0.07113645172538226,0.0252791431792556,0.0120941728430658,0.016852762119503734,0.03933726660858072,0.0505582863585112,0.0769282270308908,-0.02620972352925009,0.03718083351274185,0.003271300139267564,0.01719254526461822,0.0599354021593053,0.0,0.05026557420422973,0.0263699406723796,0.03584964289680769,0.0,6.432490598706546e-16,1.0,0.009669827955075566,-0.0263699406723796,3,0.01591956054304902,0.9998732757665424,0.0
2002,44,2003,1,0,2002-11-03,0.053983496332517,1.47195,0.0036674816625916,0.03729095580617524,0.07934515590322241,99837.080810357,6.228293805025645,156.69089583853562,0.2497387299319725,0.005500843874508729,2.016362020762299,0.003425209974005798,0,1,0,49337.98208664083,0.004283328932704597,7921.588741820391,-0.211289365920714,3597.3773923793124,0.005199311181179472,0.008208704177840156,-0.0029923453882368042,0.0522708913455141,0.053983496332517,0.07113645172538226,0.07934515590322241,0.0522708913455141,0.026991748166258503,0.009204518553379133,0.038788378855925176,0.0505582863585112,-0.0471330763845054,-0.001816877934967873,0.010526921936356563,0.005199311181179472,0.0019280110419119083,0.07113645172538226,0.0505582863585112,0.0599354021593053,0.0,0.05026557420422973,0.0263699406723796,0.12053668025532305,0.992708874098054,0.01120104956607696,0.0505582863585112,4,0.021225383333623535,0.9997747161747694,-0.001953125
2002,45,2003,2,0,2002-11-10,0.0397620724346067,1.58094,0.0025150905432595,0.04223091521367509,0.0870764931770838,99824.93714224394,6.09437610750425,168.96848164900487,0.24984745446980428,0.00549116067549313,2.212133074677827,-0.014221423897910299,0,1,0,52974.7881397884,0.003462341829058742,8692.405457969424,-0.1339176975213947,3636.806053147564,0.004939959407499854,0.007731337273861383,-0.0004773669039787737,0.04687278438356185,0.053983496332517,0.07934515590322241,0.0870764931770838,0.04687278438356185,-0.005398106961952254,0.0132540241448689,0.0334896537191787,0.0505582863585112,-0.017646633871916097,0.004470190242648963,0.0010463359621159661,0.005199311181179472,-0.0002593517736796183,0.07934515590322241,0.053983496332517,0.07113645172538226,0.0505582863585112,0.0599354021593053,0.0,0.23931566428755774,0.970941817426052,0.008208704177840156,0.003425209974005798,5,0.026530608386213142,0.9996480014578418,-0.00390625
2002,46,2003,3,0,2002-11-17,0.070918841955386,1.49426,0.0047460844803037,0.04344495064910459,0.09267549662065754,99813.15855024627,5.9366030450531015,180.90484670827334,0.24989152821676397,0.005486557187737056,2.329732731232316,0.031156769520779302,0,1,0,54914.967556972704,0.006572438897977322,9250.234037920503,-0.15777306245114886,1940.1794171843067,0.0012140354354295002,0.0055990034435737385,-0.0021323338302876443,0.05534045719499635,0.070918841955386,0.0870764931770838,0.09267549662065754,0.05534045719499635,0.008467672811434498,0.006786851865624934,0.02287510845092581,0.031156769520779302,0.0453781934186896,0.003784435341369609,0.002229805505637305,0.005199311181179472,-0.003725923972070354,0.0870764931770838,0.0397620724346067,0.07934515590322241,0.053983496332517,0.07113645172538226,0.0505582863585112,0.3546048870425356,0.9350162426854148,0.007731337273861383,-0.014221423897910299,6,0.031835086297884445,0.9994931351842324,-0.0078125
2002,47,2003,4,0,2002-11-24,0.1478966044954557,1.40569,0.010521281683405,0.046530007717764256,0.09780464874774847,99803.04804076228,6.3946813411576,190.5572778971237,0.24995638724708433,0.005465637296269298,2.6868716282195693,0.07697776254006969,0,1,0,62419.77666488508,0.014464975453662722,9761.20205758142,0.4580782961044987,7504.809107912377,0.0030850570686596634,0.005129152127090933,-0.00046985131648280554,0.10940772322542085,0.1478966044954557,0.09267549662065754,0.09780464874774847,0.10940772322542085,0.0540672660304245,0.031304369387646226,0.04559977237912358,0.07697776254006969,0.045820993019290386,0.0030796839705296724,0.0018629677973732736,0.004939959407499854,0.0018710216332301632,0.09267549662065754,0.070918841955386,0.0870764931770838,0.0397620724346067,0.07934515590322241,0.053983496332517,0.4647231720437685,0.8854560256532099,0.0055990034435737385,0.031156769520779302,7,0.037138667686744634,0.9993101217152028,-0.015625
2002,48,2003,5,0,2002-12-01,0.12742894736842,1.6141,0.0078947368421052,0.046445662034270814,0.10148598644420456,99794.6455410043,6.822571151713639,198.53188784442926,0.25007421325410784,0.005448042825964924,3.0050282143148253,-0.020467657127035688,0,1,0,69097.34986647742,0.012932252425230729,10127.75804457856,0.4278898105560387,6677.573201592342,-8.434568349344196e-05,0.003681337696456094,-0.001447814430634839,0.13766277593193785,0.1478966044954557,0.09780464874774847,0.10148598644420456,0.13766277593193785,0.028255052706517,0.029222291644604433,0.04875150363849949,0.07697776254006969,-0.09744541966710538,0.0014049156068652406,0.0015932999972461202,0.0030850570686596634,-0.0031694027521531054,0.09780464874774847,0.1478966044954557,0.09267549662065754,0.070918841955386,0.0870764931770838,0.0397620724346067,0.5680647467311558,0.8229838658936564,0.005129152127090933,0.07697776254006969,8,0.0424412031961483,0.9990989662046815,-0.03125
2002,49,2003,6,0,2002-12-08,0.2418674399337193,1.45967,0.0165700082850041,0.054783270111942256,0.1055429394292485,99782.73407623517,7.135726023310428,210.1301977416445,0.2503924507013801,0.005438194396967566,3.303766860955318,0.11443849256529931,0,1,0,75148.92143884502,0.025527400562831936,10531.3630586929,0.31315487159678934,6051.571572367597,0.008337608077671442,0.004056952985043938,0.0003756152885878439,0.18464819365106966,0.2418674399337193,0.10148598644420456,0.1055429394292485,0.18464819365106966,0.04698541771913181,0.05698286599277777,0.06964024857907497,0.11443849256529931,0.134906149692335,0.003779439820945888,0.004253698607541952,0.008337608077671442,0.008421953761164884,0.10148598644420456,0.12742894736842,0.09780464874774847,0.1478966044954557,0.09267549662065754,0.070918841955386,0.6631226582407952,0.7485107481711011,0.003681337696456094,-0.020467657127035688,9,0.04774254349890355,0.9988596745991177,-0.0625
