date,ILI+,Influenza_Reported_Cases,Prefecture,Year,Week,holiday_effect,flu_season_year,flu_weekid,month,season,month_sin,month_cos,ILI_est,beta,gamma,xi,S,I,R,ILI_growth_rate,diff_spike,status,ili_status,SIR,ILI*beta,SIR_new,I_gr,SIR_gr,ILI_est_gr,beta_gr,beta_diff2,mean_2,max_2,min_2,avg_2,ILI,ILI_diff,diff_mean_4,diff_std_4,diff_max_4,seq_diff2,diff_mean_4_est,diff_std_4_est,diff_max_4_est,seq_diff2_est,beta_lag1,ILI_lag1,beta_lag2,ILI_lag2,beta_lag3,ILI_lag3,beta_lag1_gr,ILI_lag1_gr,time_idx,time_sin,time_cos,decay_distance
2015-07-12,0.09,8.0,Tokyo,2015,28,0,2015,37,7,3,-0.4999999999999998,-0.8660254037844388,0.46795592489405835,0.2533061131721439,0.24889488876383206,0.005509207395766339,95858.08734212548,33.67196138443379,4108.240696489913,-0.010000000000000009,0,1,0,817603.6939011482,0.02279755018549295,24281.439520749693,-0.8723100033003277,-21203.4479088058,-0.009548301408882354,-0.0002677494922418977,-0.0002975299886565086,0.09499999999999999,0.1,0.2533061131721439,0.2535738626643858,0.09499999999999999,0.0,-0.016666666666666673,0.03055050463304132,0.010000000000000009,-0.020000000000000018,-0.014411349038098042,0.0081646599688498,-0.009548301408882354,0.0002999486359628323,0.2535738626643858,0.1,0.2535440821679712,0.09,0.2540612894636788,0.14,2.978049641461089e-05,0.010000000000000009,131,0.948671834161122,0.3162621556072947,0.0
2015-07-19,0.15,5.0,Tokyo,2015,29,0,2015,38,7,3,-0.4999999999999998,-0.8660254037844388,0.4883925710148213,0.2537731704741176,0.2488527030834967,0.0055134822986005,95948.00298737208,35.38678389689391,4016.610228731016,0.06,0,1,0,861633.824447576,0.03806597557111764,24349.02891876552,1.7148225124601169,44030.1305464278,0.020436646120762958,0.00046705730197371675,0.0007348067942156145,0.11999999999999998,0.15,0.2533061131721439,0.2537731704741176,0.11999999999999998,0.024999999999999994,0.02,0.036055512754641826,0.06,0.07,0.0003466982223451394,0.017399051618309156,0.020436646120762958,0.02998494752964531,0.2533061131721439,0.09,0.2535738626643858,0.1,0.2535440821679712,0.09,-0.0002677494922418977,-0.010000000000000009,132,0.9516440466174986,0.30720287846547306,0.0
2015-07-26,0.23,10.0,Tokyo,2015,30,0,2015,39,7,3,-0.4999999999999998,-0.8660254037844388,0.5263572607150683,0.25477585899067245,0.24884119974909683,0.005512451178200764,96023.40724785913,38.29928957590751,3938.293462564999,0.08000000000000002,0,1,0,936970.9041493514,0.058598447567854664,24464.44606478447,2.9125056790135986,75337.07970177545,0.03796468970024697,0.0010026885165548283,0.0005356312145811115,0.19,0.23,0.2537731704741176,0.25477585899067245,0.19,0.07000000000000002,0.043333333333333335,0.04725815626252753,0.08000000000000002,0.020000000000000018,0.016284344804042523,0.024027115634265215,0.03796468970024697,0.01752804357948401,0.2537731704741176,0.15,0.2533061131721439,0.09,0.2535738626643858,0.1,0.00046705730197371675,0.06,133,0.9545297503008013,0.29811567518446574,0.0
2015-08-02,0.27,11.0,Tokyo,2015,31,0,2015,40,8,3,-0.8660254037844384,-0.5000000000000004,0.5692265803519492,0.255856890782636,0.2488597047937948,0.005509784415208219,96087.0043379602,41.10030648130362,3871.895355558612,0.04000000000000001,0,1,0,1010431.3960695121,0.06908136051131172,24584.522174528156,2.8010169053961107,73460.49192016071,0.0428693196368809,0.0010810317919635604,7.83432754087321e-05,0.25,0.27,0.25477585899067245,0.255856890782636,0.25,0.06,0.060000000000000005,0.02000000000000332,0.08000000000000002,-0.04000000000000001,0.03375688515263028,0.011793448376241042,0.0428693196368809,0.004904629936633931,0.25477585899067245,0.23,0.2537731704741176,0.15,0.2533061131721439,0.09,0.0010026885165548283,0.08000000000000002,134,0.9573286828874376,0.28900137183239116,0.0
2015-08-09,0.58,3.0,Tokyo,2015,32,0,2015,41,8,3,-0.8660254037844384,-0.5000000000000004,0.6764203949120945,0.2590317106497289,0.24883696344459177,0.0055116314973500825,96128.41051649716,48.1712429910644,3823.4182405118877,0.30999999999999994,0,1,0,1199478.720653836,0.15023839217684276,24900.306618127648,7.070936509760784,189047.3245843238,0.10719381456014532,0.003174819867092893,0.0020937880751293325,0.425,0.58,0.255856890782636,0.2590317106497289,0.425,0.175,0.1433333333333333,0.14571661996262966,0.30999999999999994,0.2699999999999999,0.06267594129909106,0.038631523765818035,0.10719381456014532,0.06432449492326442,0.255856890782636,0.27,0.25477585899067245,0.23,0.2537731704741176,0.15,0.0010810317919635604,0.04000000000000001,135,0.9600405899417024,0.2798607969408865,0.0
2015-08-16,0.29,4.0,Tokyo,2015,33,1,2015,42,8,3,-0.8660254037844384,-0.5000000000000004,0.7409391896500391,0.26030571742627706,0.248847624534365,0.005512292879773221,96167.47384041513,52.989871813980926,3779.5362877708353,-0.29,0,1,0,1326492.455062351,0.07548865805362034,25032.94327110199,4.818628822916523,127013.73440851504,0.06451879473794464,0.0012740067765481533,-0.0019008130905447396,0.43499999999999994,0.58,0.2590317106497289,0.26030571742627706,0.43499999999999994,0.009999999999999953,0.01999999999999998,0.3004995840263346,0.30999999999999994,-0.5999999999999999,0.07152730964499028,0.032729949934038126,0.10719381456014532,-0.04267501982220068,0.2590317106497289,0.58,0.255856890782636,0.27,0.25477585899067245,0.23,0.003174819867092893,0.30999999999999994,136,0.9626652249389074,0.2706947814297921,1.0
2015-08-23,0.64,4.0,Tokyo,2015,34,0,2015,43,8,3,-0.8660254037844384,-0.5000000000000004,0.8505617390222249,0.26241685482509636,0.24886474018453045,0.005507818578795686,96182.67506620043,60.68366583419902,3756.641267965334,0.35000000000000003,0,1,0,1531652.9997167892,0.16794678708806168,25239.955079536536,7.6937940202180926,205160.54465443827,0.10962254937218574,0.002111137398819296,0.0008371306222711428,0.465,0.64,0.26030571742627706,0.26241685482509636,0.465,0.030000000000000082,0.12333333333333334,0.3585154575933002,0.35000000000000003,0.64,0.09377838622342523,0.025368631390348412,0.10962254937218574,0.0451037546342411,0.26030571742627706,0.29,0.2590317106497289,0.58,0.255856890782636,0.27,0.0012740067765481533,-0.29,137,0.9652023492877913,0.2615041585316163,0.5
2015-08-30,1.06,2.0,Tokyo,2015,35,0,2015,44,8,3,-0.8660254037844384,-0.5000000000000004,1.0332562530987457,0.2653146216005373,0.24887234930732435,0.0055023558577189866,96162.15160741695,73.39452346110286,3764.4538691219072,0.42000000000000004,0,1,0,1872530.9809971552,0.28123349889656957,25513.224866015327,12.710857626903845,340877.98128036596,0.18269451407652082,0.0028977667754409575,0.0007866293766216614,0.8500000000000001,1.06,0.26241685482509636,0.2653146216005373,0.8500000000000001,0.38500000000000006,0.16,0.3912799509302772,0.42000000000000004,0.07,0.11894528606221706,0.059636903213034796,0.18269451407652082,0.07307196470433508,0.26241685482509636,0.64,0.26030571742627706,0.29,0.2590317106497289,0.58,0.002111137398819296,0.35000000000000003,138,0.9676517323522088,0.25228976371579026,0.25
2015-09-06,1.72,20.0,Tokyo,2015,36,0,2015,45,9,0,-1.0,-1.8369701987210297e-16,1.3516199991105495,0.2702927687491383,0.2489071743773597,0.005492722501526038,96073.35137442428,96.47277068256122,3830.1758548933212,0.6599999999999999,0,1,0,2505198.363021558,0.4649035622485179,25967.93214600197,23.078247221458355,632667.382024403,0.31836374601180384,0.004978147148601009,0.002080380373160051,1.3900000000000001,1.72,0.2653146216005373,0.2702927687491383,1.3900000000000001,0.54,0.4766666666666666,0.1625833119767628,0.6599999999999999,0.23999999999999988,0.20356026982017014,0.105923352551266,0.31836374601180384,0.13566923193528302,0.2653146216005373,1.06,0.26241685482509636,0.64,0.26030571742627706,0.29,0.0028977667754409575,0.42000000000000004,139,0.9700131514720967,0.24305243461272152,0.125
2015-09-13,2.47,30.0,Tokyo,2015,37,0,2015,46,9,0,-1.0,-1.8369701987210297e-16,1.9022465242158748,0.2794469286543359,0.2489492779494967,0.0054854000420931194,95901.00200795928,135.93258223380568,3963.065409806925,0.7500000000000002,0,1,1,3642889.958447741,0.6902339137762097,26799.240465997522,39.45981155124446,1137691.5954261827,0.5506265251053253,0.009154159905197579,0.00417601275659657,2.0949999999999998,2.47,0.2702927687491383,0.2794469286543359,2.0949999999999998,0.7049999999999996,0.61,0.17058722109232002,0.7500000000000002,0.0900000000000003,0.35056159506455,0.186067238646792,0.5506265251053253,0.23226277909352144,0.2702927687491383,1.72,0.2653146216005373,1.06,0.26241685482509636,0.64,0.004978147148601009,0.6599999999999999,140,0.9722863919837142,0.23379301093764773,0.0625
