date,week_ahead,true,point,q_1,q_2,q_5,q_10,q_15,q_20,q_25,q_30,q_35,q_40,q_45,q_99,q_97,q_95,q_90,q_85,q_80,q_75,q_70,q_65,q_60,q_55
2023-10-01,0,0.17,0.4456291647822013,0.010545019421750413,0.020281881394928345,0.034183911871895074,0.059719746469589795,0.08483529711492942,0.11059302457844757,0.13755280025401376,0.1661514515832273,0.19680981937619274,0.2299848719561037,0.2662105575988419,2.07758986579932,1.6524683195499696,1.3326318239495358,1.0156406420884658,0.8323445938137708,0.7036855479054082,0.6049199328922195,0.5250351313054087,0.45815735782067607,0.4007772048555161,0.3506251505373986
2023-10-08,0,0.2,0.42420469164105695,0.008183802526257769,0.016336779227799504,0.0282431017828932,0.050602826001008676,0.0730921197000558,0.09659470043245952,0.12159340164933269,0.14847499882405416,0.17762112571749922,0.2094553174917221,0.24448178897489295,2.040476629240542,1.6175673839385938,1.2996109261891027,0.9847374495044411,0.802842543730177,0.6752959647785755,0.5775015750391633,0.49852024932574446,0.4325238571071755,0.3760363491276703,0.326815867608696
2023-10-08,1,0.2,0.4629129459218352,0.006755273760413732,0.014210725795010176,0.02578324942983495,0.04882174059149662,0.07296180994479019,0.09874343873205574,0.12650406610575143,0.15655940358931084,0.18925891141260098,0.22501956485519664,0.26435966594316346,2.233624656215201,1.7741940620083045,1.4278357096879473,1.0836357671894907,0.8840042426265521,0.7435345865453523,0.6354843401398824,0.5479528629902064,0.4745984820032806,0.4116400783037255,0.35664181707819975
2023-10-15,0,0.11,0.40758841902174964,0.007294275139156686,0.014466865947955125,0.0249992450713819,0.045081222179712103,0.06565773160705485,0.08748634789784207,0.11098381380248087,0.13649375776129039,0.16436631183452632,0.19500027196575082,0.22887924252826747,2.005806495562034,1.5854039312081558,1.2697095073021214,0.9575544430806422,0.7775546804931781,0.651547741258582,0.5550981287754613,0.4773443116887028,0.4125035063093891,0.3571300439106303,0.3090048653881724
2023-10-15,1,0.11,0.47305056918110927,0.00784645290231855,0.01590428754788535,0.028109051652752348,0.0520486773401659,0.07696003973912804,0.10348430931379408,0.13198695631557028,0.16279371908889376,0.1962585148172663,0.23280113275299597,0.27294257577355013,2.257816178736189,1.7964623196391112,1.4483015332136728,1.1018530395044686,0.9006083117416144,0.758809983002974,0.6495950887034666,0.5610058971050798,0.48666885947124494,0.4227831877647706,0.36690009274083785
2023-10-15,2,0.11,0.4327670316225042,0.0031873173680382998,0.0075597961074381,0.015122260389903448,0.0318815964360547,0.05098889969483743,0.07254219638907719,0.09668222259396887,0.12361618259506503,0.15362921391483175,0.18710113871683845,0.22453293890744744,2.266566148006068,1.7803828417217638,1.415736274808012,1.0558285475975058,0.8487782376395437,0.7041726249725582,0.593764193450437,0.5050067069574261,0.43122818786110034,0.368460637799367,0.3141566550788085
2023-10-22,0,0.15,0.38281545514028426,0.012548665926037206,0.021897128347678315,0.03414379776395534,0.05524271788581839,0.07531420328122913,0.0956774440566926,0.11695554306590865,0.13959552125388786,0.16400929400362896,0.19063660881142241,0.2199889733292902,1.8869006830009587,1.4791356427011202,1.1758690704285113,0.8798951842268109,0.7118459439769472,0.5957917772750289,0.5080635014095802,0.4381531342021448,0.38046397010682664,0.3316535272438701,0.28955917951610877
2023-10-22,1,0.15,0.47261428333178196,0.009555825236820975,0.018330324431445423,0.031072612317840975,0.05532918749859358,0.08017393130732668,0.1064590772984004,0.13462614732106348,0.16503649579922602,0.19806286434314507,0.2341354913010162,0.2737810546467554,2.2490780305137634,1.7887952869473063,1.4416814029835658,1.0965874240710864,0.8963412347565689,0.755378410752431,0.6469033486907156,0.5589904027455102,0.4852838206718285,0.42199350461255764,0.36667724476558566
2023-10-22,2,0.15,0.42483191403814696,0.003732776079419325,0.0083970870142516,0.016101147361108525,0.0326152916360614,0.05114512682465147,0.07194540826421161,0.0952234242297533,0.12122053623544321,0.15024069351869296,0.1826739629703844,0.2190261123129021,2.240182783892756,1.7564497321577761,1.3941472177563297,1.037217327842314,0.8323331064511286,0.6895262072472654,0.5807029965858402,0.493390364108344,0.4209570562120899,0.3594599028830825,0.3063673587205989
2023-10-22,3,0.15,0.38745930745117224,0.0034579487465851754,0.007948835836001622,0.01538713868091922,0.031149110395411725,0.04852256598104583,0.06772082047863942,0.08892240146855115,0.11233516537923664,0.1382201248102119,0.16691296127789132,0.19885299322010624,2.14735905812451,1.6506447234285497,1.286463362094885,0.9380596718562298,0.7447027295662751,0.6135030472952975,0.5156135446511267,0.43828889301061363,0.3748050844582888,0.3212160519056733,0.27503786177086803
2023-10-29,0,0.04,0.45578317241031835,0.03553028335216131,0.05305357488395448,0.0730368379995084,0.1031896401194219,0.1290276542145732,0.15361443608969977,0.1782372722787475,0.20368756652930384,0.2305856141770545,0.25950914825588495,0.2910667086795939,2.00363003586388,1.5893506649197857,1.2802814362301878,0.9774135448137081,0.8046213944581582,0.684776065210261,0.5938061924707465,0.5210153346404313,0.46070031313174137,0.40944900434960724,0.3650460345418028
2023-10-29,1,0.04,0.4087409502668531,0.007291708204287847,0.01413727885314247,0.024009016947228748,0.0427332886157513,0.0620439883691555,0.08274276941311945,0.10526469682065574,0.129967458366722,0.1572161883626851,0.18742798428643997,0.22111000288861674,2.0833844455568737,1.6369084543913266,1.3027601160534719,0.9738649392329696,0.7852551088547602,0.6538882214856485,0.5538375521119187,0.4735908404161358,0.40702469014856685,0.35049389259521185,0.30165317631930666
