date,week_ahead,true,point,q_1,q_2,q_5,q_10,q_15,q_20,q_25,q_30,q_35,q_40,q_45,q_99,q_97,q_95,q_90,q_85,q_80,q_75,q_70,q_65,q_60,q_55
2023-10-01,0,0.17,0.2379982821531364,0.0022064966150556896,0.005662939850302612,0.01163534613715936,0.024233521928303334,0.03767879807998467,0.05202247818240543,0.0673558666840869,0.08380288240043679,0.1015252091929527,0.12073413893258296,0.1417094479884183,1.327991097527759,1.029965891274426,0.8108449560368409,0.5998417918089499,0.48183861149993196,0.40127317507277765,0.3408527566988505,0.2929050479952377,0.2533507016000786,0.21976694779474634,0.19060588025233113
2023-10-08,0,0.2,0.1904513230674182,0.001561156110953212,0.004187976108643773,0.008940056382415592,0.019443095054662875,0.031121263207838673,0.043994431734417375,0.058171581494476876,0.07381596388920865,0.0911406529637367,0.1104154333060158,0.13198216804368046,1.3863183854779904,1.0802213287371087,0.8525978534732446,0.6299421047783424,0.5031853810270835,0.4154692807070601,0.34907122646975697,0.29612925523139966,0.2524630367487906,0.2155833405998356,0.18388706971364463
2023-10-08,1,0.2,0.3629417202563599,0.002271343867259175,0.0063250206254966005,0.013806737661964275,0.030505204349364108,0.04905572913651224,0.06934169556289596,0.09141194420080043,0.11540212392161336,0.14151866037559785,0.17004251365319464,0.20134503454896674,1.8756331480499762,1.4548206153989796,1.1473366910353975,0.8539630909927048,0.690593363546781,0.5784446468015626,0.4932962787719246,0.4246698222435606,0.3671818251338811,0.3177401884138292,0.27441418075900603
2023-10-15,0,0.11,0.2061252989757819,0.0007549299476882677,0.0023480579119366,0.0056372209654531,0.01388415483694105,0.023978580318654023,0.03580075520902022,0.0493690488515707,0.06477872403145331,0.0821887598415264,0.10182491383974446,0.12399311876320189,1.4001359262297712,1.091808671367942,0.861829369469229,0.6359215770720471,0.5066678341094766,0.41683536850796876,0.3485730950189987,0.29396272475226487,0.24879842600203583,0.21058199800472052,0.17771195811353524
2023-10-15,1,0.11,0.37688031527818006,0.004607474997426725,0.010858157984240849,0.021165425955594577,0.042273751936521574,0.06445555692027674,0.08795301385650436,0.11297120789850643,0.13973354852312408,0.1685037273642736,0.19960450686159303,0.23344083016321487,1.7914353543403125,1.4366487743462688,1.167644592753161,0.8979631512469748,0.7399589912639291,0.6277773630293171,0.5407405269107862,0.46962683615327094,0.40951279691407205,0.357457487526858,0.3115628897697713
2023-10-15,2,0.11,0.21325997896880763,0.000508636743387209,0.0016037787909181078,0.003898320954377343,0.009758544184756636,0.017062321186889676,0.025750411570736525,0.03587591522095755,0.0475647742556794,0.061009745426549675,0.07647659305202972,0.09431932719546554,1.4057655461447252,1.06717343523456,0.8189129759965075,0.581102265335767,0.4491784121854202,0.3600608989791978,0.29418781094127494,0.24290980293017972,0.20163734274053638,0.16764061494054944,0.13916277823794235
2023-10-22,0,0.15,0.17325081336974035,0.0002365050190949283,0.000919116712893729,0.0025920035972957,0.007445294504587,0.014026551455974175,0.022253946386084075,0.032160515635226754,0.04384658940158358,0.05747012466983427,0.0732508699422528,0.09148389531149112,1.2924757303758412,0.9933121511570373,0.7719489923809415,0.5568197744679968,0.4353161517476931,0.3518773355168165,0.2892281452539011,0.2397240125444737,0.19931262854355378,0.165591160751127,0.13702153874189632
2023-10-22,1,0.15,0.44063347107880163,0.00887909418777468,0.017641704578989302,0.030575124972806574,0.055063617826259376,0.07963760617412952,0.10506867102610942,0.13177528914307937,0.16010846031480608,0.1904348615512863,0.2231808427365331,0.25887024990017765,2.120811718874489,1.673688573868168,1.3396256258654557,1.01164366319382,0.8240665776165813,0.6936229657267075,0.5942971757784321,0.514517432847646,0.4481099877807277,0.39138334158152294,0.34194897684478953
2023-10-22,2,0.15,0.1744355583777574,0.0002558059166350041,0.0009327965477356268,0.002532541994343697,0.007086143782572825,0.013241935650426074,0.020980555014809974,0.030387520853546623,0.041613855312815605,0.054869618441281943,0.07043039105128066,0.08865346590529609,1.4268315371829727,1.0852985732829812,0.833936054287779,0.5918535311750628,0.4566761833165661,0.3648411748372414,0.2966258449136364,0.24331342606023815,0.20028547224145118,0.1648021268998447,0.13510638503036873
2023-10-22,3,0.15,0.2695842929210115,0.0003669551881616859,0.0012455629265936145,0.0032062521257171504,0.008549291500407244,0.015605425831528512,0.024387266153116267,0.03500975250238214,0.04765309204707019,0.06256125757960244,0.08005553295795383,0.10056088361751055,1.850425153099559,1.377290902696539,1.0350111125499504,0.7137662591601419,0.5399952504821885,0.42519450777710577,0.34201760216612137,0.2784074592521872,0.22799402021705906,0.18701979944036956,0.15310125891816165
2023-10-29,0,0.04,0.1624043359696108,0.0001081540852756603,0.0004991342332055,0.00160668504410745,0.005259955746669549,0.0106618028872019,0.017765713416316175,0.026608975256829,0.037286745199114374,0.04994857814706277,0.06480474432887655,0.08214048737825068,1.268075100064101,0.9708211745888207,0.7512072138504071,0.5382111929342205,0.41821276457276607,0.33600570893966014,0.2744371805149843,0.22592173073739896,0.1864414414215741,0.15361624046693137,0.12592474626412836
2023-10-29,1,0.04,0.4160008149101989,0.00954768516572023,0.018060157152364902,0.03018343759530695,0.05269854881393983,0.07519227068670188,0.09852658628533359,0.12312933720552498,0.1493360267114352,0.1774856722275255,0.20796949594353414,0.24127142461560805,2.0431742821116097,1.6034119877466246,1.2764909830437534,0.9576820522976952,0.7767752713758954,0.6517960504632583,0.5571702821134008,0.48153272644837036,0.41882576641799035,0.36543396135580786,0.31902639258876586
