Year,,date,ILI+,Influenza_Reported_Cases,Prefecture,flu_season_year,flu_weekid,holiday_effect,month,season,month_sin,month_cos,ILI_est,beta,gamma,xi,S,I,R,ILI_growth_rate,diff_spike,status,ili_status,SIR,ILI*beta,SIR_new,I_gr,SIR_gr,ILI_est_gr,beta_gr,beta_diff2,mean_2,max_2,min_2,avg_2,ILI,ILI_diff,diff_mean_4,diff_std_4,diff_max_4,seq_diff2,diff_mean_4_est,diff_std_4_est,diff_max_4_est,seq_diff2_est,beta_lag1,ILI_lag1,beta_lag2,ILI_lag2,beta_lag3,ILI_lag3,beta_lag1_gr,ILI_lag1_gr,time_idx,time_sin,time_cos,decay_distance
2019,44,2019-11-10,0.7,460.0,Tokyo,2019,45,0,11,0,-0.5000000000000004,0.8660254037844384,0.9738830522523778,0.23279330786288388,0.24936973532728096,0.005516921303158149,91574.3457949992,71.8198220247487,8353.834382976002,-0.020000000000000018,0,1,0,1531047.4157209788,0.1629553155040187,21317.894872997436,-14.115881965489436,-278117.6551541053,-0.18809676513145024,0.002451016948787993,0.003334306791916153,0.71,0.72,0.2303422909140959,0.23279330786288388,0.71,-0.08499999999999996,-0.28333333333333327,0.3496188400720607,-0.020000000000000018,0.13,-0.3781964554841342,0.20633893454464755,-0.18809676513145024,0.16076168763027,0.2303422909140959,0.72,0.23122558075722405,0.87,0.23692763840818917,1.55,-0.00088328984312816,-0.15000000000000002,357,-0.25920275576134705,-0.9658229296334414,0.000244140625
2019,45,2019-11-17,0.62,828.0,Tokyo,2019,46,0,11,0,-0.5000000000000004,0.8660254037844384,0.8479762251991185,0.23571133902070457,0.2493156311884694,0.005512350250810112,91757.26443068919,61.7049772281885,8181.030592082575,-0.07999999999999996,0,1,0,1334569.2954829915,0.14614103019283683,21628.227663834616,-10.114844796560206,-196478.12023798726,-0.12590682705325928,0.0029180311578206886,0.00046701420903269564,0.6599999999999999,0.7,0.23279330786288388,0.23571133902070457,0.6599999999999999,-0.050000000000000044,-0.08333333333333326,0.06506407098647449,-0.020000000000000018,-0.05999999999999994,-0.22095401498214326,0.1150502325174581,-0.12590682705325928,0.062189938078190954,0.23279330786288388,0.7,0.2303422909140959,0.72,0.23122558075722405,0.87,0.002451016948787993,-0.020000000000000018,358,-0.2683994000499076,-0.9633077192947483,0.0001220703125
2019,46,2019-11-24,0.6,1225.0,Tokyo,2019,47,0,11,0,-0.5000000000000004,0.8660254037844384,0.7686548797754535,0.23897779316724857,0.2492793543734948,0.00551301156274999,91950.1655373374,55.88490781536303,7993.949554847302,-0.020000000000000018,0,1,0,1228017.6267742864,0.14338667590034915,21974.04764147608,-5.820069412825468,-106551.66870870511,-0.07932134542366498,0.003266454146544001,0.00034842298872331257,0.61,0.62,0.23571133902070457,0.23897779316724857,0.61,-0.04999999999999993,-0.039999999999999925,0.03464101615137209,-0.020000000000000018,0.05999999999999994,-0.13110831253612484,0.05457393674245248,-0.07932134542366498,0.046585481629594305,0.23571133902070457,0.62,0.23279330786288388,0.7,0.2303422909140959,0.72,0.0029180311578206886,-0.07999999999999996,359,-0.2775716456119957,-0.9607049399020745,6.103515625e-05
2019,47,2019-12-01,0.59,2547.0,Tokyo,2019,48,0,12,1,-2.4492935982947064e-16,1.0,0.7254141739337857,0.24204688765039514,0.24927672546202256,0.0055125572708105836,92131.62507462747,52.48058863310078,7815.894336739389,-0.010000000000000009,0,1,0,1170326.211091023,0.14280766371373313,22300.173103486683,-3.404319182262249,-57691.41568326345,-0.04324070584166784,0.0030690944831465727,-0.0001973596633974284,0.595,0.6,0.23897779316724857,0.24204688765039514,0.595,-0.015000000000000013,-0.03666666666666659,0.0378593889719968,-0.010000000000000009,0.010000000000000009,-0.0828229594395307,0.04144415368391704,-0.04324070584166784,0.03608063958199714,0.23897779316724857,0.6,0.23571133902070457,0.62,0.23279330786288388,0.7,0.003266454146544001,-0.020000000000000018,360,-0.2867186586487641,-0.9580148280599071,3.0517578125e-05
2019,48,2019-12-08,0.58,4288.0,Tokyo,2019,49,0,12,1,-2.4492935982947064e-16,1.0,0.702767813202912,0.2454482345159245,0.24928821398112166,0.005511107834407591,92308.00817929853,50.94425300437334,7641.047567697048,-0.010000000000000009,0,1,0,1154235.668975016,0.1423599760192362,22656.837639290345,-1.5363356287274428,-16090.542116006836,-0.02264636073087367,0.00340134686552937,0.0003322523823827972,0.585,0.59,0.24204688765039514,0.2454482345159245,0.585,-0.010000000000000009,-0.013333333333333272,0.005773502691862015,-0.010000000000000009,0.0,-0.0484028039987355,0.02868795767419004,-0.02264636073087367,0.020594345110794166,0.24204688765039514,0.59,0.23897779316724857,0.6,0.23571133902070457,0.62,0.0030690944831465727,-0.010000000000000009,361,-0.2958396076551148,-0.9552376283116509,1.52587890625e-05
2019,49,2019-12-15,0.44,6972.0,Tokyo,2019,50,0,12,1,-2.4492935982947064e-16,1.0,0.6683240940945371,0.24742556777086744,0.24927512082460548,0.005508707946143923,92490.63798056734,48.90773443630296,7460.454284996313,-0.13999999999999996,0,1,0,1119231.4263977578,0.10886724981918168,22884.54861583163,-2.0365185680703775,-35004.242577258265,-0.03444371910837496,0.0019773332549429257,-0.0014240136105864443,0.51,0.58,0.2454482345159245,0.24742556777086744,0.51,-0.07499999999999996,-0.053333333333333253,0.07505553499464888,-0.010000000000000009,-0.12999999999999995,-0.033443595226972156,0.01033353513885395,-0.02264636073087367,-0.011797358377501288,0.2454482345159245,0.58,0.24204688765039514,0.59,0.23897779316724857,0.6,0.00340134686552937,-0.010000000000000009,362,-0.3049336634952916,-0.9523735931173964,7.62939453125e-06
2019,50,2019-12-22,0.65,9119.0,Tokyo,2019,51,0,12,1,-2.4492935982947064e-16,1.0,0.6922348657244742,0.2506829122521208,0.2492546919425267,0.005506961100924922,92661.91267762141,50.2916777968137,7287.795644581788,0.21000000000000002,0,1,0,1168213.2192364752,0.16294389296387854,23228.758124877848,1.3839433605107416,48981.792838717345,0.023910771629937155,0.003257344481253366,0.0012800112263104402,0.5449999999999999,0.65,0.24742556777086744,0.2506829122521208,0.5449999999999999,0.03499999999999992,0.02000000000000009,0.17691806012954014,0.21000000000000002,0.35,-0.011059769403103825,0.030854472467961653,0.023910771629937155,0.058354490738312115,0.24742556777086744,0.44,0.2454482345159245,0.58,0.24204688765039514,0.59,0.0019773332549429257,-0.13999999999999996,363,-0.31399999947824686,-0.9494229828309725,3.814697265625e-06
2019,51,2019-12-29,0.68,9595.0,Tokyo,2019,52,0,12,1,-2.4492935982947064e-16,1.0,0.7286894447518465,0.2538664191774536,0.24927266557609618,0.005503956210318151,92828.36768535935,52.48416331071204,7119.148151329913,0.030000000000000027,0,1,0,1236842.0708707047,0.17262916504066847,23566.005302370228,2.1924855138983403,68628.85163422953,0.03645457902737226,0.003183506925332813,-7.383755592055286e-05,0.665,0.68,0.2506829122521208,0.2538664191774536,0.665,0.1200000000000001,0.03333333333333344,0.17502380790433314,0.21000000000000002,-0.18,0.008640543849644819,0.03783552645305128,0.03645457902737226,0.012543807397435103,0.2506829122521208,0.65,0.24742556777086744,0.44,0.2454482345159245,0.58,0.003257344481253366,0.21000000000000002,364,-0.32303779143279465,-0.9463860656762769,1.9073486328125e-06
2020,0,2020-01-05,0.13,1787.0,Tokyo,2020,1,0,1,1,0.49999999999999994,0.8660254037844387,0.5872762714534026,0.25135650300631723,0.249278529407254,0.005513323304918044,93041.46042583548,42.75012941518402,6915.789444749282,-0.55,0,1,0,999779.1560175059,0.03267634539082124,23386.576127238663,-9.734033895528022,-237062.9148531988,-0.14141317329844394,-0.0025099161711363838,-0.005693423096469197,0.40499999999999997,0.68,0.25135650300631723,0.2538664191774536,0.40499999999999997,-0.26000000000000006,-0.10333333333333326,0.3971565602295058,0.21000000000000002,-0.5800000000000001,-0.027015940880378175,0.09926923926719394,0.03645457902737226,-0.1778677523258162,0.2538664191774536,0.68,0.2506829122521208,0.65,0.24742556777086744,0.44,0.003183506925332813,0.030000000000000027,365,-0.3320462177825322,-0.9432631177228945,0.0
2020,1,2020-01-12,0.42,5998.0,Tokyo,2020,2,0,1,1,0.49999999999999994,0.8660254037844387,0.5969357080371118,0.25280937675513937,0.24929193757947787,0.005511854952670361,93216.09586006161,43.52264915475267,6740.3814907836295,0.29,0,1,0,1025650.532546085,0.10617993823715853,23565.903097929502,0.7725197395686507,25871.376528579043,0.009659436583709269,0.0014528737488221366,0.00396278991995852,0.2749999999999999,0.42,0.25135650300631723,0.25280937675513937,0.2749999999999999,-0.13000000000000006,-0.0766666666666666,0.43003875794320334,0.29,0.8400000000000001,-0.03176638589578747,0.0958973847684766,0.03645457902737226,0.1510726098821532,0.25135650300631723,0.13,0.2538664191774536,0.68,0.2506829122521208,0.65,-0.0025099161711363838,-0.55,366,-0.3410244596205218,-0.9400544228610017,0.0
