date,week_ahead,point,mode,true,q_1,q_2,q_5,q_10,q_15,q_20,q_25,q_30,q_35,q_40,q_45,q_55,q_60,q_65,q_70,q_75,q_80,q_85,q_90,q_95,q_97,q_99
2013-03-31,0,0.39,train,0.46,0.0014144762163426912,0.004465046880287922,0.010700337563778297,0.02590125725980724,0.043880103752369344,0.06432030649407128,0.08718429193869263,0.11257368909416884,0.14069373572537686,0.17185030219852807,0.20646492244933748,0.2885457458295683,0.3378436784032565,0.3945041492295431,0.46074460203812073,0.540018451867382,0.6381294973181723,0.7659836842218343,0.9481136735181805,1.2629510121185379,1.5804943850476434,2.0025243093700453
2013-04-07,0,0.46,train,0.26,0.003634600902210663,0.00966453196085685,0.02038193994212085,0.04353754430458045,0.06867270212073955,0.09576798244889848,0.12494596500909146,0.15641280003927963,0.19045083637528137,0.22742866386202867,0.26782350884946127,0.36155926012337997,0.4168519013355997,0.47971761955005854,0.5524762653855018,0.6387271157460914,0.7445014808698593,0.8811044086618665,1.073903265997285,1.4037569332981636,1.7334946856450963,2.1687101426494335
2013-04-14,0,0.26,train,0.28,6.926990570029295e-05,0.00038666215642398766,0.0014213860639031104,0.005244403911657069,0.011312444734041601,0.019620670248100023,0.030239594882611156,0.04330332822127079,0.05901223026451263,0.0776442025192421,0.09957488603524194,0.15553646491900758,0.1912053644698132,0.233671655345111,0.28494408356647366,0.34816721036976445,0.42865265626618065,0.5364339421670994,0.6942132771772137,0.9751112027007829,1.265440940824636,1.6584351788034968
2013-04-21,0,0.28,train,0.36,0.0001312873394002726,0.0006483182857689289,0.0021731316321991732,0.007318290755794004,0.01497837286670291,0.025045075617016906,0.03753689237762132,0.05255928940794934,0.07029702141699189,0.09102075145447894,0.11510499820350524,0.1755802911310543,0.2136332941106391,0.2585958835911294,0.3125102290160032,0.37857211210298375,0.46217636201953083,0.5735054240111223,0.7355750855586406,1.0224150105060366,1.3174690621629068,1.7154587428135648
2013-04-28,0,0.36,train,0.32,0.0008493995707713732,0.0029470718806432388,0.007579457098450011,0.019662551008468504,0.034655667709363944,0.05221868561734683,0.07228832968186553,0.09494330596145849,0.12036818560047795,0.1488493612056502,0.18078898537891047,0.25743681760780474,0.3039267198614479,0.35767480058226825,0.4208524099308323,0.4968464602746135,0.591356282852341,0.7151039639718058,0.8922373386710831,1.2000702166410113,1.511954680427221,1.9278987664348057
2013-05-05,0,0.32,train,0.19,0.0003736229530914747,0.0015123643189280727,0.004365794095280494,0.012687349871882487,0.023862312320143648,0.03761848472443362,0.053905772650721225,0.07279886264837435,0.09447091305167846,0.11919261931341626,0.14734693334827276,0.21624938940909702,0.25871585311592105,0.30828205174502366,0.36705581009578914,0.4383311281412643,0.5276602699005034,0.6455055342315608,0.8154704053193237,1.113288886324678,1.417118936331633,1.8244417369997927
2013-05-12,0,0.19,train,0.22,2.644517774389798e-06,2.77991378348846e-05,0.00016480908465838976,0.000978050191839896,0.002777157027398825,0.005838625480481982,0.010423662014246283,0.016800988560250394,0.025265744221541552,0.036159699142007486,0.049896434479898666,0.0881357091433393,0.11423066588154328,0.1465662521954758,0.187034736902418,0.2385905806746299,0.3062255527242758,0.39938994808832895,0.5395477708606646,0.7962263534199524,1.0675075770397782,1.4405942917239936
2013-05-19,0,0.22,train,0.17,1.3748983934214154e-05,0.00010487608633433878,0.000487957609053012,0.002274794258022505,0.005615899826402536,0.010703620443769858,0.017727756859734017,0.026899193178282765,0.03846790679784645,0.052742142104440184,0.07011283729621096,0.11634408995264824,0.1468077727374382,0.1837918555030517,0.22923794084729762,0.28618389975893566,0.3597645179785489,0.4596934812625344,0.6079965211514062,0.8758324059239514,1.1558455862779704,1.5380086775709483
2013-05-26,0,0.17,train,0.37,6.41799454501199e-07,8.897539394043589e-06,6.502709929505441e-05,0.00047550074698732964,0.0015244814650471619,0.0034907114910322883,0.006653639348083128,0.011305737722300348,0.017766298852907047,0.02639879257560761,0.03763424939917462,0.0701919303482407,0.0931076367765077,0.12202177298518221,0.1587950588398245,0.20632509531253002,0.26950270700895623,0.35758869046065545,0.4916391016282202,0.739993431993392,1.0048108615533125,1.3712375817794469
2013-06-02,0,0.37,train,0.23,0.0010156260516509007,0.0034085888314518004,0.008551158034175804,0.021648792856111754,0.03762822937461732,0.05614996677092519,0.07715605716956737,0.10073110950422895,0.12706556003927544,0.15645166000132943,0.1892976234922179,0.2677895762938801,0.31523376677531745,0.3699721017887361,0.43419144569534984,0.5113011678203765,0.6070359405431138,0.7321801031963027,0.9110118199378533,1.2212233552182143,1.5350273003363024,1.9530331530466225
2013-06-09,0,0.23,train,0.22,2.1686131883007253e-05,0.0001514423453969741,0.0006591799530819266,0.0028759811543058126,0.006833246115254081,0.012679476050423818,0.020574817314268086,0.030709486993049716,0.04331913751202266,0.05870251867310967,0.07724503236215129,0.12600337325767402,0.15782908413388258,0.19625268173299287,0.24323250654059542,0.30183361900946787,0.377236414068739,0.47923758990866616,0.6300389438931786,0.9013100089893662,1.1840268210319502,1.5690176028066807
