Region,RSV_PC,Week,Year
Nagano,15.17,39,2017
Gifu,23.58,39,2017
Shizuoka,27.4,39,2017
Aichi,22.45,39,2017
Mie,37.18,39,2017
Shiga,16.1,39,2017
Kyoto,17.13,39,2017
Osaka,39.31,39,2017
Hyogo,27.23,39,2017
Nara,35.91,39,2017
Wakayama,27.97,39,2017
Tottori,34.47,39,2017
Shimane,34.23,39,2017
Okayama,16.0,39,2017
Hiroshima,29.59,39,2017
Yamaguchi,40.85,39,2017
Tokushima,61.52,39,2017
Kagawa,28.39,39,2017
Ehime,50.3,39,2017
Kochi,39.3,39,2017
Fukuoka,50.13,39,2017
Saga,27.32,39,2017
Nagasaki,44.91,39,2017
Kumamoto,42.84,39,2017
Oita,24.17,39,2017
Miyazaki,50.4,39,2017
Kagoshima,50.04,39,2017
Okinawa,63.94,39,2017
Total No.,33.13,40,2017
Hokkaido,34.77,40,2017
Aomori,20.07,40,2017
Iwate,30.23,40,2017
Miyagi,35.6,40,2017
Akita,20.86,40,2017
Yamagata,51.14,40,2017
Fukushima,53.18,40,2017
Ibaraki,20.49,40,2017
Tochigi,24.31,40,2017
Gunma,26.19,40,2017
Saitama,29.72,40,2017
Chiba,20.69,40,2017
Tokyo,29.18,40,2017
Kanagawa,24.77,40,2017
Niigata,56.33,40,2017
Toyama,43.72,40,2017
Ishikawa,43.17,40,2017
Fukui,45.91,40,2017
Yamanashi,17.17,40,2017
Nagano,16.72,40,2017
Gifu,24.92,40,2017
Shizuoka,29.37,40,2017
Aichi,23.77,40,2017
Mie,40.0,40,2017
Shiga,16.94,40,2017
Kyoto,18.87,40,2017
Osaka,41.59,40,2017
Hyogo,29.75,40,2017
Nara,38.62,40,2017
Wakayama,29.1,40,2017
Tottori,36.37,40,2017
Shimane,37.95,40,2017
Okayama,18.41,40,2017
Hiroshima,32.86,40,2017
Yamaguchi,43.42,40,2017
Tokushima,66.74,40,2017
Kagawa,32.07,40,2017
Ehime,53.24,40,2017
Kochi,43.4,40,2017
Fukuoka,53.81,40,2017
Saga,31.14,40,2017
Nagasaki,47.57,40,2017
Kumamoto,49.6,40,2017
Oita,26.36,40,2017
Miyazaki,54.86,40,2017
Kagoshima,51.91,40,2017
Okinawa,64.38,40,2017
Total No.,34.59,41,2017
Hokkaido,35.76,41,2017
Aomori,21.22,41,2017
Iwate,31.26,41,2017
Miyagi,36.59,41,2017
Akita,22.29,41,2017
Yamagata,53.31,41,2017
Fukushima,54.73,41,2017
Ibaraki,21.39,41,2017
Tochigi,26.31,41,2017
Gunma,27.3,41,2017
Saitama,30.65,41,2017
Chiba,21.64,41,2017
Tokyo,29.94,41,2017
Kanagawa,24.76,41,2017
Niigata,58.95,41,2017
Toyama,44.59,41,2017
Ishikawa,45.48,41,2017
Fukui,48.09,41,2017
Yamanashi,17.83,41,2017
Nagano,18.08,41,2017
Gifu,25.98,41,2017
Shizuoka,30.72,41,2017
Aichi,25.17,41,2017
Mie,42.13,41,2017
Shiga,17.77,41,2017
Kyoto,20.21,41,2017
Osaka,43.45,41,2017
Hyogo,31.79,41,2017
Nara,40.41,41,2017
Wakayama,30.3,41,2017
Tottori,37.79,41,2017
Shimane,40.36,41,2017
Okayama,20.46,41,2017
Hiroshima,35.51,41,2017
Yamaguchi,45.27,41,2017
Tokushima,69.83,41,2017
Kagawa,34.64,41,2017
Ehime,54.89,41,2017
Kochi,45.9,41,2017
Fukuoka,56.88,41,2017
Saga,33.82,41,2017
Nagasaki,48.89,41,2017
Kumamoto,53.62,41,2017
Oita,27.81,41,2017
Miyazaki,57.51,41,2017
Kagoshima,53.57,41,2017
Okinawa,64.68,41,2017
Total No.,35.88,42,2017
Hokkaido,36.46,42,2017
Aomori,22.37,42,2017
Iwate,32.38,42,2017
Miyagi,37.59,42,2017
Akita,23.49,42,2017
Yamagata,54.83,42,2017
Fukushima,55.96,42,2017
Ibaraki,22.05,42,2017
Tochigi,27.63,42,2017
Gunma,28.11,42,2017
Saitama,31.2,42,2017
Chiba,22.51,42,2017
Tokyo,30.45,42,2017
Kanagawa,25.62,42,2017
Niigata,60.88,42,2017
Toyama,45.28,42,2017
Ishikawa,47.0,42,2017
Fukui,49.95,42,2017
Yamanashi,19.33,42,2017
Nagano,19.11,42,2017
Gifu,27.08,42,2017
Shizuoka,31.88,42,2017
Aichi,26.46,42,2017
Mie,43.96,42,2017
Shiga,18.55,42,2017
Kyoto,21.28,42,2017
Osaka,44.79,42,2017
Hyogo,33.69,42,2017
Nara,42.26,42,2017
Wakayama,32.23,42,2017
Tottori,39.42,42,2017
Shimane,42.86,42,2017
Okayama,22.37,42,2017
Hiroshima,37.66,42,2017
Yamaguchi,47.02,42,2017
Tokushima,72.17,42,2017
Kagawa,37.04,42,2017
Ehime,55.81,42,2017
Kochi,48.7,42,2017
Fukuoka,59.75,42,2017
Saga,36.14,42,2017
Nagasaki,49.91,42,2017
Kumamoto,57.06,42,2017
Oita,29.44,42,2017
Miyazaki,59.29,42,2017
Kagoshima,55.24,42,2017
Okinawa,65.21,42,2017
Total No.,37.17,43,2017
Hokkaido,37.34,43,2017
Aomori,23.54,43,2017
Iwate,33.41,43,2017
Miyagi,38.5,43,2017
Akita,24.6,43,2017
Yamagata,53.86,43,2017
Fukushima,57.16,43,2017
Ibaraki,23.09,43,2017
Tochigi,29.21,43,2017
Gunma,28.77,43,2017
Saitama,31.64,43,2017
Chiba,23.26,43,2017
Tokyo,30.95,43,2017
Kanagawa,26.0,43,2017
Niigata,62.68,43,2017
Toyama,45.9,43,2017
Ishikawa,48.34,43,2017
Fukui,51.91,43,2017
Yamanashi,20.63,43,2017
Nagano,20.6,43,2017
Gifu,28.19,43,2017
Shizuoka,33.11,43,2017
Aichi,27.79,43,2017
Mie,45.67,43,2017
Shiga,19.32,43,2017
Kyoto,21.83,43,2017
Osaka,46.34,43,2017
Hyogo,35.95,43,2017
Nara,43.65,43,2017
Wakayama,34.13,43,2017
Tottori,41.26,43,2017
Shimane,46.41,43,2017
Okayama,24.11,43,2017
Hiroshima,40.07,43,2017
Yamaguchi,48.98,43,2017
Tokushima,75.26,43,2017
Kagawa,39.18,43,2017
Ehime,57.43,43,2017
Kochi,52.03,43,2017
Fukuoka,62.16,43,2017
Saga,39.36,43,2017
Nagasaki,51.02,43,2017
Kumamoto,60.02,43,2017
Oita,30.81,43,2017
Miyazaki,60.43,43,2017
Kagoshima,56.83,43,2017
Okinawa,65.74,43,2017
Total No.,38.14,44,2017
Hokkaido,38.19,44,2017
Aomori,24.39,44,2017
Iwate,34.1,44,2017
Miyagi,39.0,44,2017
Akita,25.4,44,2017
Yamagata,57.0,44,2017
Fukushima,58.16,44,2017
Ibaraki,23.73,44,2017
Tochigi,30.04,44,2017
Gunma,29.4,44,2017
Saitama,32.27,44,2017
Chiba,23.7,44,2017
Tokyo,31.41,44,2017
Kanagawa,26.35,44,2017
Niigata,64.05,44,2017
Toyama,46.66,44,2017
Ishikawa,49.38,44,2017
Fukui,53.45,44,2017
Yamanashi,21.42,44,2017
Nagano,21.45,44,2017
Gifu,28.9,44,2017
Shizuoka,33.89,44,2017
Aichi,28.83,44,2017
Mie,47.07,44,2017
Shiga,19.74,44,2017
Kyoto,22.82,44,2017
Osaka,47.61,44,2017
Hyogo,37.69,44,2017
Nara,46.18,44,2017
Wakayama,35.2,44,2017
Tottori,42.37,44,2017
Shimane,48.0,44,2017
Okayama,25.5,44,2017
Hiroshima,41.76,44,2017
Yamaguchi,50.23,44,2017
Tokushima,77.57,44,2017
Kagawa,41.29,44,2017
Ehime,58.38,44,2017
Kochi,53.63,44,2017
Fukuoka,63.75,44,2017
Saga,41.36,44,2017
Nagasaki,51.55,44,2017
Kumamoto,61.9,44,2017
Oita,31.69,44,2017
Miyazaki,61.54,44,2017
Kagoshima,57.52,44,2017
Okinawa,66.12,44,2017
Total No.,39.03,45,2017
Hokkaido,39.09,45,2017
Aomori,25.2,45,2017
Iwate,34.92,45,2017
Miyagi,39.67,45,2017
Akita,26.29,45,2017
Yamagata,57.93,45,2017
Fukushima,59.31,45,2017
Ibaraki,24.09,45,2017
Tochigi,30.83,45,2017
Gunma,29.77,45,2017
Saitama,32.76,45,2017
Chiba,24.07,45,2017
Tokyo,31.73,45,2017
Kanagawa,26.63,45,2017
Niigata,65.16,45,2017
Toyama,47.21,45,2017
Ishikawa,50.1,45,2017
Fukui,54.68,45,2017
Yamanashi,21.79,45,2017
Nagano,22.74,45,2017
Gifu,29.58,45,2017
Shizuoka,34.71,45,2017
Aichi,29.74,45,2017
Mie,48.6,45,2017
Shiga,20.48,45,2017
Kyoto,23.57,45,2017
Osaka,48.96,45,2017
Hyogo,39.23,45,2017
Nara,48.18,45,2017
Wakayama,36.67,45,2017
Tottori,44.05,45,2017
Shimane,49.18,45,2017
Okayama,27.06,45,2017
Hiroshima,43.48,45,2017
Yamaguchi,51.58,45,2017
Tokushima,79.22,45,2017
Kagawa,43.29,45,2017
Ehime,59.14,45,2017
Kochi,54.87,45,2017
Fukuoka,65.02,45,2017
Saga,43.91,45,2017
Nagasaki,51.86,45,2017
Kumamoto,63.0,45,2017
Oita,32.47,45,2017
Miyazaki,62.63,45,2017
Kagoshima,58.46,45,2017
Okinawa,66.41,45,2017
Total No.,39.8,46,2017
Hokkaido,39.89,46,2017
Aomori,25.98,46,2017
Iwate,35.72,46,2017
Miyagi,40.45,46,2017
Akita,27.11,46,2017
Yamagata,58.72,46,2017
Fukushima,60.33,46,2017
Ibaraki,24.57,46,2017
Tochigi,31.46,46,2017
Gunma,30.18,46,2017
Saitama,33.18,46,2017
Chiba,24.4,46,2017
Tokyo,32.05,46,2017
Kanagawa,26.9,46,2017
Niigata,66.18,46,2017
Toyama,47.76,46,2017
Ishikawa,50.48,46,2017
Fukui,55.68,46,2017
Yamanashi,22.46,46,2017
Nagano,23.96,46,2017
Gifu,30.27,46,2017
Shizuoka,35.2,46,2017
Aichi,30.76,46,2017
Mie,50.0,46,2017
Shiga,21.55,46,2017
Kyoto,24.05,46,2017
Osaka,50.05,46,2017
Hyogo,40.8,46,2017
Nara,50.41,46,2017
Wakayama,38.17,46,2017
Tottori,44.79,46,2017
Shimane,49.95,46,2017
Okayama,27.87,46,2017
Hiroshima,44.85,46,2017
Yamaguchi,52.81,46,2017
Tokushima,80.65,46,2017
Kagawa,45.29,46,2017
Ehime,60.08,46,2017
Kochi,56.03,46,2017
Fukuoka,65.86,46,2017
Saga,45.55,46,2017
Nagasaki,52.27,46,2017
Kumamoto,63.62,46,2017
Oita,33.19,46,2017
Miyazaki,63.14,46,2017
Kagoshima,59.17,46,2017
Okinawa,66.62,46,2017
Total No.,40.52,47,2017
Hokkaido,40.67,47,2017
Aomori,26.83,47,2017
Iwate,36.05,47,2017
Miyagi,41.19,47,2017
Akita,27.4,47,2017
Yamagata,59.48,47,2017
Fukushima,61.29,47,2017
Ibaraki,24.87,47,2017
Tochigi,32.5,47,2017
Gunma,30.53,47,2017
Saitama,33.52,47,2017
Chiba,24.75,47,2017
Tokyo,32.32,47,2017
Kanagawa,27.28,47,2017
Niigata,67.04,47,2017
Toyama,48.03,47,2017
Ishikawa,50.79,47,2017
Fukui,56.36,47,2017
Yamanashi,23.0,47,2017
Nagano,25.28,47,2017
Gifu,30.96,47,2017
Shizuoka,35.94,47,2017
Aichi,31.32,47,2017
Mie,51.18,47,2017
Shiga,22.19,47,2017
Kyoto,24.75,47,2017
Osaka,51.31,47,2017
Hyogo,42.43,47,2017
Nara,52.56,47,2017
Wakayama,39.43,47,2017
Tottori,45.21,47,2017
Shimane,50.45,47,2017
Okayama,28.56,47,2017
Hiroshima,45.75,47,2017
Yamaguchi,54.19,47,2017
Tokushima,81.87,47,2017
Kagawa,47.04,47,2017
Ehime,60.76,47,2017
Kochi,56.9,47,2017
Fukuoka,66.53,47,2017
Saga,47.18,47,2017
Nagasaki,52.61,47,2017
Kumamoto,64.1,47,2017
Oita,34.14,47,2017
Miyazaki,64.0,47,2017
Kagoshima,59.52,47,2017
Okinawa,67.0,47,2017
Total No.,41.24,48,2017
Hokkaido,41.36,48,2017
Aomori,27.15,48,2017
Iwate,36.51,48,2017
Miyagi,41.86,48,2017
Akita,27.83,48,2017
Yamagata,60.21,48,2017
Fukushima,61.96,48,2017
Ibaraki,25.37,48,2017
Tochigi,33.02,48,2017
Gunma,31.14,48,2017
Saitama,33.79,48,2017
Chiba,25.08,48,2017
Tokyo,32.61,48,2017
Kanagawa,27.55,48,2017
Niigata,68.05,48,2017
Toyama,48.76,48,2017
Ishikawa,51.07,48,2017
Fukui,57.23,48,2017
Yamanashi,23.88,48,2017
Nagano,27.08,48,2017
Gifu,31.63,48,2017
Shizuoka,36.64,48,2017
Aichi,31.87,48,2017
Mie,52.11,48,2017
Shiga,23.45,48,2017
Kyoto,25.29,48,2017
Osaka,52.72,48,2017
Hyogo,44.41,48,2017
Nara,54.85,48,2017
Wakayama,40.77,48,2017
Tottori,45.79,48,2017
Shimane,51.18,48,2017
Okayama,29.17,48,2017
Hiroshima,46.56,48,2017
Yamaguchi,55.9,48,2017
Tokushima,83.17,48,2017
Kagawa,49.11,48,2017
Ehime,61.76,48,2017
Kochi,57.73,48,2017
Fukuoka,67.14,48,2017
Saga,48.41,48,2017
Nagasaki,52.73,48,2017
Kumamoto,64.56,48,2017
Oita,34.86,48,2017
Miyazaki,65.11,48,2017
Kagoshima,59.83,48,2017
Okinawa,67.15,48,2017
Total No.,42.03,49,2017
Hokkaido,42.01,49,2017
Aomori,28.1,49,2017
Iwate,36.97,49,2017
Miyagi,42.84,49,2017
Akita,28.37,49,2017
Yamagata,61.41,49,2017
Fukushima,63.13,49,2017
Ibaraki,25.89,49,2017
Tochigi,33.46,49,2017
Gunma,31.61,49,2017
Saitama,34.19,49,2017
Chiba,25.49,49,2017
Tokyo,33.01,49,2017
Kanagawa,27.88,49,2017
Niigata,68.98,49,2017
Toyama,49.28,49,2017
Ishikawa,51.38,49,2017
Fukui,58.14,49,2017
Yamanashi,24.79,49,2017
Nagano,29.36,49,2017
Gifu,32.17,49,2017
Shizuoka,37.17,49,2017
Aichi,32.71,49,2017
Mie,53.16,49,2017
Shiga,23.97,49,2017
Kyoto,25.86,49,2017
Osaka,54.36,49,2017
Hyogo,46.03,49,2017
Nara,58.06,49,2017
Wakayama,42.23,49,2017
Tottori,46.42,49,2017
Shimane,51.59,49,2017
Okayama,29.93,49,2017
Hiroshima,47.38,49,2017
Yamaguchi,57.88,49,2017
Tokushima,84.87,49,2017
Kagawa,50.18,49,2017
Ehime,62.41,49,2017
Kochi,58.47,49,2017
Fukuoka,67.71,49,2017
Saga,48.95,49,2017
Nagasaki,52.91,49,2017
Kumamoto,64.94,49,2017
Oita,35.64,49,2017
Miyazaki,66.43,49,2017
Kagoshima,60.28,49,2017
Okinawa,67.29,49,2017
Total No.,42.75,50,2017
Hokkaido,42.92,50,2017
Aomori,28.83,50,2017
Iwate,37.49,50,2017
Miyagi,43.91,50,2017
Akita,28.77,50,2017
Yamagata,62.48,50,2017
Fukushima,63.84,50,2017
Ibaraki,26.44,50,2017
Tochigi,34.15,50,2017
Gunma,32.25,50,2017
Saitama,34.48,50,2017
Chiba,25.89,50,2017
Tokyo,33.36,50,2017
Kanagawa,28.12,50,2017
Niigata,69.95,50,2017
Toyama,49.79,50,2017
Ishikawa,51.62,50,2017
Fukui,59.0,50,2017
Yamanashi,25.67,50,2017
Nagano,31.09,50,2017
Gifu,32.6,50,2017
Shizuoka,37.76,50,2017
Aichi,33.18,50,2017
Mie,54.16,50,2017
Shiga,24.71,50,2017
Kyoto,26.14,50,2017
Osaka,55.92,50,2017
Hyogo,47.56,50,2017
Nara,61.65,50,2017
Wakayama,43.27,50,2017
Tottori,46.74,50,2017
Shimane,52.23,50,2017
Okayama,30.31,50,2017
Hiroshima,48.15,50,2017
Yamaguchi,59.5,50,2017
Tokushima,86.39,50,2017
Kagawa,51.32,50,2017
Ehime,62.97,50,2017
Kochi,59.2,50,2017
Fukuoka,68.25,50,2017
Saga,49.55,50,2017
Nagasaki,53.14,50,2017
Kumamoto,65.32,50,2017
Oita,36.36,50,2017
Miyazaki,67.49,50,2017
Kagoshima,60.8,50,2017
Okinawa,67.44,50,2017
Total No.,43.48,51,2017
Hokkaido,44.16,51,2017
Aomori,29.54,51,2017
Iwate,38.38,51,2017
Miyagi,44.64,51,2017
Akita,29.49,51,2017
Yamagata,63.34,51,2017
Fukushima,64.4,51,2017
Ibaraki,27.15,51,2017
Tochigi,35.15,51,2017
Gunma,32.75,51,2017
Saitama,34.94,51,2017
Chiba,26.22,51,2017
Tokyo,33.62,51,2017
Kanagawa,28.38,51,2017
Niigata,70.72,51,2017
Toyama,50.59,51,2017
Ishikawa,51.93,51,2017
Fukui,60.05,51,2017
Yamanashi,26.08,51,2017
Nagano,32.49,51,2017
Gifu,33.15,51,2017
Shizuoka,38.29,51,2017
Aichi,33.66,51,2017
Mie,55.24,51,2017
Shiga,25.58,51,2017
Kyoto,26.59,51,2017
Osaka,57.39,51,2017
Hyogo,49.24,51,2017
Nara,63.88,51,2017
Wakayama,44.5,51,2017
Tottori,47.68,51,2017
Shimane,53.09,51,2017
Okayama,30.59,51,2017
Hiroshima,48.58,51,2017
Yamaguchi,61.27,51,2017
Tokushima,87.35,51,2017
Kagawa,52.96,51,2017
Ehime,63.49,51,2017
Kochi,59.7,51,2017
Fukuoka,68.83,51,2017
Saga,50.09,51,2017
Nagasaki,53.34,51,2017
Kumamoto,65.82,51,2017
Oita,36.72,51,2017
Miyazaki,68.69,51,2017
Kagoshima,61.35,51,2017
Okinawa,67.74,51,2017
Total No.,44.18,52,2017
Hokkaido,45.31,52,2017
Aomori,30.2,52,2017
Iwate,39.15,52,2017
Miyagi,45.48,52,2017
Akita,29.89,52,2017
Yamagata,64.1,52,2017
Fukushima,65.47,52,2017
Ibaraki,27.8,52,2017
Tochigi,35.88,52,2017
Gunma,33.26,52,2017
Saitama,35.45,52,2017
Chiba,26.49,52,2017
Tokyo,34.1,52,2017
Kanagawa,28.61,52,2017
Niigata,71.65,52,2017
Toyama,51.03,52,2017
Ishikawa,52.14,52,2017
Fukui,60.41,52,2017
Yamanashi,26.71,52,2017
Nagano,33.83,52,2017
Gifu,33.58,52,2017
Shizuoka,38.72,52,2017
Aichi,34.09,52,2017
Mie,56.11,52,2017
Shiga,26.52,52,2017
Kyoto,27.05,52,2017
Osaka,58.44,52,2017
Hyogo,50.64,52,2017
Nara,65.74,52,2017
Wakayama,45.83,52,2017
Tottori,48.26,52,2017
Shimane,53.64,52,2017
Okayama,31.0,52,2017
Hiroshima,49.15,52,2017
Yamaguchi,63.02,52,2017
Tokushima,88.87,52,2017
Kagawa,53.68,52,2017
Ehime,64.08,52,2017
Kochi,60.47,52,2017
Fukuoka,69.48,52,2017
Saga,50.55,52,2017
Nagasaki,53.68,52,2017
Kumamoto,66.42,52,2017
Oita,37.36,52,2017
Miyazaki,69.71,52,2017
Kagoshima,62.19,52,2017
Okinawa,68.09,52,2017
Total No.,0.44,1,2018
Hokkaido,0.65,1,2018
Aomori,0.33,1,2018
Iwate,0.65,1,2018
Miyagi,0.59,1,2018
Akita,0.38,1,2018
Yamagata,0.68,1,2018
Fukushima,0.83,1,2018
Ibaraki,0.49,1,2018
Tochigi,0.42,1,2018
Gunma,0.17,1,2018
Saitama,0.32,1,2018
Chiba,0.2,1,2018
Tokyo,0.22,1,2018
Kanagawa,0.1,1,2018
Niigata,0.42,1,2018
Toyama,0.48,1,2018
Ishikawa,0.24,1,2018
Fukui,0.27,1,2018
Yamanashi,0.38,1,2018
Nagano,0.77,1,2018
Gifu,0.4,1,2018
Shizuoka,0.4,1,2018
Aichi,0.29,1,2018
Mie,0.44,1,2018
Shiga,0.48,1,2018
Kyoto,0.4,1,2018
Osaka,0.93,1,2018
Hyogo,0.61,1,2018
Nara,1.47,1,2018
Wakayama,0.63,1,2018
Tottori,0.16,1,2018
Shimane,0.52,1,2018
Okayama,0.26,1,2018
Hiroshima,0.34,1,2018
Yamaguchi,1.15,1,2018
Tokushima,0.65,1,2018
Kagawa,0.57,1,2018
Ehime,0.22,1,2018
Kochi,0.53,1,2018
Fukuoka,0.25,1,2018
Saga,0.65,1,2018
Nagasaki,0.14,1,2018
Kumamoto,0.18,1,2018
Oita,0.61,1,2018
Miyazaki,0.58,1,2018
Kagoshima,0.58,1,2018
Okinawa,0.21,1,2018
Total No.,0.89,2,2018
Hokkaido,1.31,2,2018
Aomori,0.64,2,2018
Iwate,1.4,2,2018
Miyagi,1.31,2,2018
Akita,0.62,2,2018
Yamagata,1.24,2,2018
Fukushima,1.39,2,2018
Ibaraki,0.96,2,2018
Tochigi,0.79,2,2018
Gunma,0.54,2,2018
Saitama,0.65,2,2018
Chiba,0.52,2,2018
Tokyo,0.41,2,2018
Kanagawa,0.28,2,2018
Niigata,0.84,2,2018
Toyama,0.86,2,2018
Ishikawa,0.48,2,2018
Fukui,0.73,2,2018
Yamanashi,0.54,2,2018
Nagano,1.28,2,2018
Gifu,0.77,2,2018
Shizuoka,0.76,2,2018
Aichi,0.63,2,2018
Mie,1.09,2,2018
Shiga,1.0,2,2018
Kyoto,0.7,2,2018
Osaka,1.8,2,2018
Hyogo,1.54,2,2018
Nara,2.24,2,2018
Wakayama,1.33,2,2018
Tottori,0.74,2,2018
Shimane,0.83,2,2018
Okayama,0.56,2,2018
Hiroshima,0.72,2,2018
Yamaguchi,2.35,2,2018
Tokushima,1.35,2,2018
Kagawa,1.18,2,2018
Ehime,0.54,2,2018
Kochi,0.97,2,2018
Fukuoka,0.68,2,2018
Saga,1.04,2,2018
Nagasaki,0.39,2,2018
Kumamoto,0.38,2,2018
Oita,0.83,2,2018
Miyazaki,1.47,2,2018
Kagoshima,1.16,2,2018
Okinawa,0.47,2,2018
Total No.,1.36,3,2018
Hokkaido,2.38,3,2018
Aomori,0.9,3,2018
Iwate,2.3,3,2018
Miyagi,2.05,3,2018
Akita,1.03,3,2018
Yamagata,1.83,3,2018
Fukushima,2.37,3,2018
Ibaraki,1.49,3,2018
Tochigi,1.04,3,2018
Gunma,0.81,3,2018
Saitama,1.09,3,2018
Chiba,0.73,3,2018
Tokyo,0.68,3,2018
Kanagawa,0.44,3,2018
Niigata,1.6,3,2018
Toyama,1.59,3,2018
Ishikawa,0.83,3,2018
Fukui,0.86,3,2018
Yamanashi,1.08,3,2018
Nagano,1.77,3,2018
Gifu,0.92,3,2018
Shizuoka,0.97,3,2018
Aichi,0.97,3,2018
Mie,1.89,3,2018
Shiga,1.16,3,2018
Kyoto,0.88,3,2018
Osaka,2.45,3,2018
Hyogo,2.22,3,2018
Nara,2.62,3,2018
Wakayama,2.0,3,2018
Tottori,0.84,3,2018
Shimane,0.91,3,2018
Okayama,0.8,3,2018
Hiroshima,1.15,3,2018
Yamaguchi,4.0,3,2018
Tokushima,2.0,3,2018
Kagawa,1.36,3,2018
Ehime,1.16,3,2018
Kochi,1.3,3,2018
Fukuoka,1.2,3,2018
Saga,1.43,3,2018
Nagasaki,0.64,3,2018
Kumamoto,0.64,3,2018
Oita,1.31,3,2018
Miyazaki,2.56,3,2018
Kagoshima,2.09,3,2018
Okinawa,0.85,3,2018
Total No.,1.86,4,2018
Hokkaido,3.67,4,2018
Aomori,1.1,4,2018
Iwate,2.7,4,2018
Miyagi,2.66,4,2018
Akita,1.59,4,2018
Yamagata,2.79,4,2018
Fukushima,2.93,4,2018
Ibaraki,1.85,4,2018
Tochigi,1.48,4,2018
Gunma,1.0,4,2018
Saitama,1.41,4,2018
Chiba,0.99,4,2018
Tokyo,1.01,4,2018
Kanagawa,0.64,4,2018
Niigata,2.25,4,2018
Toyama,1.97,4,2018
Ishikawa,1.83,4,2018
Fukui,1.14,4,2018
Yamanashi,1.46,4,2018
Nagano,2.26,4,2018
Gifu,1.25,4,2018
Shizuoka,1.24,4,2018
Aichi,1.35,4,2018
Mie,2.87,4,2018
Shiga,1.42,4,2018
Kyoto,1.25,4,2018
Osaka,3.09,4,2018
Hyogo,2.88,4,2018
Nara,3.29,4,2018
Wakayama,2.27,4,2018
Tottori,0.89,4,2018
Shimane,1.17,4,2018
Okayama,1.11,4,2018
Hiroshima,1.46,4,2018
Yamaguchi,5.46,4,2018
Tokushima,2.61,4,2018
Kagawa,1.79,4,2018
Ehime,1.62,4,2018
Kochi,1.57,4,2018
Fukuoka,2.03,4,2018
Saga,2.17,4,2018
Nagasaki,0.95,4,2018
Kumamoto,1.04,4,2018
Oita,1.75,4,2018
Miyazaki,3.64,4,2018
Kagoshima,3.04,4,2018
Okinawa,1.15,4,2018
Total No.,2.31,5,2018
Hokkaido,4.96,5,2018
Aomori,1.29,5,2018
Iwate,3.13,5,2018
Miyagi,3.15,5,2018
Akita,2.0,5,2018
Yamagata,3.28,5,2018
Fukushima,3.48,5,2018
Ibaraki,2.11,5,2018
Tochigi,1.77,5,2018
Gunma,1.31,5,2018
Saitama,1.76,5,2018
Chiba,1.21,5,2018
Tokyo,1.33,5,2018
Kanagawa,0.83,5,2018
Niigata,2.56,5,2018
Toyama,2.52,5,2018
Ishikawa,2.24,5,2018
Fukui,1.5,5,2018
Yamanashi,1.71,5,2018
Nagano,2.72,5,2018
Gifu,1.73,5,2018
Shizuoka,1.45,5,2018
Aichi,1.65,5,2018
Mie,3.67,5,2018
Shiga,1.61,5,2018
Kyoto,1.42,5,2018
Osaka,3.71,5,2018
Hyogo,3.4,5,2018
Nara,3.71,5,2018
Wakayama,2.73,5,2018
Tottori,1.05,5,2018
Shimane,1.35,5,2018
Okayama,1.33,5,2018
Hiroshima,1.79,5,2018
Yamaguchi,6.48,5,2018
Tokushima,3.91,5,2018
Kagawa,2.07,5,2018
Ehime,2.05,5,2018
Kochi,2.1,5,2018
Fukuoka,2.67,5,2018
Saga,2.7,5,2018
Nagasaki,1.34,5,2018
Kumamoto,1.58,5,2018
Oita,2.36,5,2018
Miyazaki,4.56,5,2018
Kagoshima,4.13,5,2018
Okinawa,1.41,5,2018
Total No.,2.72,6,2018
Hokkaido,5.97,6,2018
Aomori,1.48,6,2018
Iwate,3.38,6,2018
Miyagi,3.58,6,2018
Akita,2.41,6,2018
Yamagata,3.76,6,2018
Fukushima,4.24,6,2018
Ibaraki,2.4,6,2018
Tochigi,2.0,6,2018
Gunma,1.52,6,2018
Saitama,2.16,6,2018
Chiba,1.48,6,2018
Tokyo,1.59,6,2018
Kanagawa,1.03,6,2018
Niigata,2.72,6,2018
Toyama,3.03,6,2018
Ishikawa,2.83,6,2018
Fukui,1.95,6,2018
Yamanashi,1.83,6,2018
Nagano,2.94,6,2018
Gifu,2.04,6,2018
Shizuoka,1.69,6,2018
Aichi,2.04,6,2018
Mie,4.22,6,2018
Shiga,1.94,6,2018
Kyoto,1.65,6,2018
Osaka,4.21,6,2018
Hyogo,4.08,6,2018
Nara,4.12,6,2018
Wakayama,3.1,6,2018
Tottori,1.21,6,2018
Shimane,1.39,6,2018
Okayama,1.41,6,2018
Hiroshima,2.06,6,2018
Yamaguchi,7.19,6,2018
Tokushima,5.22,6,2018
Kagawa,2.64,6,2018
Ehime,2.41,6,2018
Kochi,2.5,6,2018
Fukuoka,3.36,6,2018
Saga,3.09,6,2018
Nagasaki,1.43,6,2018
Kumamoto,2.0,6,2018
Oita,2.69,6,2018
Miyazaki,5.5,6,2018
Kagoshima,4.85,6,2018
Okinawa,1.91,6,2018
Total No.,3.08,7,2018
Hokkaido,6.74,7,2018
Aomori,1.67,7,2018
Iwate,3.7,7,2018
Miyagi,4.05,7,2018
Akita,2.56,7,2018
Yamagata,4.03,7,2018
Fukushima,5.09,7,2018
Ibaraki,2.61,7,2018
Tochigi,2.25,7,2018
Gunma,1.7,7,2018
Saitama,2.56,7,2018
