Region,RSV_PC,Week,Year
Miyazaki,4.44,4,2015
Kagoshima,2.42,4,2015
Okinawa,0.65,4,2015
Total No.,4.06,5,2015
Hokkaido,6.15,5,2015
Aomori,2.5,5,2015
Iwate,2.93,5,2015
Miyagi,3.72,5,2015
Akita,2.2,5,2015
Yamagata,2.43,5,2015
Fukushima,8.84,5,2015
Ibaraki,3.87,5,2015
Tochigi,3.71,5,2015
Gunma,4.51,5,2015
Saitama,3.55,5,2015
Chiba,1.71,5,2015
Tokyo,2.41,5,2015
Kanagawa,2.23,5,2015
Niigata,4.41,5,2015
Toyama,3.1,5,2015
Ishikawa,2.38,5,2015
Fukui,3.95,5,2015
Yamanashi,2.67,5,2015
Nagano,5.17,5,2015
Gifu,3.25,5,2015
Shizuoka,3.8,5,2015
Aichi,2.93,5,2015
Mie,4.38,5,2015
Shiga,4.94,5,2015
Kyoto,2.19,5,2015
Osaka,6.37,5,2015
Hyogo,5.85,5,2015
Nara,5.71,5,2015
Wakayama,9.68,5,2015
Tottori,2.11,5,2015
Shimane,3.83,5,2015
Okayama,2.57,5,2015
Hiroshima,3.25,5,2015
Yamaguchi,6.1,5,2015
Tokushima,11.78,5,2015
Kagawa,6.0,5,2015
Ehime,6.57,5,2015
Kochi,5.8,5,2015
Fukuoka,4.63,5,2015
Saga,6.65,5,2015
Nagasaki,3.36,5,2015
Kumamoto,5.64,5,2015
Oita,5.08,5,2015
Miyazaki,5.47,5,2015
Kagoshima,3.09,5,2015
Okinawa,1.06,5,2015
Total No.,4.66,6,2015
Hokkaido,6.94,6,2015
Aomori,2.9,6,2015
Iwate,3.38,6,2015
Miyagi,4.09,6,2015
Akita,2.31,6,2015
Yamagata,2.41,6,2015
Fukushima,9.64,6,2015
Ibaraki,4.04,6,2015
Tochigi,3.98,6,2015
Gunma,5.11,6,2015
Saitama,3.97,6,2015
Chiba,1.91,6,2015
Tokyo,2.79,6,2015
Kanagawa,2.56,6,2015
Niigata,4.85,6,2015
Toyama,3.31,6,2015
Ishikawa,2.55,6,2015
Fukui,4.36,6,2015
Yamanashi,2.92,6,2015
Nagano,5.34,6,2015
Gifu,3.48,6,2015
Shizuoka,4.23,6,2015
Aichi,3.14,6,2015
Mie,4.6,6,2015
Shiga,5.53,6,2015
Kyoto,2.36,6,2015
Osaka,7.63,6,2015
Hyogo,6.74,6,2015
Nara,6.68,6,2015
Wakayama,11.0,6,2015
Tottori,2.42,6,2015
Shimane,4.39,6,2015
Okayama,3.13,6,2015
Hiroshima,3.82,6,2015
Yamaguchi,7.17,6,2015
Tokushima,13.39,6,2015
Kagawa,6.69,6,2015
Ehime,7.92,6,2015
Kochi,6.97,6,2015
Fukuoka,5.97,6,2015
Saga,8.65,6,2015
Nagasaki,4.18,6,2015
Kumamoto,6.64,6,2015
Oita,5.75,6,2015
Miyazaki,7.33,6,2015
Kagoshima,3.91,6,2015
Okinawa,1.53,6,2015
Total No.,5.17,7,2015
Hokkaido,7.43,7,2015
Aomori,3.48,7,2015
Iwate,3.75,7,2015
Miyagi,4.38,7,2015
Akita,2.51,7,2015
Yamagata,2.59,7,2015
Fukushima,10.31,7,2015
Ibaraki,4.2,7,2015
Tochigi,4.21,7,2015
Gunma,5.43,7,2015
Saitama,4.17,7,2015
Chiba,2.08,7,2015
Tokyo,3.02,7,2015
Kanagawa,2.81,7,2015
Niigata,5.2,7,2015
Toyama,3.38,7,2015
Ishikawa,2.76,7,2015
Fukui,5.14,7,2015
Yamanashi,3.13,7,2015
Nagano,5.53,7,2015
Gifu,3.63,7,2015
Shizuoka,4.6,7,2015
Aichi,3.39,7,2015
Mie,4.89,7,2015
Shiga,5.78,7,2015
Kyoto,2.51,7,2015
Osaka,8.64,7,2015
Hyogo,7.55,7,2015
Nara,7.35,7,2015
Wakayama,11.74,7,2015
Tottori,2.47,7,2015
Shimane,4.78,7,2015
Okayama,3.43,7,2015
Hiroshima,4.14,7,2015
Yamaguchi,8.13,7,2015
Tokushima,14.04,7,2015
Kagawa,7.72,7,2015
Ehime,9.08,7,2015
Kochi,7.83,7,2015
Fukuoka,7.23,7,2015
Saga,9.78,7,2015
Nagasaki,5.11,7,2015
Kumamoto,7.76,7,2015
Oita,6.53,7,2015
Miyazaki,10.19,7,2015
Kagoshima,4.89,7,2015
Okinawa,1.97,7,2015
Total No.,5.62,8,2015
Hokkaido,7.92,8,2015
Aomori,3.76,8,2015
Iwate,4.25,8,2015
Miyagi,4.59,8,2015
Akita,2.54,8,2015
Yamagata,2.79,8,2015
Fukushima,10.76,8,2015
Ibaraki,4.33,8,2015
Tochigi,4.38,8,2015
Gunma,5.78,8,2015
Saitama,4.43,8,2015
Chiba,2.26,8,2015
Tokyo,3.33,8,2015
Kanagawa,3.05,8,2015
Niigata,5.52,8,2015
Toyama,3.48,8,2015
Ishikawa,2.86,8,2015
Fukui,6.18,8,2015
Yamanashi,3.25,8,2015
Nagano,5.68,8,2015
Gifu,3.92,8,2015
Shizuoka,4.93,8,2015
Aichi,3.5,8,2015
Mie,5.04,8,2015
Shiga,6.09,8,2015
Kyoto,2.64,8,2015
Osaka,9.49,8,2015
Hyogo,8.04,8,2015
Nara,7.91,8,2015
Wakayama,13.0,8,2015
Tottori,2.58,8,2015
Shimane,5.17,8,2015
Okayama,3.69,8,2015
Hiroshima,4.37,8,2015
Yamaguchi,9.0,8,2015
Tokushima,14.61,8,2015
Kagawa,8.79,8,2015
Ehime,10.35,8,2015
Kochi,8.67,8,2015
Fukuoka,8.18,8,2015
Saga,11.35,8,2015
Nagasaki,6.23,8,2015
Kumamoto,8.56,8,2015
Oita,7.44,8,2015
Miyazaki,12.5,8,2015
Kagoshima,5.65,8,2015
Okinawa,2.59,8,2015
Total No.,6.06,9,2015
Hokkaido,8.45,9,2015
Aomori,4.24,9,2015
Iwate,4.6,9,2015
Miyagi,4.78,9,2015
Akita,2.69,9,2015
Yamagata,2.9,9,2015
Fukushima,11.13,9,2015
Ibaraki,4.41,9,2015
Tochigi,4.5,9,2015
Gunma,6.22,9,2015
Saitama,4.69,9,2015
Chiba,2.4,9,2015
Tokyo,3.57,9,2015
Kanagawa,3.16,9,2015
Niigata,5.75,9,2015
Toyama,3.55,9,2015
Ishikawa,3.0,9,2015
Fukui,7.05,9,2015
Yamanashi,3.38,9,2015
Nagano,5.87,9,2015
Gifu,4.12,9,2015
Shizuoka,5.13,9,2015
Aichi,3.69,9,2015
Mie,5.22,9,2015
Shiga,6.22,9,2015
Kyoto,2.78,9,2015
Osaka,10.23,9,2015
Hyogo,8.52,9,2015
Nara,8.29,9,2015
Wakayama,14.26,9,2015
Tottori,2.79,9,2015
Shimane,5.74,9,2015
Okayama,3.87,9,2015
Hiroshima,4.72,9,2015
Yamaguchi,9.46,9,2015
Tokushima,15.0,9,2015
Kagawa,9.62,9,2015
Ehime,11.57,9,2015
Kochi,9.6,9,2015
Fukuoka,9.34,9,2015
Saga,12.87,9,2015
Nagasaki,7.7,9,2015
Kumamoto,9.52,9,2015
Oita,8.08,9,2015
Miyazaki,15.61,9,2015
Kagoshima,6.47,9,2015
Okinawa,3.38,9,2015
Total No.,6.49,10,2015
Hokkaido,8.96,10,2015
Aomori,4.62,10,2015
Iwate,4.93,10,2015
Miyagi,4.93,10,2015
Akita,2.74,10,2015
Yamagata,2.93,10,2015
Fukushima,11.6,10,2015
Ibaraki,4.65,10,2015
Tochigi,4.73,10,2015
Gunma,6.53,10,2015
Saitama,4.91,10,2015
Chiba,2.67,10,2015
Tokyo,3.77,10,2015
Kanagawa,3.43,10,2015
Niigata,6.05,10,2015
Toyama,3.69,10,2015
Ishikawa,3.24,10,2015
Fukui,7.95,10,2015
Yamanashi,3.58,10,2015
Nagano,5.94,10,2015
Gifu,4.29,10,2015
Shizuoka,5.27,10,2015
Aichi,3.86,10,2015
Mie,5.6,10,2015
Shiga,6.31,10,2015
Kyoto,2.9,10,2015
Osaka,10.76,10,2015
Hyogo,9.02,10,2015
Nara,8.94,10,2015
Wakayama,15.16,10,2015
Tottori,2.95,10,2015
Shimane,6.3,10,2015
Okayama,3.93,10,2015
Hiroshima,4.94,10,2015
Yamaguchi,10.02,10,2015
Tokushima,15.43,10,2015
Kagawa,10.39,10,2015
Ehime,12.43,10,2015
Kochi,10.03,10,2015
Fukuoka,10.65,10,2015
Saga,13.91,10,2015
Nagasaki,8.64,10,2015
Kumamoto,10.5,10,2015
Oita,8.5,10,2015
Miyazaki,19.5,10,2015
Kagoshima,7.35,10,2015
Okinawa,4.65,10,2015
Total No.,6.91,11,2015
Hokkaido,9.4,11,2015
Aomori,5.14,11,2015
Iwate,5.18,11,2015
Miyagi,5.07,11,2015
Akita,2.83,11,2015
Yamagata,3.31,11,2015
Fukushima,12.11,11,2015
Ibaraki,4.83,11,2015
Tochigi,4.92,11,2015
Gunma,6.81,11,2015
Saitama,5.23,11,2015
Chiba,2.94,11,2015
Tokyo,3.96,11,2015
Kanagawa,3.6,11,2015
Niigata,6.28,11,2015
Toyama,3.86,11,2015
Ishikawa,3.76,11,2015
Fukui,8.23,11,2015
Yamanashi,3.75,11,2015
Nagano,6.04,11,2015
Gifu,4.42,11,2015
Shizuoka,5.42,11,2015
Aichi,3.96,11,2015
Mie,5.73,11,2015
Shiga,6.44,11,2015
Kyoto,2.97,11,2015
Osaka,11.28,11,2015
Hyogo,9.73,11,2015
Nara,9.38,11,2015
Wakayama,15.87,11,2015
Tottori,2.95,11,2015
Shimane,6.83,11,2015
Okayama,4.09,11,2015
Hiroshima,5.2,11,2015
Yamaguchi,10.56,11,2015
Tokushima,16.22,11,2015
Kagawa,10.82,11,2015
Ehime,13.32,11,2015
Kochi,10.27,11,2015
Fukuoka,11.92,11,2015
Saga,14.74,11,2015
Nagasaki,9.52,11,2015
Kumamoto,11.16,11,2015
Oita,8.92,11,2015
Miyazaki,22.89,11,2015
Kagoshima,8.33,11,2015
Okinawa,6.18,11,2015
Total No.,7.23,12,2015
Hokkaido,9.93,12,2015
Aomori,5.4,12,2015
Iwate,5.38,12,2015
Miyagi,5.12,12,2015
Akita,2.86,12,2015
Yamagata,3.38,12,2015
Fukushima,12.36,12,2015
Ibaraki,4.91,12,2015
Tochigi,5.1,12,2015
Gunma,6.91,12,2015
Saitama,5.28,12,2015
