flu_season_year,flu_weekid,holiday_effect,date,rate.All,pos,ILI+,H1N1,H3N2,BIV,ILI_est,beta,gamma,xi,S,I,R,total_inf,ILI_growth_rate,diff_spike,status,ili_status,SIR,ILI*beta,SIR_new,I_gr,SIR_gr,ILI_est_gr,beta_gr,beta_diff2,mean_2,max_2,min_2,avg_2,ILI,ILI_diff,diff_mean_4,diff_std_4,diff_max_4,seq_diff2,diff_mean_4_est,diff_std_4_est,diff_max_4_est,seq_diff2_est,beta_lag1,ILI_lag1,beta_lag2,ILI_lag2,beta_lag3,ILI_lag3,sin_week,cos_week,beta_lag1_gr,ILI_lag1_gr,time_idx,time_sin,time_cos,decay_distance
2017,10,0,2017-01-08,40.9381663113006,0.0614244109081281,2.51460274933062,0.1300656594481329,2.297826650250389,0.0867104396320886,2.3492759166476835,0.289487289480612,0.25238462036147785,0.005328893991755881,84730.87028137266,167.50543312748232,15101.624285500002,281.29031897934817,0.2957449430983896,0,1,1,4108658.68701386,0.7279455340242159,24528.50997308791,11.262623100935627,403013.8344939947,0.1654158592791819,0.008705396541288046,0.002692335152331693,2.366730277781421,2.51460274933062,0.28078189293932393,0.289487289480612,2.366730277781421,0.58215629962142,0.0257484401000303,1.0053857884200346,0.8685676561444502,-0.5728227130460606,-0.17522108761304947,0.4607084371458412,0.1654158592791819,0.15708098375638446,0.28078189293932393,2.21885780623223,0.2747688315503676,1.35029015008778,0.28587187153556815,2.43735742903052,0.9350162426854148,0.35460488704253557,0.006013061388956353,0.8685676561444502,992,-0.9380962517011612,-0.3463746851954277,0.0
2017,11,0,2017-01-15,33.535497681056,0.0805201300325081,2.7002826339835,0.1761053891728354,2.3396858847248367,0.1844913600858274,2.6044948292999566,0.29693084809627357,0.2523876785585042,0.00532908296419879,84944.4001376523,184.24097984586004,14871.358882501923,325.79835116345265,0.1856798846528802,0,1,1,4647038.891736468,0.8017972126083601,25222.612773902314,16.73554671837772,538380.2047226084,0.25521891265227303,0.007443558615661594,-0.0012618379256264523,2.607442691657056,2.7002826339835,0.289487289480612,0.29693084809627357,2.607442691657056,0.2407124138756349,0.4499974946319037,0.3666460341449653,0.8685676561444502,-0.1100650584455094,0.14298988248475228,0.12496049485276985,0.25521891265227303,0.08980305337309114,0.289487289480612,2.51460274933062,0.28078189293932393,2.21885780623223,0.2747688315503676,1.35029015008778,0.970941817426052,0.23931566428755804,0.008705396541288046,0.2957449430983896,993,-0.9396091049918476,-0.3422495139754317,0.0
2017,12,0,2017-01-22,39.3547243396561,0.0812169312169312,3.19626993975514,0.1665808437657388,2.998455187783322,0.0312339082060725,3.079714475901221,0.30488925470541245,0.252392107370357,0.00533083214499435,85079.14129566088,217.5112058801909,14703.347498458901,405.35820301542225,0.49598730577163996,0,1,1,5642178.903132253,0.9745083597692582,25939.715980610526,33.27022603433085,995140.011395785,0.4752196466012646,0.00795840660913888,0.0005148479934772854,2.9482762868693158,3.19626993975514,0.29693084809627357,0.30488925470541245,2.9482762868693158,0.34083359521225987,0.3258040445076336,0.15732239536567003,0.49598730577163996,0.31030742111875975,0.298618139510908,0.15939641253444325,0.4752196466012646,0.22000073394899156,0.29693084809627357,2.7002826339835,0.289487289480612,2.51460274933062,0.28078189293932393,2.21885780623223,0.992708874098054,0.120536680255323,0.007443558615661594,0.1856798846528802,994,-0.9411038184121472,-0.3381177353675438,0.0
2017,13,1,2017-01-29,39.8740818467996,0.0877598152424942,3.49934205583922,0.276263846513623,3.0043693308356496,0.218708878489948,3.6923037856978227,0.3104330922204649,0.25239423609239225,0.005330351198553291,85113.94429259354,260.6733672811879,14625.382340125236,502.89396716089976,0.3030721160840799,0,1,1,6887559.913457016,1.0863115751312877,26422.184917830204,43.16216140099701,1245381.0103247631,0.6125893097966015,0.005543837515052441,-0.0024145690940864384,3.3478059977971757,3.49934205583922,0.30488925470541245,0.3104330922204649,3.3478059977971757,0.39952971092785994,0.32824643550286375,0.15667796165732112,0.49598730577163996,-0.19291518968756005,0.44767595635004787,0.18027032851636485,0.6125893097966015,0.13736966319533694,0.30488925470541245,3.19626993975514,0.29693084809627357,2.7002826339835,0.289487289480612,2.51460274933062,1.0,-1.6081226496766366e-16,0.00795840660913888,0.49598730577163996,995,-0.9425803631054774,-0.3339794291389012,1.0
2017,14,1,2017-02-05,28.1124497991968,0.0851305334846765,2.39322784896681,0.2233679325702354,2.0422210977850104,0.1276388186115619,3.5219653686314683,0.301207072760512,0.25239207397671415,0.005326786544471086,85272.70130108189,248.46414967844592,14478.834549239658,454.1358794990699,-1.1061142068724097,0,1,1,6381737.268987424,0.7208571548362296,25684.74074528038,-12.209217602741973,-505822.6444695927,-0.17033841706635444,-0.009226019459952883,-0.014769856975005324,2.946284952403011,3.49934205583922,0.301207072760512,0.3104330922204649,2.946284952403011,-0.40152104539416467,-0.10235159500556623,0.8746191190109329,0.49598730577163996,-1.4091863229564896,0.3058235131105054,0.4180493319023991,0.6125893097966015,-0.782927726862956,0.3104330922204649,3.49934205583922,0.30488925470541245,3.19626993975514,0.29693084809627357,2.7002826339835,0.992708874098054,-0.12053668025532288,0.005543837515052441,0.3030721160840799,996,-0.9440387105660166,-0.3298346751826627,1.0
2017,15,0,2017-02-12,48.8880720455799,0.0867446393762183,4.2407781793924,0.2978074564180063,3.776198547380317,0.166772175594079,4.270799467310869,0.3111346147231823,0.2523955919007266,0.00532874747257323,85196.48885534145,301.1988846017154,14502.312260056859,584.2503175125601,1.84755033042559,0,1,1,7984052.546309678,1.319452884971733,26507.576735774557,52.734734923269485,1602315.2773222541,0.7488340986794011,0.009927541962670317,0.0191535614226232,3.317003014179601,4.2407781793924,0.301207072760512,0.3111346147231823,3.317003014179601,0.37071806177659017,0.3481694132124171,1.4773485960934416,1.84755033042559,2.9536645372979997,0.3970283304698842,0.4960538582472143,0.7488340986794011,0.9191725157457555,0.301207072760512,2.39322784896681,0.3104330922204649,3.49934205583922,0.30488925470541245,3.19626993975514,0.9709418174260521,-0.2393156642875575,-0.009226019459952883,-1.1061142068724097,997,-0.9454788326392558,-0.325683553516462,0.5
2017,16,0,2017-02-19,55.9984813971147,0.0907578997386553,5.08230456015629,0.2394803195885144,4.550126072181808,0.2926981683859621,5.146680802601126,0.31567065005135164,0.25239943066708104,0.005330869075427408,85038.56600911063,362.23801503028784,14599.19597585917,719.2582737445443,0.8415263807638897,0,1,1,9723982.265149811,1.6043343842634847,26844.179411530728,61.039130428572435,1739929.7188401334,0.8758813352902566,0.004536035328169319,-0.005391506634500998,4.661541369774341,5.08230456015629,0.3111346147231823,0.31567065005135164,4.661541369774341,1.3445383555947394,0.5276541681056871,1.5016392290201623,1.84755033042559,-1.0060239496617003,0.48479233896776924,0.5709049664428645,0.8758813352902566,0.12704723661085549,0.3111346147231823,4.2407781793924,0.301207072760512,2.39322784896681,0.3104330922204649,3.49934205583922,0.9350162426854148,-0.35460488704253545,0.009927541962670317,1.84755033042559,998,-0.9469007015225387,-0.3215261442808721,0.25
2017,17,0,2017-02-26,51.8922492150058,0.0914140245313585,4.7436793427279,0.2642049254177538,4.143213603142095,0.3362608141680499,5.310249232956894,0.3087102346045232,0.25239755273931824,0.0053312521959171,84997.27899779513,373.3849842022415,14629.33601800269,709.3468352981005,-0.33862521742839036,0,1,1,9797446.472179184,1.4644223627821602,26239.529940155448,11.146969171953685,73464.20702937245,0.1635684303557685,-0.006960415446828461,-0.01149645077499778,4.912991951442091,5.08230456015629,0.3087102346045232,0.31567065005135164,4.912991951442091,0.2514505816677506,0.7834838312536935,1.094242927632615,1.84755033042559,-1.18015159819228,0.5960946214418102,0.3799268739695832,0.8758813352902566,-0.7123129049344881,0.31567065005135164,5.08230456015629,0.3111346147231823,4.2407781793924,0.301207072760512,2.39322784896681,0.8854560256532099,-0.4647231720437685,0.004536035328169319,0.8415263807638897,999,-0.9483042897656029,-0.3173625277378466,0.125
2017,18,0,2017-03-05,54.493878769782,0.0923714355349744,5.03367780983363,0.3984441538126883,4.369604220145816,0.2656294358751237,5.415777273019214,0.3047029947975261,0.25239184325407005,0.005331821076702541,84856.5719108538,382.87012950783526,14760.557959638238,707.138742432565,0.28999846710573074,0,1,1,9899509.82062884,1.5337767035021592,25856.051589488787,9.485145305593733,102063.34844965674,0.1055280400623193,-0.004007239806997076,0.0029531756398313846,4.8886785762807605,5.03367780983363,0.3047029947975261,0.3087102346045232,4.8886785762807605,-0.024313375161330697,0.2642998768137404,0.5904953529336997,0.8415263807638897,0.6286236845341211,0.3816592685694496,0.4289915618655284,0.8758813352902566,-0.05804039029344921,0.3087102346045232,4.7436793427279,0.31567065005135164,5.08230456015629,0.3111346147231823,4.2407781793924,0.8229838658936565,-0.5680647467311557,-0.006960415446828461,-0.33862521742839036,1000,-0.9496895702711068,-0.3131927842691792,0.0625
2017,19,0,2017-03-12,59.0650663297536,0.0833728090952155,4.92442049930679,0.223837295423035,4.308867936893441,0.3917152669903112,5.404675838230835,0.3012069879702486,0.25239205272480736,0.005333054449105796,84720.47828968566,382.69320715216134,14896.82850316219,689.4781358401535,-0.10925731052684018,0,1,1,9765718.369934052,1.4832698660951458,25518.400085035057,-0.17692235567392345,-133791.45069478825,-0.011101434788378661,-0.00349600682727752,0.0005112329797195558,4.979049154570206,5.03367780983363,0.3012069879702486,0.3047029947975261,4.979049154570206,0.09037057828944572,-0.05262802028316956,0.3181149031003408,0.28999846710573074,-0.3992557776325709,0.08599834520990453,0.08895755832565423,0.1635684303557685,-0.11662947485069797,0.3047029947975261,5.03367780983363,0.3087102346045232,4.7436793427279,0.31567065005135164,5.08230456015629,0.7485107481711013,-0.663122658240795,-0.004007239806997076,0.28999846710573074,1001,-0.9510565162951535,-0.30901699437494756,0.03125
