date,Total_absent_rate,group
2008-09-07,0.01247950193168237,1
2008-09-14,0.015467814153631448,1
2008-09-21,0.016460634753638435,1
2008-09-28,0.03197588634543232,1
2008-10-05,0.021607942378820324,1
2008-10-12,0.026043951661149443,1
2008-10-19,0.021136550153248362,1
2008-10-26,0.01970740535920768,1
2008-11-02,0.024097472924187725,1
2008-11-09,0.019013276512047206,1
2008-11-16,0.024265644955300127,1
2008-11-23,0.022158399648975848,1
2008-11-30,0.023104434907010016,1
2008-12-07,0.025212662586727125,1
2008-12-14,0.030861537441575233,1
2008-12-21,0.029719528660856757,1
2008-12-28,0.05415584415584416,1
2009-01-04,0.046507936507936505,1
2009-01-11,0.02503895967836985,1
2009-01-18,0.027455078443081267,1
2009-01-25,0.041043367124640545,1
2009-02-01,,2
2009-02-08,0.042406246563290444,3
2009-02-15,0.03527501909854851,3
2009-02-22,0.03396164503427155,3
2009-03-01,0.03327543154923461,3
2009-03-08,0.028128836252196875,3
2009-03-15,0.030867267378642413,3
2009-03-22,0.026111604687566105,3
2009-03-29,0.021157714370855993,3
2009-04-05,0.02515941049786749,3
2009-04-12,0.03711426188490409,3
2009-04-19,0.047460652279733895,3
2009-04-26,0.020595848260966453,3
2009-05-03,0.02187459571348484,3
2009-05-10,0.024292533923987877,3
2009-05-17,0.019727004485954405,3
2009-05-24,0.02056052186518483,3
2009-05-31,0.020563973866175332,3
2009-06-07,0.01857411051958535,3
2009-06-14,0.01203221450617284,3
2009-06-21,0.014764510186687195,3
2009-06-28,0.02783131601264359,3
2009-07-05,0.011829944547134935,3
2009-07-12,0.008056042031523642,3
2009-07-19,0.000724112961622013,3
2009-07-26,0.0,3
2009-08-02,0.0,3
2009-08-09,0.0,3
2009-08-16,0.0,3
2009-08-23,0.0031620553359683794,3
2009-08-30,0.0008244023083264633,3
2009-09-06,0.01910204081632653,3
2009-09-13,0.03015422601389324,3
2009-09-20,0.04243709270057061,3
2009-09-27,0.05976868087402212,3
2009-10-04,0.04667773708514365,3
2009-10-11,0.034611313470938015,3
2009-10-18,0.025689902929704682,3
2009-10-25,0.02195503633349344,3
2009-11-01,0.0204625980333612,3
2009-11-08,0.02146883226242044,3
2009-11-15,0.018602029312288614,3
2009-11-22,0.027332153459693993,3
2009-11-29,0.029440436732306494,3
2009-12-06,0.027356917290565233,3
2009-12-13,0.02603735261706005,3
2009-12-20,0.025678246776125714,3
2009-12-27,0.031185427726738088,3
2010-01-03,0.0,3
2010-01-10,0.023377189907535074,3
2010-01-17,0.022283816358739605,3
2010-01-24,0.02898249503487137,3
2010-01-31,0.03219401089194201,3
2010-02-07,0.03405865657521287,3
2010-02-14,0.047044900800556906,3
2010-02-21,0.0,3
2010-02-28,0.0472577532251385,3
2010-03-07,0.04438648324254455,3
2010-03-14,0.04298914021719566,3
2010-03-21,0.034941653196341974,3
2010-03-28,0.03039574062301335,3
2010-04-04,0.03226390557869265,3
2010-04-11,0.036382270048680505,3
2010-04-18,0.0351613903626778,3
2010-04-25,0.03097359494944577,3
2010-05-02,0.03368908529078442,3
2010-05-09,0.03554137802153865,3
2010-05-16,0.030486760791394903,3
2010-05-23,0.027312497536751666,3
2010-05-30,0.029988267244279256,3
2010-06-06,0.027363600334669076,3
2010-06-13,0.0231718450286699,3
2010-06-20,0.029620454475945805,3
2010-06-27,0.0262412878162729,3
2010-07-04,0.0345339322958447,3
2010-07-11,0.039481603338281906,3
2010-07-18,0.038103994279293084,3
2010-07-25,0.0,3
2010-08-01,0.0,3
2010-08-08,0.0,3
2010-08-15,0.0,3
2010-08-22,0.0,3
2010-08-29,0.08409506398537477,3
2010-09-05,0.017318109842486874,3
2010-09-12,0.017687290291290965,3
2010-09-19,0.016342049702497922,3
2010-09-26,0.020444542253521127,3
2010-10-03,0.018885086845410837,3
2010-10-10,0.019425437797180204,3
2010-10-17,0.0184779150652187,3
2010-10-24,0.0188942698575418,3
2010-10-31,0.016271550774814774,3
2010-11-07,0.01667708658955924,3
2010-11-14,0.016989714249488884,3
2010-11-21,0.020402367897944473,3
2010-11-28,0.026446210976660126,3
2010-12-05,0.04501917074074602,3
2010-12-12,0.032110912984009,3
2010-12-19,0.03052334779459847,3
2010-12-26,0.03664977138198703,3
2011-01-02,0.0,3
2011-01-09,0.0247294997368475,3
2011-01-16,0.0258098223615465,3
2011-01-23,0.03279557531166973,3
2011-01-30,0.042056134436612526,3
2011-02-06,0.08293316028552888,3
2011-02-13,0.05574504737295435,3
2011-02-20,0.039529420585037923,3
2011-02-27,0.030204134283595085,3
2011-03-06,0.04147691039209497,3
2011-03-13,0.028503654314655725,3
2011-03-20,0.03352877702518234,3
2011-03-27,0.03084319623786567,3
2011-04-03,0.03177994126828752,3
2011-04-10,0.03350781982733052,3
2011-04-17,0.02924562502059783,3
2011-04-24,0.030588471077485784,3
2011-05-01,0.03671010955916714,3
2011-05-08,0.03335161736416382,3
2011-05-15,0.032515888540940806,3
2011-05-22,0.029681702792423353,3
2011-05-29,0.031169457145343662,3
2011-06-05,0.029057863106951017,3
2011-06-12,0.02060895204553831,3
2011-06-19,0.026421122853832378,3
2011-06-26,0.04009427572941782,3
2011-07-03,0.04118804340927842,3
2011-07-10,0.043816942551119765,3
2011-07-17,0.045348293595137916,3
2011-07-24,0.0,3
2011-07-31,0.01684836471754212,3
2011-08-07,,4
2011-08-14,,4
2011-08-21,,4
2011-08-28,0.010136257892987704,5
2011-09-04,0.017451478836299075,5
2011-09-11,0.01592577205373217,5
2011-09-18,0.020339041628505763,5
2011-09-25,0.019969910918840632,5
2011-10-02,0.01976425370476214,5
2011-10-09,0.020002667022269636,5
2011-10-16,0.02071948128049324,5
2011-10-23,0.02151450722119947,5
2011-10-30,0.021186498465734744,5
2011-11-06,0.018124407110318545,5
2011-11-13,0.02164787164398812,5
2011-11-20,0.022732482616336824,5
2011-11-27,0.02530912116361043,5
2011-12-04,0.025739625817310804,5
2011-12-11,0.02623446686482735,5
2011-12-18,0.02755091869621557,5
2011-12-25,0.028983167592233846,5
2012-01-01,0.0010822510822510823,5
2012-01-08,0.02262741276435691,5
2012-01-15,0.02636664549132368,5
2012-01-22,0.04572504304845516,5
2012-01-29,,6
2012-02-05,0.0702692713259194,7
2012-02-12,0.046606484649171206,7
2012-02-19,0.060809871579645215,7
2012-02-26,0.054665645737621234,7
2012-03-04,0.05717290574320205,7
2012-03-11,0.027014861414697208,7
2012-03-18,0.02772764452451047,7
2012-03-25,0.026392654590226203,7
2012-04-01,0.02353063415647837,7
2012-04-08,0.04612759930470611,7
2012-04-15,0.02535446205170976,7
2012-04-22,0.02011833572235939,7
2012-04-29,0.023136801737164918,7
2012-05-06,0.02479686068886704,7
2012-05-13,0.02439854001229739,7
2012-05-20,0.02647211156652237,7
2012-05-27,0.024539977255471884,7
2012-06-03,0.024824516349940078,7
2012-06-10,0.01604281748976283,7
2012-06-17,0.01310967904978519,7
2012-06-24,0.024407958563726295,7
2012-07-01,0.02650580385705146,7
2012-07-08,0.02971274814295324,7
2012-07-15,0.03516360286755577,7
2012-07-22,0.011417058428475487,7
2012-07-29,0.0004608294930875576,7
2012-08-05,,8
2012-08-12,0.0,9
2012-08-19,0.021303258145363407,9
2012-08-26,0.0,9
2012-09-02,,10
2012-09-09,0.011534176551543351,11
2012-09-16,0.011045586445754938,11
2012-09-23,0.009683299156983367,11
2012-09-30,0.013986505482147877,11
2012-10-07,0.017826825127334467,11
2012-10-14,0.01437265311407484,11
2012-10-21,0.014430310491040897,11
2012-10-28,0.013897420147420148,11
2012-11-04,0.01615819209039548,11
2012-11-11,0.014631074075868417,11
2012-11-18,0.018692533090835607,11
2012-11-25,0.017937964539301583,11
2012-12-02,0.025072154599071403,11
2012-12-09,0.029976853315794135,11
2012-12-16,0.047083909341794496,11
2012-12-23,0.050775090366560735,11
2012-12-30,,12
2013-01-06,0.043894059084514665,13
2013-01-13,0.0258327397065109,13
2013-01-20,0.03189245462363645,13
2013-01-27,0.0571578132998726,13
2013-02-03,0.06553487296695966,13
2013-02-10,0.07662493968940708,13
2013-02-17,,14
2013-02-24,0.060833183812615196,15
2013-03-03,0.06021956897403823,15
