YEAR,WEEK,flu_season_year,flu_weekid,holiday_effect,date,ILI+,ILI_weight,pos,ILI_est,beta,S,I,R
2004,1,2004,11,0,2004-01-11,3.593269867358708,2.89129,0.1242791234140715,4.883125396404855,0.1563125828981879,82294.18281134666,494.8819082278051,17210.93528042553
2004,2,2004,12,0,2004-01-18,1.963900295693956,2.10429,0.0933284051007207,2.4562434512432185,0.15357656140679307,82683.5253938847,217.07316764572934,17099.401438469537
2004,3,2004,13,0,2004-01-25,1.133309309309308,1.88696,0.06006006006006,1.273823776955039,0.16107459444569258,83124.71719248012,109.62711117140466,16765.655696348465
2004,4,2004,14,0,2004-02-01,0.7079107057129139,1.7766,0.0398463754200672,0.7243997835247162,0.1690473705985046,83592.05065650989,60.962641471533274,16346.986702018718
2004,5,2004,15,0,2004-02-08,0.4267169352635891,1.46001,0.0292269871619776,0.45247181471560877,0.17675590406433872,84057.7406576457,37.78169757289139,15904.47764478141
2004,6,2004,16,0,2004-02-15,0.2537154390934837,1.37787,0.018413597733711,0.31425574518615845,0.18428352283192362,84515.15047665944,25.786571901696025,15459.062951438837
2004,7,2004,17,0,2004-02-22,0.2330928571428564,1.30532,0.0178571428571428,0.24844512292773652,0.19216155208225108,84943.99470923207,20.678454668035727,15035.326836099899
2004,8,2004,18,0,2004-02-29,0.1614012504884714,1.08691,0.0148495506057053,0.21978532354348387,0.1991461728604213,85374.99746420556,17.60935584783387,14607.393179946659
2004,9,2004,19,0,2004-03-07,0.0673481101471133,0.991888,0.0067898906073179,0.19192667487244244,0.20515432666576253,85819.97546925748,15.074990398419912,14164.949540344109
2004,10,2004,20,0,2004-03-14,0.060730688054031,1.02765,0.0059096665259603,0.1757082785579742,0.21010242068252605,86266.10117291423,14.11000897896684,13719.7888181067
2004,11,2004,21,0,2004-03-21,0.0614234033050462,1.0579,0.0058061634658329,0.18236831118171273,0.2145983466432506,86697.11829075366,14.368015416840242,13288.513693829804
