"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4th week, 2015",,,,,,"Data collected as of January 28, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Fukui,5699,178.09,63,2.86,37,1.68,201,9.14,1081,49.14,62,2.82,53,2.41,3,0.14,41,1.86,-,-,2,0.09,67,3.05,-,-,7,2.33,2,0.33,-,-,-,-,-,-,1,0.17
Yamanashi,5247,131.18,57,2.38,2,0.08,125,5.21,705,29.38,23,0.96,-,-,2,0.08,16,0.67,-,-,-,-,1,0.04,-,-,10,1.11,-,-,-,-,2,0.2,-,-,2,0.2
Nagano,11104,129.12,240,4.53,31,0.58,326,6.15,1469,27.72,134,2.53,36,0.68,30,0.57,52,0.98,-,-,3,0.06,1,0.02,-,-,17,1.7,-,-,1,0.09,24,2.18,-,-,10,0.91
Gifu,13027,151.48,147,2.83,56,1.08,125,2.4,1030,19.81,83,1.6,21,0.4,9,0.17,69,1.33,-,-,2,0.04,14,0.27,-,-,7,0.64,-,-,-,-,2,0.4,-,-,-,-
Shizuoka,21835,157.09,281,3.16,66,0.74,643,7.22,2410,27.08,224,2.52,25,0.28,131,1.47,66,0.74,1,0.01,16,0.18,65,0.73,-,-,25,1.19,-,-,-,-,11,1.1,3,0.3,2,0.2
Aichi,38064,195.2,454,2.51,187,1.03,1067,5.9,4903,27.09,331,1.83,147,0.81,45,0.25,197,1.09,2,0.01,7,0.04,134,0.74,-,-,24,0.71,2,0.14,-,-,12,0.86,-,-,6,0.43
Mie,8905,123.68,174,3.87,73,1.62,228,5.07,1527,33.93,67,1.49,38,0.84,14,0.31,59,1.31,-,-,4,0.09,21,0.47,1,0.08,3,0.25,2,0.22,-,-,9,1,-,-,-,-
Shiga,8879,167.53,132,4.13,19,0.59,220,6.88,654,20.44,68,2.13,25,0.78,43,1.34,41,1.28,-,-,1,0.03,26,0.81,-,-,1,0.13,1,0.14,-,-,1,0.14,-,-,-,-
Kyoto,13439,110.16,133,1.82,77,1.05,257,3.52,1523,20.86,129,1.77,89,1.22,66,0.9,73,1,-,-,10,0.14,37,0.51,-,-,12,0.71,-,-,-,-,1,0.14,-,-,6,0.86
Osaka,31471,102.51,1020,5.1,149,0.75,1167,5.84,3976,19.88,550,2.75,151,0.76,147,0.74,281,1.41,14,0.07,9,0.05,122,0.61,2,0.04,32,0.62,1,0.06,-,-,11,0.65,-,-,10,0.59
Hyogo,23877,120.59,617,4.82,202,1.58,730,5.7,3564,27.84,324,2.53,129,1.01,70,0.55,146,1.14,2,0.02,13,0.1,82,0.64,1,0.03,52,1.49,1,0.08,3,0.25,6,0.5,-,-,1,0.08
Nara,4575,84.72,151,4.44,33,0.97,124,3.65,488,14.35,56,1.65,33,0.97,9,0.26,36,1.06,1,0.03,1,0.03,17,0.5,-,-,21,2.33,1,0.17,1,0.17,4,0.67,-,-,5,0.83
Wakayama,5080,101.6,222,7.16,27,0.87,99,3.19,469,15.13,53,1.71,35,1.13,6,0.19,37,1.19,-,-,1,0.03,8,0.26,-,-,6,1.5,-,-,-,-,8,0.73,-,-,3,0.27
Tottori,4039,139.28,34,1.79,20,1.05,259,13.63,652,34.32,64,3.37,-,-,-,-,29,1.53,1,0.05,1,0.05,17,0.89,-,-,1,0.33,1,0.2,-,-,-,-,-,-,9,1.8
Shimane,4840,127.37,70,3.04,34,1.48,342,14.87,728,31.65,77,3.35,24,1.04,8,0.35,39,1.7,-,-,-,-,49,2.13,-,-,1,0.33,-,-,2,0.25,8,1,-,-,2,0.25
Okayama,15266,181.74,108,2,26,0.48,287,5.31,1813,33.57,154,2.85,44,0.81,17,0.31,72,1.33,1,0.02,-,-,30,0.56,3,0.25,11,0.92,-,-,-,-,-,-,-,-,-,-
Hiroshima,16711,146.59,186,2.62,115,1.62,520,7.32,2529,35.62,185,2.61,87,1.23,3,0.04,115,1.62,-,-,3,0.04,132,1.86,1,0.05,45,2.37,-,-,4,0.19,5,0.24,-,-,1,0.05
Yamaguchi,12190,176.67,236,4.92,22,0.46,455,9.48,1523,31.73,242,5.04,54,1.13,3,0.06,106,2.21,-,-,4,0.08,10,0.21,-,-,3,0.33,-,-,-,-,7,0.78,-,-,1,0.11
