"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4th week, 2017",,,,,,"Data collected as of February 1, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,465767,94.04,4923,1.56,3817,1.21,21061,6.67,79575,25.19,5354,1.69,2187,0.69,1222,0.39,4490,1.42,92,0.03,370,0.12,9074,2.87,27,0.04,1528,2.21,30,0.06,61,0.13,1205,2.54,30,0.06,130,0.27
Hokkaido,11357,50.25,327,2.3,216,1.52,1510,10.63,1688,11.89,411,2.89,26,0.18,40,0.28,141,0.99,5,0.04,9,0.06,296,2.08,2,0.07,45,1.55,-,-,1,0.04,39,1.7,-,-,6,0.26
Aomori,3789,59.2,34,0.83,41,1,213,5.2,1034,25.22,24,0.59,30,0.73,26,0.63,70,1.71,1,0.02,16,0.39,47,1.15,1,0.09,31,2.82,1,0.17,-,-,19,3.17,-,-,5,0.83
Iwate,3741,57.55,34,0.85,73,1.83,323,8.08,1029,25.73,36,0.9,4,0.1,10,0.25,68,1.7,-,-,2,0.05,73,1.83,2,0.14,13,0.93,1,0.05,-,-,27,1.42,-,-,3,0.16
Miyagi,8653,91.08,40,0.68,44,0.75,551,9.34,979,16.59,150,2.54,7,0.12,10,0.17,96,1.63,1,0.02,6,0.1,46,0.78,-,-,10,0.83,1,0.08,-,-,35,2.92,-,-,1,0.08
Akita,4048,74.96,43,1.23,23,0.66,210,6,511,14.6,26,0.74,49,1.4,5,0.14,28,0.8,-,-,4,0.11,22,0.63,-,-,1,0.14,-,-,-,-,19,2.38,-,-,1,0.13
Yamagata,3363,70.06,18,0.6,27,0.9,487,16.23,578,19.27,63,2.1,14,0.47,6,0.2,67,2.23,2,0.07,11,0.37,118,3.93,-,-,4,0.5,1,0.1,-,-,24,2.4,-,-,2,0.2
Fukushima,5767,74.9,93,2.02,33,0.72,379,8.24,875,19.02,105,2.28,8,0.17,78,1.7,84,1.83,1,0.02,2,0.04,34,0.74,-,-,22,1.83,-,-,-,-,25,3.57,-,-,14,2
Ibaraki,11392,94.93,51,0.68,48,0.64,532,7.09,1815,24.2,130,1.73,23,0.31,26,0.35,71,0.95,1,0.01,1,0.01,82,1.09,-,-,57,3.35,-,-,-,-,26,2,-,-,-,-
Tochigi,4764,62.68,27,0.56,25,0.52,243,5.06,630,13.13,57,1.19,8,0.17,4,0.08,78,1.63,-,-,1,0.02,33,0.69,-,-,60,5,-,-,-,-,19,2.71,2,0.29,1,0.14
Gunma,8582,90.34,49,0.84,69,1.19,473,8.16,1311,22.6,80,1.38,76,1.31,29,0.5,99,1.71,-,-,9,0.16,110,1.9,-,-,47,3.36,-,-,-,-,42,5.25,-,-,6,0.75
Saitama,31069,125.28,108,0.69,136,0.87,1353,8.62,3699,23.56,312,1.99,47,0.3,31,0.2,220,1.4,3,0.02,9,0.06,353,2.25,3,0.08,65,1.67,-,-,2,0.2,19,1.9,4,0.4,-,-
Chiba,26161,121.68,59,0.44,61,0.45,1269,9.4,2831,20.97,201,1.49,67,0.5,51,0.38,178,1.32,3,0.02,6,0.04,138,1.02,2,0.06,89,2.62,-,-,1,0.11,24,2.67,-,-,-,-
Tokyo,38012,92.04,104,0.4,240,0.92,1583,6.07,6144,23.54,370,1.42,77,0.3,139,0.53,389,1.49,5,0.02,6,0.02,328,1.26,-,-,60,1.58,-,-,1,0.04,37,1.48,7,0.28,7,0.28
Kanagawa,37774,109.17,104,0.49,119,0.56,1129,5.28,4193,19.59,367,1.71,66,0.31,64,0.3,315,1.47,2,0.01,8,0.04,547,2.56,-,-,256,5.22,1,0.1,2,0.2,18,1.8,-,-,17,1.7
Niigata,5875,63.86,120,2.07,155,2.67,453,7.81,2411,41.57,120,2.07,6,0.1,18,0.31,94,1.62,2,0.03,4,0.07,678,11.69,1,0.1,35,3.5,-,-,1,0.08,47,3.62,3,0.23,1,0.08
Toyama,2922,60.88,135,4.66,54,1.86,133,4.59,1023,35.28,38,1.31,28,0.97,2,0.07,37,1.28,-,-,4,0.14,193,6.66,1,0.14,32,4.57,-,-,-,-,11,2.2,-,-,3,0.6
Ishikawa,4200,87.5,9,0.31,44,1.52,277,9.55,1179,40.66,34,1.17,7,0.24,8,0.28,39,1.34,-,-,1,0.03,21,0.72,-,-,2,0.29,-,-,-,-,21,4.2,-,-,-,-
Fukui,3574,111.69,28,1.27,38,1.73,154,7,1222,55.55,34,1.55,6,0.27,3,0.14,34,1.55,1,0.05,-,-,42,1.91,-,-,2,0.67,1,0.17,1,0.17,16,2.67,-,-,-,-
Yamanashi,4018,98,16,0.67,49,2.04,161,6.71,1054,43.92,23,0.96,18,0.75,4,0.17,20,0.83,-,-,1,0.04,84,3.5,1,0.11,13,1.44,1,0.1,-,-,38,3.8,1,0.1,1,0.1
Nagano,8682,100.95,92,1.74,9,0.17,361,6.81,2088,39.4,60,1.13,44,0.83,19,0.36,51,0.96,-,-,4,0.08,437,8.25,-,-,21,1.91,-,-,1,0.09,31,2.82,-,-,1,0.09
Gifu,9025,103.74,50,0.94,60,1.13,147,2.77,895,16.89,54,1.02,23,0.43,5,0.09,51,0.96,2,0.04,-,-,177,3.34,-,-,9,0.82,-,-,2,0.4,39,7.8,-,-,13,2.6
Shizuoka,15455,111.19,119,1.34,92,1.03,666,7.48,1958,22,102,1.15,35,0.39,18,0.2,106,1.19,4,0.04,5,0.06,168,1.89,5,0.24,33,1.57,-,-,1,0.1,33,3.3,4,0.4,3,0.3
