"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33rd week, 2020",,,,,,"Data collected as of August 19, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,562895,114.22,12502,3.97,22795,7.24,157896,50.14,291920,92.7,22005,6.99,10889,3.46,17481,5.55,38974,12.38,11075,3.52,5083,1.61,130,0.19,6006,8.67,278,0.58,294,0.62,2987,6.26,52,0.11,214,0.45
Hokkaido,26993,122.7,905,6.61,1189,8.68,7805,56.97,4545,33.18,860,6.28,164,1.2,1433,10.46,1115,8.14,68,0.5,127,0.93,8,0.29,361,12.89,9,0.41,7,0.32,181,8.23,1,0.05,25,1.14
Aomori,5299,81.52,187,4.45,220,5.24,1471,35.02,3896,92.76,235,5.6,288,6.86,371,8.83,500,11.9,19,0.45,34,0.81,1,0.09,74,6.73,1,0.17,-,-,46,7.67,-,-,2,0.33
Iwate,9107,140.11,188,4.59,299,7.29,3260,79.51,3855,94.02,295,7.2,299,7.29,211,5.15,611,14.9,27,0.66,70,1.71,-,-,131,9.36,3,0.16,2,0.11,63,3.32,-,-,5,0.26
Miyagi,7748,82.43,406,7,379,6.53,3379,58.26,4692,80.9,442,7.62,343,5.91,162,2.79,888,15.31,38,0.66,78,1.34,3,0.25,54,4.5,2,0.17,-,-,170,14.17,1,0.08,2,0.17
Akita,7132,134.57,58,1.71,146,4.29,786,23.12,2087,61.38,104,3.06,227,6.68,91,2.68,234,6.88,12,0.35,28,0.82,4,0.67,28,4.67,1,0.13,-,-,23,2.88,1,0.13,2,0.25
Yamagata,4164,92.53,131,4.52,457,15.76,2986,102.97,2491,85.9,296,10.21,48,1.66,230,7.93,497,17.14,17,0.59,25,0.86,-,-,52,7.43,4,0.4,-,-,28,2.8,1,0.1,1,0.1
Fukushima,10239,123.36,315,6.3,421,8.42,3054,61.08,3523,70.46,372,7.44,112,2.24,609,12.18,920,18.4,35,0.7,78,1.56,-,-,215,16.54,4,0.67,2,0.33,37,6.17,-,-,2,0.33
Ibaraki,11751,97.93,179,2.39,570,7.6,3375,45,6304,84.05,584,7.79,127,1.69,252,3.36,594,7.92,62,0.83,87,1.16,2,0.12,349,20.53,-,-,5,0.42,119,9.92,-,-,5,0.42
Tochigi,5941,78.17,164,3.42,112,2.33,1443,30.06,2406,50.13,309,6.44,108,2.25,160,3.33,694,14.46,17,0.35,67,1.4,-,-,64,5.33,1,0.14,5,0.71,61,8.71,3,0.43,2,0.29
Gunma,11040,129.88,112,2.11,384,7.25,1943,36.66,4417,83.34,379,7.15,131,2.47,212,4,699,13.19,49,0.92,92,1.74,-,-,167,11.93,6,0.67,3,0.33,84,9.33,2,0.22,1,0.11
Saitama,29315,116.79,544,3.42,1037,6.52,7899,49.68,17649,111,1559,9.81,616,3.87,487,3.06,2106,13.25,138,0.87,328,2.06,28,0.72,359,9.21,9,0.82,13,1.18,77,7,-,-,1,0.09
Chiba,24827,118.22,311,2.36,464,3.52,8561,64.86,10381,78.64,932,7.06,323,2.45,365,2.77,1390,10.53,85,0.64,268,2.03,6,0.18,297,9,9,1,7,0.78,74,8.22,-,-,1,0.11
Tokyo,33388,81.83,537,2.1,925,3.61,11177,43.66,28278,110.46,1856,7.25,740,2.89,387,1.51,3123,12.2,369,1.44,427,1.67,6,0.16,200,5.41,20,0.83,24,1,154,6.42,24,1,4,0.17
Kanagawa,29720,85.9,517,2.31,695,3.1,10025,44.75,18873,84.25,1607,7.17,532,2.38,371,1.66,2364,10.55,136,0.61,372,1.66,4,0.08,751,15.02,8,0.73,14,1.27,44,4,1,0.09,3,0.27
