"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4th week, 2020",,,,,,"Data collected as of January 29, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Aichi,19189,98.41,188,1.03,174,0.96,1228,6.75,2937,16.14,194,1.07,113,0.62,335,1.84,121,0.66,7,0.04,16,0.09,-,-,19,0.54,-,-,5,0.33,31,2.07,-,-,1,0.07
Mie,4876,68.68,108,2.4,131,2.91,355,7.89,770,17.11,70,1.56,24,0.53,121,2.69,44,0.98,2,0.04,6,0.13,-,-,8,0.73,-,-,1,0.11,8,0.89,-,-,-,-
Shiga,4269,83.71,39,1.3,18,0.6,135,4.5,495,16.5,26,0.87,10,0.33,42,1.4,14,0.47,7,0.23,3,0.1,1,0.13,1,0.13,2,0.29,-,-,4,0.57,-,-,1,0.14
Kyoto,7986,63.89,75,0.99,80,1.05,445,5.86,1054,13.87,99,1.3,20,0.26,77,1.01,53,0.7,4,0.05,6,0.08,-,-,18,1,-,-,-,-,9,1.29,-,-,-,-
Osaka,20964,69.65,322,1.63,195,0.99,1435,7.28,3450,17.51,270,1.37,72,0.37,271,1.38,167,0.85,9,0.05,44,0.22,4,0.08,27,0.53,1,0.06,3,0.19,20,1.25,-,-,-,-
Hyogo,12489,62.76,164,1.27,195,1.51,567,4.4,2811,21.79,157,1.22,20,0.16,170,1.32,113,0.88,4,0.03,29,0.22,-,-,64,1.83,3,0.21,5,0.36,28,2,-,-,-,-
Nara,2933,53.33,54,1.59,27,0.79,171,5.03,704,20.71,29,0.85,14,0.41,105,3.09,29,0.85,1,0.03,1,0.03,-,-,3,0.3,1,0.17,1,0.17,9,1.5,-,-,1,0.17
Wakayama,2768,56.49,98,3.27,52,1.73,135,4.5,442,14.73,38,1.27,1,0.03,83,2.77,24,0.8,1,0.03,2,0.07,-,-,2,0.5,1,0.09,-,-,15,1.36,1,0.09,-,-
Tottori,2304,79.45,14,0.74,35,1.84,303,15.95,459,24.16,26,1.37,3,0.16,94,4.95,18,0.95,-,-,3,0.16,-,-,18,3.6,1,0.2,-,-,7,1.4,-,-,-,-
Shimane,2431,63.97,9,0.39,20,0.87,149,6.48,382,16.61,25,1.09,10,0.43,51,2.22,32,1.39,2,0.09,2,0.09,-,-,-,-,-,-,-,-,5,0.63,-,-,-,-
Okayama,7098,84.5,47,0.87,111,2.06,296,5.48,1341,24.83,100,1.85,6,0.11,73,1.35,43,0.8,2,0.04,4,0.07,-,-,8,0.67,2,0.4,-,-,4,0.8,-,-,-,-
Hiroshima,6230,56.13,84,1.22,180,2.61,412,5.97,1766,25.59,74,1.07,28,0.41,113,1.64,64,0.93,3,0.04,14,0.2,1,0.06,32,1.88,2,0.1,-,-,11,0.55,-,-,1,0.05
Yamaguchi,3456,51.58,95,2.07,59,1.28,277,6.02,1143,24.85,46,1,38,0.83,114,2.48,65,1.41,2,0.04,4,0.09,-,-,13,1.44,-,-,1,0.11,6,0.67,-,-,-,-
Tokushima,2099,56.73,26,1.13,37,1.61,63,2.74,516,22.43,19,0.83,14,0.61,51,2.22,25,1.09,-,-,1,0.04,-,-,6,1.5,1,0.14,-,-,14,2,-,-,-,-
Kagawa,3351,71.3,29,1.04,51,1.82,233,8.32,859,30.68,52,1.86,15,0.54,99,3.54,44,1.57,4,0.14,2,0.07,-,-,1,0.2,-,-,2,0.4,13,2.6,-,-,1,0.2
Ehime,4835,79.26,27,0.73,39,1.05,414,11.19,1094,29.57,38,1.03,35,0.95,122,3.3,66,1.78,4,0.11,74,2,-,-,50,6.25,-,-,-,-,7,1.17,-,-,-,-
Kochi,4788,99.75,31,1.03,32,1.07,234,7.8,324,10.8,23,0.77,35,1.17,58,1.93,24,0.8,4,0.13,6,0.2,-,-,2,0.67,1,0.13,-,-,10,1.25,-,-,1,0.13
Fukuoka,16994,85.83,108,0.9,329,2.74,2101,17.51,3496,29.13,386,3.22,184,1.53,403,3.36,196,1.63,18,0.15,47,0.39,1,0.04,50,1.92,2,0.13,3,0.2,19,1.27,-,-,-,-
Saga,3496,89.64,7,0.3,80,3.48,290,12.61,507,22.04,61,2.65,97,4.22,95,4.13,39,1.7,3,0.13,2,0.09,-,-,1,0.33,1,0.17,1,0.17,4,0.67,-,-,1,0.17
Nagasaki,6444,92.06,3,0.07,138,3.14,256,5.82,1192,27.09,124,2.82,37,0.84,154,3.5,45,1.02,2,0.05,7,0.16,1,0.13,13,1.63,1,0.08,-,-,16,1.33,-,-,-,-
Kumamoto,4598,57.48,21,0.42,92,1.84,395,7.9,1125,22.5,72,1.44,110,2.2,330,6.6,87,1.74,30,0.6,10,0.2,-,-,40,5,-,-,-,-,6,0.4,-,-,2,0.13
Oita,5032,86.76,14,0.39,65,1.81,273,7.58,1440,40,70,1.94,35,0.97,151,4.19,68,1.89,1,0.03,17,0.47,1,0.2,12,2.4,-,-,1,0.09,6,0.55,-,-,-,-
Miyazaki,5638,95.56,8,0.22,73,2.03,405,11.25,1525,42.36,97,2.69,21,0.58,135,3.75,72,2,8,0.22,5,0.14,-,-,26,4.33,-,-,-,-,1,0.14,-,-,2,0.29
Kagoshima,7584,83.34,36,0.68,281,5.3,472,8.91,1873,35.34,85,1.6,50,0.94,144,2.72,82,1.55,7,0.13,14,0.26,-,-,27,3.86,-,-,-,-,4,0.33,-,-,-,-
Okinawa,4812,84.42,-,-,48,1.45,339,10.27,355,10.76,88,2.67,27,0.82,10,0.3,36,1.09,10,0.3,13,0.39,-,-,34,3.78,-,-,2,0.29,18,2.57,-,-,3,0.43
