"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15th week, 2021",,,,,,"Data collected as of April 21, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,639,0.13,21702,6.87,8726,2.76,32408,10.27,127776,40.47,5628,1.78,1404,0.44,744,0.24,17316,5.48,1256,0.4,1696,0.54,32,0.05,1795,2.58,98,0.21,134,0.28,235,0.49,8,0.02,33,0.07
Hokkaido,44,0.2,40,0.29,478,3.41,2522,18.01,3074,21.96,314,2.24,8,0.06,19,0.14,426,3.04,6,0.04,40,0.29,1,0.03,44,1.52,2,0.09,-,-,7,0.3,-,-,2,0.09
Aomori,4,0.06,261,6.21,98,2.33,259,6.17,2062,49.1,60,1.43,5,0.12,5,0.12,196,4.67,-,-,8,0.19,-,-,13,1.18,-,-,2,0.33,5,0.83,-,-,-,-
Iwate,3,0.05,750,18.75,79,1.98,895,22.38,1810,45.25,110,2.75,4,0.1,9,0.23,279,6.98,4,0.1,21,0.53,-,-,44,3.14,1,0.05,2,0.11,10,0.53,-,-,2,0.11
Miyagi,10,0.11,156,2.69,187,3.22,373,6.43,2024,34.9,179,3.09,15,0.26,11,0.19,382,6.59,2,0.03,43,0.74,-,-,13,1.08,1,0.08,-,-,16,1.33,-,-,1,0.08
Akita,-,-,81,2.38,53,1.56,294,8.65,858,25.24,74,2.18,6,0.18,9,0.26,120,3.53,2,0.06,4,0.12,-,-,7,1,-,-,-,-,-,-,-,-,2,0.25
Yamagata,66,1.47,38,1.31,139,4.79,571,19.69,1334,46,27,0.93,8,0.28,7,0.24,216,7.45,9,0.31,14,0.48,-,-,19,2.38,1,0.1,-,-,1,0.1,-,-,1,0.1
Fukushima,15,0.18,173,3.46,179,3.58,738,14.76,1734,34.68,82,1.64,10,0.2,12,0.24,403,8.06,3,0.06,20,0.4,1,0.08,59,4.54,3,0.43,-,-,1,0.14,-,-,-,-
Ibaraki,8,0.07,6,0.08,132,1.76,639,8.52,1838,24.51,97,1.29,25,0.33,15,0.2,262,3.49,32,0.43,33,0.44,-,-,66,3.88,-,-,2,0.17,29,2.42,-,-,-,-
