"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21st week, 2017",,,,,,"Data collected as of May 31, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Gifu,22452,258.07,196,3.7,296,5.58,1048,19.77,3936,74.26,253,4.77,104,1.96,33,0.62,322,6.08,7,0.13,15,0.28,815,15.38,-,-,66,6,-,-,7,1.4,104,20.8,-,-,80,16
Shizuoka,38529,277.19,273,3.07,655,7.36,5162,58,10751,120.8,519,5.83,187,2.1,90,1.01,634,7.12,10,0.11,23,0.26,752,8.45,10,0.48,174,8.29,9,0.9,14,1.4,81,8.1,20,2,64,6.4
Aichi,65723,337.04,737,4.05,1136,6.24,6007,33.01,17488,96.09,1082,5.95,854,4.69,139,0.76,1213,6.66,16,0.09,67,0.37,1183,6.5,5,0.14,242,6.91,5,0.33,15,1,182,12.13,3,0.2,170,11.33
Mie,19133,265.74,444,9.87,669,14.87,1402,31.16,4740,105.33,284,6.31,206,4.58,76,1.69,424,9.42,9,0.2,33,0.73,244,5.42,2,0.17,19,1.58,16,1.78,17,1.89,68,7.56,10,1.11,14,1.56
Shiga,12030,231.35,156,5.03,235,7.58,706,22.77,3628,117.03,237,7.65,245,7.9,14,0.45,244,7.87,4,0.13,82,2.65,452,14.58,1,0.13,33,4.13,2,0.29,8,1.14,36,5.14,1,0.14,12,1.71
Kyoto,27747,223.77,161,2.15,669,8.92,2146,28.61,7979,106.39,344,4.59,985,13.13,55,0.73,489,6.52,12,0.16,139,1.85,667,8.89,1,0.06,111,6.53,3,0.43,4,0.57,44,6.29,-,-,56,8
Osaka,66989,218.21,1858,9.34,1979,9.94,8474,42.58,23357,117.37,1513,7.6,2507,12.6,157,0.79,1816,9.13,32,0.16,318,1.6,3133,15.74,15,0.29,276,5.31,12,0.75,11,0.69,169,10.56,1,0.06,202,12.63
Hyogo,44873,226.63,962,7.52,1526,11.92,3957,30.91,18413,143.85,907,7.09,704,5.5,264,2.06,1014,7.92,16,0.13,110,0.86,1988,15.53,8,0.23,245,7,12,0.92,11,0.85,101,7.77,-,-,144,11.08
Nara,10246,189.74,460,13.53,488,14.35,1492,43.88,2969,87.32,197,5.79,191,5.62,37,1.09,337,9.91,2,0.06,41,1.21,563,16.56,-,-,106,10.6,9,1.5,12,2,78,13,1,0.17,50,8.33
Wakayama,8402,171.47,220,7.33,225,7.5,412,13.73,3040,101.33,179,5.97,51,1.7,28,0.93,261,8.7,8,0.27,24,0.8,1219,40.63,11,2.75,50,12.5,3,0.27,9,0.82,44,4,4,0.36,56,5.09
Tottori,5969,205.83,45,2.37,201,10.58,2459,129.42,2120,111.58,269,14.16,30,1.58,25,1.32,150,7.89,7,0.37,38,2,612,32.21,2,0.4,72,14.4,2,0.4,15,3,36,7.2,-,-,68,13.6
Shimane,7253,190.87,68,2.96,211,9.17,1341,58.3,2647,115.09,139,6.04,103,4.48,199,8.65,295,12.83,8,0.35,22,0.96,749,32.57,-,-,1,0.33,-,-,9,1.13,45,5.63,-,-,35,4.38
Okayama,21947,261.27,177,3.28,535,9.91,1144,21.19,6242,115.59,231,4.28,411,7.61,57,1.06,446,8.26,6,0.11,79,1.46,443,8.2,8,0.67,159,13.25,2,0.4,4,0.8,31,6.2,1,0.2,24,4.8
Hiroshima,26907,236.03,443,6.24,950,13.38,3399,47.87,7560,106.48,508,7.15,1223,17.23,167,2.35,567,7.99,16,0.23,100,1.41,622,8.76,1,0.05,277,14.58,5,0.25,2,0.1,84,4.2,1,0.05,102,5.1
Yamaguchi,19575,287.87,481,10.02,545,11.35,2211,46.06,4419,92.06,299,6.23,298,6.21,111,2.31,523,10.9,13,0.27,84,1.75,1924,40.08,-,-,131,14.56,5,0.56,2,0.22,95,10.56,1,0.11,81,9
Tokushima,8423,227.65,264,11.48,192,8.35,847,36.83,2756,119.83,98,4.26,84,3.65,45,1.96,288,12.52,5,0.22,20,0.87,392,17.04,1,0.25,14,3.5,-,-,-,-,9,1.5,-,-,10,1.67
Kagawa,9037,192.28,214,7.64,300,10.71,1337,47.75,4900,175,121,4.32,257,9.18,53,1.89,282,10.07,3,0.11,62,2.21,582,20.79,2,0.4,25,5,3,0.6,3,0.6,44,8.8,-,-,149,29.8
Ehime,16439,269.49,193,5.22,198,5.35,1993,53.86,6640,179.46,249,6.73,453,12.24,202,5.46,498,13.46,3,0.08,45,1.22,1434,38.76,-,-,222,27.75,1,0.17,1,0.17,42,7,-,-,27,4.5
Kochi,14618,304.54,222,7.4,145,4.83,1261,42.03,3000,100,272,9.07,77,2.57,74,2.47,220,7.33,15,0.5,13,0.43,134,4.47,-,-,9,3,1,0.13,3,0.38,59,7.38,6,0.75,54,6.75
Fukuoka,71674,361.99,1141,9.51,1303,10.86,8713,72.61,22657,188.81,1460,12.17,1808,15.07,186,1.55,1652,13.77,52,0.43,730,6.08,1821,15.18,-,-,293,11.27,8,0.53,17,1.13,243,16.2,-,-,47,3.13
Saga,12708,334.42,206,9.36,303,13.77,1039,47.23,2902,131.91,262,11.91,626,28.45,23,1.05,319,14.5,2,0.09,38,1.73,144,6.55,-,-,36,9,5,0.83,3,0.5,20,3.33,1,0.17,114,19
Nagasaki,22294,318.49,242,5.5,266,6.05,2972,67.55,4642,105.5,233,5.3,391,8.89,21,0.48,390,8.86,11,0.25,25,0.57,394,8.95,4,0.5,43,5.38,1,0.08,7,0.58,63,5.25,-,-,50,4.17
Kumamoto,23798,297.48,224,4.48,490,9.8,2266,45.32,9021,180.42,496,9.92,893,17.86,68,1.36,697,13.94,1,0.02,309,6.18,746,14.92,2,0.22,242,26.89,14,0.93,12,0.8,59,3.93,-,-,97,6.47
Oita,19732,340.21,134,3.72,263,7.31,2446,67.94,10408,289.11,386,10.72,112,3.11,22,0.61,527,14.64,10,0.28,56,1.56,332,9.22,-,-,81,16.2,1,0.09,1,0.09,67,6.09,1,0.09,39,3.55
Miyazaki,22927,388.59,390,10.83,530,14.72,1771,49.19,7738,214.94,458,12.72,1179,32.75,257,7.14,574,15.94,3,0.08,79,2.19,207,5.75,2,0.4,198,39.6,-,-,1,0.14,18,2.57,-,-,105,15
Kagoshima,26718,287.29,819,14.89,1171,21.29,2015,36.64,10587,192.49,504,9.16,897,16.31,54,0.98,426,7.75,7,0.13,117,2.13,2005,36.45,-,-,159,22.71,3,0.25,7,0.58,24,2,-,-,100,8.33
Okinawa,20664,362.53,899,26.44,339,9.97,783,23.03,3360,98.82,420,12.35,65,1.91,35,1.03,199,5.85,55,1.62,51,1.5,83,2.44,1,0.11,137,15.22,8,1.14,32,4.57,96,13.71,-,-,83,11.86
