"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21st week, 2020",,,,,,"Data collected as of May 27, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,562808,114.16,11992,3.81,17278,5.49,129896,41.24,223583,70.98,18152,5.76,6203,1.97,16670,5.29,19544,6.2,1346,0.43,3066,0.97,91,0.13,4507,6.5,178,0.37,172,0.36,2611,5.47,36,0.08,197,0.41
Hokkaido,26988,122.67,878,6.41,854,6.23,6550,47.81,3512,25.64,712,5.2,65,0.47,1406,10.26,542,3.96,32,0.23,74,0.54,7,0.25,295,10.54,6,0.27,5,0.23,155,7.05,1,0.05,22,1
Aomori,5298,81.51,186,4.43,137,3.26,1291,30.74,3169,75.45,181,4.31,245,5.83,341,8.12,289,6.88,4,0.1,18,0.43,1,0.09,57,5.18,-,-,-,-,34,5.67,-,-,2,0.33
Iwate,9106,137.97,167,4.07,153,3.73,2535,61.83,2712,66.15,205,5,223,5.44,206,5.02,286,6.98,9,0.22,45,1.1,-,-,92,6.57,2,0.11,1,0.05,45,2.37,-,-,5,0.26
Miyagi,7747,82.41,399,6.88,312,5.38,3042,52.45,3843,66.26,388,6.69,250,4.31,151,2.6,416,7.17,8,0.14,48,0.83,1,0.08,36,3,2,0.17,-,-,133,11.08,1,0.08,2,0.17
Akita,7132,134.57,57,1.68,82,2.41,567,16.68,1693,49.79,71,2.09,160,4.71,82,2.41,128,3.76,4,0.12,16,0.47,4,0.67,20,3.33,1,0.13,-,-,18,2.25,1,0.13,2,0.25
Yamagata,4164,92.53,125,4.31,303,10.45,2432,83.86,1972,68,270,9.31,19,0.66,205,7.07,281,9.69,13,0.45,15,0.52,-,-,44,6.29,3,0.3,-,-,27,2.7,1,0.1,1,0.1
Fukushima,10235,123.31,313,6.26,296,5.92,2484,49.68,2908,58.16,315,6.3,73,1.46,592,11.84,461,9.22,9,0.18,37,0.74,-,-,165,12.69,3,0.5,-,-,36,6,-,-,2,0.33
Ibaraki,11749,97.91,170,2.27,433,5.77,2713,36.17,4902,65.36,495,6.6,49,0.65,246,3.28,272,3.63,15,0.2,54,0.72,1,0.06,229,13.47,-,-,2,0.17,108,9,-,-,5,0.42
Tochigi,5935,78.09,163,3.4,77,1.6,1230,25.63,1920,40,249,5.19,43,0.9,149,3.1,344,7.17,3,0.06,38,0.79,-,-,43,3.58,-,-,-,-,50,7.14,-,-,1,0.14
Gunma,11039,129.87,112,2.11,322,6.08,1570,29.62,3332,62.87,302,5.7,65,1.23,199,3.75,343,6.47,14,0.26,51,0.96,-,-,118,8.43,6,0.67,1,0.11,80,8.89,1,0.11,1,0.11
Saitama,29310,116.31,534,3.36,924,5.81,6788,42.69,13486,84.82,1324,8.33,372,2.34,452,2.84,1028,6.47,36,0.23,210,1.32,17,0.43,270,6.75,6,0.55,6,0.55,74,6.73,-,-,1,0.09
Chiba,24826,117.1,307,2.31,420,3.16,7267,54.64,8262,62.12,784,5.89,183,1.38,342,2.57,638,4.8,33,0.25,147,1.11,4,0.12,239,7.03,4,0.5,4,0.5,65,8.13,-,-,-,-
Tokyo,33387,81.83,529,2.07,789,3.08,9867,38.54,21802,85.16,1607,6.28,368,1.44,326,1.27,1592,6.22,165,0.64,242,0.95,3,0.08,134,3.62,13,0.54,16,0.67,140,5.83,19,0.79,2,0.08
Kanagawa,29720,84.91,507,2.25,587,2.61,8599,38.22,15081,67.03,1318,5.86,276,1.23,330,1.47,1177,5.23,37,0.16,219,0.97,2,0.04,584,11.68,5,0.45,5,0.45,42,3.82,-,-,3,0.27
Niigata,9882,109.8,394,6.91,720,12.63,5562,97.58,2921,51.25,520,9.12,90,1.58,143,2.51,409,7.18,14,0.25,58,1.02,16,1.6,71,7.1,3,0.23,3,0.23,76,5.85,-,-,1,0.08
Toyama,3562,74.21,72,2.48,273,9.41,2615,90.17,2848,98.21,206,7.1,75,2.59,218,7.52,170,5.86,38,1.31,16,0.55,-,-,14,2.33,-,-,5,1,45,9,-,-,4,0.8
Ishikawa,6189,128.94,104,3.59,179,6.17,3022,104.21,2876,99.17,382,13.17,49,1.69,225,7.76,142,4.9,5,0.17,19,0.66,-,-,10,1.43,-,-,3,0.6,46,9.2,-,-,-,-
Fukui,4975,134.46,98,4.26,247,10.74,1118,48.61,2419,105.17,85,3.7,19,0.83,368,16,120,5.22,13,0.57,9,0.39,-,-,7,2.33,3,0.5,6,1,15,2.5,1,0.17,-,-
Yamanashi,4328,105.56,42,1.75,39,1.63,588,24.5,1249,52.04,96,4,6,0.25,77,3.21,77,3.21,3,0.13,11,0.46,-,-,107,11.89,2,0.2,1,0.1,36,3.6,1,0.1,-,-
Nagano,11116,129.26,340,6.42,89,1.68,1706,32.19,4772,90.04,305,5.75,57,1.08,546,10.3,286,5.4,55,1.04,33,0.62,1,0.1,46,4.6,2,0.18,1,0.09,29,2.64,-,-,16,1.45
Gifu,11479,133.48,165,3.17,204,3.92,705,13.56,2160,41.54,91,1.75,51,0.98,174,3.35,213,4.1,6,0.12,16,0.31,1,0.09,21,1.91,-,-,-,-,35,7,-,-,3,0.6
Shizuoka,15952,114.76,259,2.91,435,4.89,3489,39.2,5726,64.34,354,3.98,100,1.12,316,3.55,454,5.1,8,0.09,88,0.99,-,-,145,6.59,7,0.7,11,1.1,60,6,1,0.1,-,-
