"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42nd week, 2016",,,,,,"Data collected as of October 26, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1574731,321.18,71301,22.76,55476,17.71,298906,95.41,695175,221.89,48392,15.45,48900,15.61,47625,15.2,63187,20.17,2471,0.79,124256,39.66,127961,40.84,348,0.51,21216,30.79,402,0.86,1127,2.41,14092,30.11,258,0.55,4835,10.33
Hokkaido,83564,371.4,3196,22.51,2383,16.78,23280,163.94,15807,111.32,2565,18.06,1132,7.97,3021,21.27,1776,12.51,78,0.55,7090,49.93,7516,52.93,1,0.04,440,15.71,9,0.41,37,1.68,1018,46.27,6,0.27,372,16.91
Aomori,17492,269.11,727,17.31,551,13.12,2596,61.81,5861,139.55,419,9.98,288,6.86,543,12.93,736,17.52,16,0.38,936,22.29,942,22.43,4,0.36,211,19.18,14,2.33,16,2.67,228,38,-,-,110,18.33
Iwate,21223,331.61,988,24.7,505,12.63,5489,137.23,8761,219.03,489,12.23,206,5.15,259,6.48,703,17.58,8,0.2,1064,26.6,836,20.9,4,0.29,277,19.79,6,0.32,5,0.26,373,19.63,1,0.05,168,8.84
Miyagi,28095,295.74,1685,28.56,678,11.49,8040,136.27,12719,215.58,1146,19.42,2044,34.64,327,5.54,1364,23.12,21,0.36,3754,63.63,866,14.68,-,-,105,8.75,11,0.92,2,0.17,368,30.67,-,-,15,1.25
Akita,14346,265.67,394,11.26,310,8.86,2053,58.66,4708,134.51,374,10.69,249,7.11,1494,42.69,405,11.57,144,4.11,887,25.34,236,6.74,2,0.29,81,11.57,1,0.13,1,0.13,186,23.25,-,-,139,17.38
Yamagata,13942,296.64,1047,36.1,650,22.41,5803,200.1,7020,242.07,419,14.45,338,11.66,1453,50.1,802,27.66,19,0.66,2840,97.93,2508,86.48,1,0.13,60,7.5,6,0.6,12,1.2,115,11.5,4,0.4,19,1.9
Fukushima,23141,300.53,1514,32.91,951,20.67,3299,71.72,6518,141.7,775,16.85,445,9.67,985,21.41,1217,26.46,25,0.54,2461,53.5,401,8.72,-,-,393,32.75,7,1,12,1.71,148,21.14,8,1.14,60,8.57
Ibaraki,33337,277.81,1104,14.72,877,11.69,5572,74.29,15879,211.72,1112,14.83,1596,21.28,733,9.77,951,12.68,37,0.49,2183,29.11,2569,34.25,4,0.24,823,48.41,3,0.23,11,0.85,317,24.38,-,-,35,2.69
