"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43rd week, 2015",,,,,,"Data collected as of October 28, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Nagano,22369,260.1,480,9.06,484,9.13,5583,105.34,12764,240.83,755,14.25,7294,137.62,1828,34.49,906,17.09,48,0.91,1914,36.11,293,5.53,2,0.2,169,16.9,3,0.27,5,0.45,228,20.73,-,-,83,7.55
Gifu,21903,254.69,534,10.27,806,15.5,2136,41.08,8194,157.58,469,9.02,2145,41.25,1228,23.62,841,16.17,24,0.46,1819,34.98,170,3.27,-,-,78,7.09,2,0.4,11,2.2,204,40.8,-,-,77,15.4
Shizuoka,33540,243.04,1254,14.25,1573,17.88,13573,154.24,19682,223.66,1426,16.2,7832,89,2209,25.1,1726,19.61,59,0.67,2983,33.9,1117,12.69,6,0.29,286,13.62,6,0.6,21,2.1,205,20.5,33,3.3,55,5.5
Aichi,64721,331.9,1665,9.2,2665,14.72,15355,84.83,36924,204,2522,13.93,11614,64.17,2809,15.52,3392,18.74,117,0.65,7683,42.45,2283,12.61,22,0.65,407,11.97,18,1.29,12,0.86,261,18.64,-,-,183,13.07
Mie,17256,239.67,681,15.13,920,20.44,3241,72.02,9626,213.91,618,13.73,4001,88.91,620,13.78,1093,24.29,38,0.84,3478,77.29,166,3.69,8,0.67,54,4.5,15,1.67,18,2,131,14.56,1,0.11,12,1.33
Shiga,13648,262.46,330,10.65,473,15.26,2404,77.55,7122,229.74,659,21.26,3717,119.9,1440,46.45,542,17.48,17,0.55,1339,43.19,336,10.84,-,-,70,8.75,6,0.86,10,1.43,73,10.43,-,-,43,6.14
Kyoto,21752,178.3,536,7.34,1070,14.66,4012,54.96,14544,199.23,896,12.27,9160,125.48,1195,16.37,1129,15.47,25,0.34,1013,13.88,875,11.99,2,0.12,232,13.65,3,0.5,6,1,56,9.33,8,1.33,99,16.5
Osaka,52868,172.21,4848,24.36,3668,18.43,18720,94.07,47662,239.51,4155,20.88,27326,137.32,4168,20.94,4571,22.97,175,0.88,5021,25.23,2773,13.93,31,0.61,825,16.18,10,0.59,32,1.88,473,27.82,8,0.47,263,15.47
Hyogo,43102,217.69,1980,15.47,2777,21.7,10608,82.88,35992,281.19,2411,18.84,18159,141.87,2242,17.52,2579,20.15,115,0.9,2850,22.27,1776,13.88,17,0.5,1228,36.12,15,1.15,27,2.08,86,6.62,1,0.08,74,5.69
Nara,7980,147.78,678,19.94,483,14.21,2212,65.06,5504,161.88,400,11.76,4228,124.35,342,10.06,629,18.5,10,0.29,667,19.62,208,6.12,5,0.56,117,13,9,1.5,3,0.5,59,9.83,1,0.17,108,18
Wakayama,9319,190.18,683,22.77,396,13.2,1272,42.4,3968,132.27,401,13.37,3598,119.93,386,12.87,550,18.33,8,0.27,1401,46.7,118,3.93,3,0.75,54,13.5,9,0.82,6,0.55,69,6.27,3,0.27,76,6.91
Tottori,7343,253.21,206,10.84,331,17.42,4332,228,5044,265.47,200,10.53,1993,104.89,121,6.37,382,20.11,31,1.63,387,20.37,156,8.21,-,-,153,51,2,0.4,12,2.4,27,5.4,-,-,95,19
Shimane,8416,221.47,707,30.74,648,28.17,3040,132.17,5748,249.91,304,13.22,2574,111.91,87,3.78,617,26.83,5,0.22,208,9.04,294,12.78,2,0.67,58,19.33,5,0.63,42,5.25,57,7.13,1,0.13,75,9.38
Okayama,25551,307.84,630,11.67,484,8.96,2535,46.94,14164,262.3,731,13.54,4761,88.17,448,8.3,872,16.15,31,0.57,1319,24.43,992,18.37,5,0.42,224,18.67,2,0.4,5,1,13,2.6,2,0.4,30,6
Hiroshima,29829,261.66,1593,22.44,1518,21.38,7725,108.8,19280,271.55,1044,14.7,5941,83.68,571,8.04,1460,20.56,73,1.03,2104,29.63,2564,36.11,13,0.72,683,37.94,3,0.14,30,1.43,201,9.57,7,0.33,118,5.62
Yamaguchi,22612,332.53,1753,37.3,461,9.81,6547,139.3,12487,265.68,1016,21.62,5767,122.7,481,10.23,1389,29.55,16,0.34,1118,23.79,255,5.43,-,-,207,23,3,0.33,2,0.22,89,9.89,-,-,42,4.67
Tokushima,8490,229.46,936,40.7,337,14.65,1172,50.96,5481,238.3,411,17.87,4174,181.48,88,3.83,729,31.7,12,0.52,413,17.96,105,4.57,-,-,18,4.5,3,0.43,3,0.43,32,4.57,-,-,30,4.29
