"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7th week, 2020",,,,,,"Data collected as of February 19, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,480863,97.7,6595,2.1,8560,2.73,60427,19.24,126640,40.32,8680,2.76,3341,1.06,9469,3.01,6015,1.91,509,0.16,1087,0.35,30,0.04,2066,3,54,0.11,67,0.14,1029,2.16,4,0.01,108,0.23
Hokkaido,18740,85.96,687,5.09,446,3.3,3353,24.84,2226,16.49,324,2.4,29,0.21,887,6.57,171,1.27,16,0.12,25,0.19,2,0.07,139,4.96,3,0.14,5,0.23,80,3.64,-,-,17,0.77
Aomori,4133,63.58,89,2.12,65,1.55,487,11.6,1847,43.98,54,1.29,147,3.5,152,3.62,81,1.93,3,0.07,7,0.17,-,-,28,2.55,-,-,-,-,12,2,-,-,-,-
Iwate,6693,101.41,90,2.2,52,1.27,941,22.95,1410,34.39,70,1.71,76,1.85,120,2.93,85,2.07,5,0.12,13,0.32,-,-,30,2.14,1,0.05,-,-,14,0.74,-,-,3,0.16
Miyagi,6861,72.99,183,3.16,160,2.76,1486,25.62,2243,38.67,196,3.38,109,1.88,90,1.55,116,2,-,-,16,0.28,1,0.08,18,1.5,1,0.08,-,-,48,4,-,-,1,0.08
Akita,6366,120.11,48,1.41,32,0.94,237,6.97,878,25.82,39,1.15,63,1.85,13,0.38,28,0.82,-,-,7,0.21,1,0.17,4,0.67,1,0.13,-,-,6,0.75,-,-,1,0.13
Yamagata,3644,82.82,78,2.69,181,6.24,1068,36.83,1038,35.79,136,4.69,7,0.24,82,2.83,98,3.38,7,0.24,5,0.17,-,-,20,2.86,1,0.1,-,-,12,1.2,-,-,-,-
Fukushima,9371,112.9,147,2.94,131,2.62,966,19.32,1436,28.72,140,2.8,41,0.82,356,7.12,162,3.24,3,0.06,16,0.32,-,-,76,5.85,-,-,-,-,13,1.86,-,-,-,-
Ibaraki,11047,92.06,79,1.05,232,3.09,1249,16.65,2889,38.52,283,3.77,29,0.39,131,1.75,96,1.28,5,0.07,20,0.27,-,-,89,5.24,-,-,2,0.17,41,3.42,-,-,1,0.08
Tochigi,5603,73.72,96,2,42,0.88,560,11.67,1200,25,119,2.48,25,0.52,52,1.08,96,2,1,0.02,11,0.23,-,-,22,1.83,-,-,-,-,17,2.43,-,-,1,0.14
Gunma,9655,114.94,70,1.35,163,3.13,693,13.33,1827,35.13,176,3.38,46,0.88,109,2.1,107,2.06,8,0.15,18,0.35,-,-,58,4.46,1,0.11,-,-,30,3.33,-,-,1,0.11
Saitama,24786,98.36,317,2.01,511,3.23,3443,21.79,7945,50.28,664,4.2,198,1.25,257,1.63,325,2.06,16,0.1,72,0.46,5,0.13,103,2.64,1,0.09,3,0.27,34,3.09,-,-,1,0.09
Chiba,21984,103.21,169,1.27,226,1.7,3751,28.2,5138,38.63,385,2.89,134,1.01,191,1.44,203,1.53,17,0.13,59,0.44,3,0.09,125,3.68,2,0.22,-,-,27,3,-,-,-,-
Tokyo,28224,70.56,294,1.17,414,1.65,5014,19.98,13038,51.94,807,3.22,220,0.88,164,0.65,522,2.08,95,0.38,85,0.34,1,0.03,76,2.11,1,0.04,5,0.21,64,2.67,3,0.13,2,0.08
Kanagawa,24818,70.91,233,1.04,323,1.45,4427,19.85,9218,41.34,643,2.88,170,0.76,166,0.74,386,1.73,11,0.05,86,0.39,-,-,247,5.04,1,0.09,1,0.09,14,1.27,-,-,2,0.18
Niigata,8799,97.77,197,3.46,341,5.98,2405,42.19,1449,25.42,237,4.16,71,1.25,58,1.02,140,2.46,10,0.18,11,0.19,4,0.4,32,3.2,1,0.08,1,0.08,17,1.31,-,-,2,0.15
Toyama,2913,60.69,48,1.66,93,3.21,1085,37.41,1538,53.03,98,3.38,64,2.21,141,4.86,66,2.28,17,0.59,4,0.14,-,-,12,1.71,-,-,1,0.2,10,2,-,-,-,-
Ishikawa,4475,93.23,62,2.14,55,1.9,1426,49.17,1742,60.07,200,6.9,30,1.03,127,4.38,44,1.52,2,0.07,6,0.21,-,-,5,0.71,-,-,3,0.6,18,3.6,-,-,-,-
Fukui,4487,121.27,53,2.3,142,6.17,481,20.91,1414,61.48,24,1.04,8,0.35,208,9.04,37,1.61,6,0.26,2,0.09,-,-,4,1.33,1,0.17,1,0.17,5,0.83,-,-,-,-
Yamanashi,3793,92.51,33,1.38,19,0.79,289,12.04,738,30.75,56,2.33,5,0.21,58,2.42,25,1.04,3,0.13,6,0.25,-,-,42,4.67,1,0.1,1,0.1,18,1.8,-,-,-,-
Nagano,9620,111.86,273,5.15,46,0.87,903,17.04,2580,48.68,154,2.91,30,0.57,279,5.26,96,1.81,26,0.49,7,0.13,-,-,26,2.6,-,-,-,-,16,1.45,-,-,10,0.91
Gifu,10125,117.73,82,1.58,73,1.4,302,5.81,1289,24.79,28,0.54,36,0.69,116,2.23,64,1.23,2,0.04,7,0.13,1,0.09,9,0.82,-,-,-,-,19,3.8,-,-,2,0.4
Shizuoka,14818,106.6,169,1.9,211,2.37,1715,19.27,3161,35.52,122,1.37,62,0.7,178,2,152,1.71,6,0.07,35,0.39,-,-,73,3.32,2,0.2,1,0.1,27,2.7,-,-,-,-
Aichi,27246,139.72,326,1.79,376,2.07,2528,13.89,5845,32.12,288,1.58,162,0.89,525,2.88,259,1.42,16,0.09,34,0.19,1,0.03,41,1.17,-,-,9,0.6,64,4.27,-,-,1,0.07
Mie,7063,99.48,172,3.91,204,4.64,674,15.32,1573,35.75,93,2.11,36,0.82,196,4.45,80,1.82,5,0.11,13,0.3,-,-,10,0.91,-,-,1,0.11,10,1.11,-,-,1,0.11
Shiga,6126,120.12,51,1.7,33,1.1,335,11.17,911,30.37,41,1.37,20,0.67,77,2.57,34,1.13,12,0.4,8,0.27,1,0.13,1,0.13,3,0.43,1,0.14,6,0.86,-,-,2,0.29
Kyoto,11871,94.97,116,1.53,141,1.86,976,12.84,2009,26.43,152,2,44,0.58,126,1.66,98,1.29,6,0.08,11,0.14,-,-,26,1.44,-,-,2,0.29,15,2.14,-,-,-,-
Osaka,33008,110.03,573,2.91,437,2.22,3105,15.76,6419,32.58,445,2.26,121,0.61,412,2.09,332,1.69,25,0.13,65,0.33,4,0.08,55,1.08,2,0.13,3,0.19,36,2.25,-,-,-,-
Hyogo,19628,98.63,304,2.36,332,2.57,1287,9.98,5245,40.66,260,2.02,31,0.24,294,2.28,200,1.55,7,0.05,39,0.3,1,0.03,121,3.46,7,0.5,6,0.43,49,3.5,-,-,4,0.29
Nara,4671,84.93,95,2.79,53,1.56,389,11.44,1196,35.18,55,1.62,31,0.91,162,4.76,62,1.82,1,0.03,2,0.06,-,-,12,1.2,1,0.17,3,0.5,12,2,-,-,4,0.67
Wakayama,3916,79.92,175,5.83,82,2.73,280,9.33,795,26.5,55,1.83,1,0.03,139,4.63,45,1.5,1,0.03,4,0.13,-,-,2,0.5,1,0.09,-,-,24,2.18,1,0.09,-,-
Tottori,2971,102.45,26,1.37,53,2.79,634,33.37,902,47.47,42,2.21,8,0.42,163,8.58,36,1.89,9,0.47,3,0.16,-,-,25,5,1,0.2,-,-,17,3.4,-,-,-,-
Shimane,3180,83.68,24,1.04,36,1.57,297,12.91,739,32.13,45,1.96,10,0.43,92,4,65,2.83,2,0.09,5,0.22,-,-,-,-,1,0.13,-,-,8,1,-,-,-,-
Okayama,10151,120.85,79,1.46,212,3.93,483,8.94,2477,45.87,136,2.52,12,0.22,146,2.7,65,1.2,4,0.07,14,0.26,-,-,12,1,3,0.6,1,0.2,7,1.4,-,-,1,0.2
Hiroshima,9001,79.65,162,2.31,320,4.57,836,11.94,3165,45.21,121,1.73,53,0.76,183,2.61,113,1.61,5,0.07,26,0.37,1,0.06,58,3.22,2,0.1,-,-,21,1.05,-,-,1,0.05
Yamaguchi,4935,73.66,198,4.3,109,2.37,564,12.26,1905,41.41,93,2.02,73,1.59,179,3.89,139,3.02,12,0.26,12,0.26,-,-,17,1.89,-,-,2,0.22,15,1.67,-,-,4,0.44
Tokushima,2879,77.81,67,2.91,58,2.52,115,5,1111,48.3,48,2.09,15,0.65,78,3.39,44,1.91,-,-,1,0.04,-,-,8,2,3,0.43,-,-,18,2.57,-,-,-,-
Kagawa,4505,95.85,61,2.18,81,2.89,408,14.57,2025,72.32,73,2.61,21,0.75,148,5.29,68,2.43,5,0.18,3,0.11,1,0.2,2,0.4,1,0.2,2,0.4,17,3.4,-,-,2,0.4
Ehime,7070,115.9,62,1.68,74,2,950,25.68,2070,55.95,63,1.7,44,1.19,171,4.62,112,3.03,7,0.19,109,2.95,-,-,75,9.38,-,-,-,-,13,2.17,-,-,2,0.33
Kochi,6681,139.19,85,2.83,54,1.8,521,17.37,722,24.07,38,1.27,67,2.23,88,2.93,43,1.43,4,0.13,18,0.6,-,-,4,1.33,1,0.13,-,-,18,2.25,-,-,4,0.5
Fukuoka,23105,116.69,248,2.07,551,4.59,4788,39.9,6130,51.08,646,5.38,326,2.72,684,5.7,363,3.03,37,0.31,77,0.64,1,0.04,100,3.85,3,0.2,4,0.27,34,2.27,-,-,-,-
Saga,4648,119.18,20,0.87,155,6.74,540,23.48,896,38.96,91,3.96,145,6.3,162,7.04,71,3.09,4,0.17,2,0.09,-,-,5,1.67,3,0.5,1,0.17,7,1.17,-,-,1,0.17
Nagasaki,8987,128.39,27,0.61,236,5.36,663,15.07,2325,52.84,178,4.05,96,2.18,248,5.64,83,1.89,3,0.07,14,0.32,1,0.13,24,3,1,0.08,1,0.08,36,3,-,-,-,-
Kumamoto,6271,78.39,68,1.36,203,4.06,758,15.16,1950,39,144,2.88,194,3.88,522,10.44,147,2.94,43,0.86,23,0.46,-,-,75,9.38,-,-,1,0.07,9,0.6,-,-,3,0.2
Oita,6696,115.45,42,1.17,97,2.69,540,15,2633,73.14,122,3.39,57,1.58,255,7.08,124,3.44,3,0.08,26,0.72,1,0.2,17,3.4,-,-,1,0.09,14,1.27,-,-,-,-
Miyazaki,7799,132.19,25,0.69,140,3.89,878,24.39,3015,83.75,154,4.28,44,1.22,227,6.31,125,3.47,10,0.28,10,0.28,-,-,39,6.5,-,-,-,-,4,0.57,-,-,3,0.43
Kagoshima,10576,116.22,86,1.62,478,9.02,980,18.49,3616,68.23,164,3.09,95,1.79,237,4.47,138,2.6,15,0.28,24,0.45,-,-,47,6.71,-,-,-,-,5,0.42,-,-,1,0.08
Okinawa,6924,121.47,6,0.18,87,2.64,617,18.7,722,21.88,178,5.39,35,1.06,20,0.61,69,2.09,14,0.42,26,0.79,-,-,52,5.78,3,0.43,5,0.71,28,4,-,-,30,4.29
