"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31st week, 2019",,,,,,"Data collected as of August 7, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1426501,288.71,44843,14.2,42433,13.44,220060,69.71,547306,173.36,33819,10.71,271273,85.93,69616,22.05,39824,12.61,58859,18.64,9909,3.14,232,0.33,13310,19.15,295,0.62,384,0.8,2359,4.92,61,0.13,4587,9.58
Hokkaido,58973,266.85,2606,18.88,2090,15.14,15337,111.14,13859,100.43,1368,9.91,4987,36.14,2638,19.12,1053,7.63,803,5.82,239,1.73,6,0.21,410,14.64,9,0.41,5,0.23,199,9.05,4,0.18,315,14.32
Aomori,14938,229.82,275,6.55,308,7.33,2143,51.02,6121,145.74,365,8.69,2235,53.21,1239,29.5,528,12.57,371,8.83,298,7.1,4,0.36,90,8.18,2,0.33,2,0.33,149,24.83,-,-,69,11.5
Iwate,17723,272.66,297,7.43,385,9.63,4065,101.63,5666,141.65,411,10.28,1745,43.63,739,18.48,528,13.2,215,5.38,250,6.25,-,-,241,17.21,8,0.42,5,0.26,78,4.11,2,0.11,245,12.89
Miyagi,30402,323.43,1097,18.91,519,8.95,6055,104.4,10336,178.21,976,16.83,5563,95.91,2658,45.83,903,15.57,755,13.02,168,2.9,4,0.33,86,7.17,2,0.17,2,0.17,116,9.67,-,-,32,2.67
Akita,14937,281.83,95,2.79,177,5.21,1514,44.53,3162,93,172,5.06,608,17.88,338,9.94,247,7.26,185,5.44,25,0.74,-,-,48,8,5,0.63,-,-,90,11.25,-,-,33,4.13
Yamagata,12775,283.89,373,12.86,450,15.52,3496,120.55,6030,207.93,328,11.31,3290,113.45,1162,40.07,500,17.24,620,21.38,39,1.34,-,-,77,11,3,0.3,7,0.7,51,5.1,-,-,74,7.4
Fukushima,28986,349.23,1104,22.08,920,18.4,4025,80.5,5924,118.48,593,11.86,5860,117.2,1434,28.68,938,18.76,697,13.94,167,3.34,2,0.15,367,28.23,3,0.43,1,0.14,25,3.57,-,-,145,20.71
Ibaraki,36679,305.66,874,11.65,905,12.07,4972,66.29,10485,139.8,992,13.23,5881,78.41,1870,24.93,681,9.08,1699,22.65,193,2.57,-,-,598,37.38,5,0.42,2,0.17,120,10,-,-,50,4.17
