"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31st week, 2020",,,,,,"Data collected as of August 5, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shizuoka,15955,114.78,262,2.94,522,5.87,4008,45.03,7407,83.22,418,4.7,190,2.13,332,3.73,900,10.11,29,0.33,152,1.71,-,-,183,8.32,9,0.9,13,1.3,68,6.8,1,0.1,-,-
Aichi,31888,163.53,581,3.19,901,4.95,6697,36.8,13375,73.49,706,3.88,413,2.27,793,4.36,1429,7.85,118,0.65,189,1.04,2,0.06,97,2.77,12,0.8,26,1.73,160,10.67,1,0.07,6,0.4
Mie,8492,119.61,290,6.59,448,10.18,1585,36.02,3769,85.66,241,5.48,89,2.02,455,10.34,542,12.32,40,0.91,48,1.09,-,-,19,1.73,10,1.11,9,1,56,6.22,-,-,1,0.11
Shiga,7144,127.57,78,2.36,126,3.82,979,29.67,2356,71.39,119,3.61,92,2.79,149,4.52,282,8.55,98,2.97,39,1.18,1,0.13,6,0.75,9,1.29,5,0.71,36,5.14,-,-,2,0.29
Kyoto,15017,120.14,174,2.29,284,3.74,2787,36.67,4562,60.03,315,4.14,204,2.68,284,3.74,664,8.74,71,0.93,68,0.89,-,-,68,4,1,0.17,7,1.17,82,13.67,-,-,-,-
Osaka,42883,143.42,1036,5.29,1092,5.57,7195,36.71,15374,78.44,1107,5.65,418,2.13,717,3.66,2139,10.91,277,1.41,326,1.66,9,0.18,198,3.88,7,0.44,11,0.69,84,5.25,1,0.06,2,0.13
Hyogo,24342,122.94,598,4.67,727,5.68,3021,23.6,12240,95.63,651,5.09,203,1.59,546,4.27,1254,9.8,138,1.08,159,1.24,7,0.2,330,9.43,31,2.21,15,1.07,114,8.14,1,0.07,6,0.43
Nara,5928,107.78,174,5.12,173,5.09,1110,32.65,2661,78.26,145,4.26,123,3.62,275,8.09,384,11.29,35,1.03,20,0.59,2,0.2,53,5.3,4,0.67,4,0.67,28,4.67,1,0.17,7,1.17
Wakayama,4322,88.2,315,10.86,186,6.41,803,27.69,1823,62.86,110,3.79,30,1.03,214,7.38,301,10.38,19,0.66,15,0.52,5,1.25,8,2,11,1,9,0.82,82,7.45,2,0.18,1,0.09
Tottori,3159,108.93,49,2.58,235,12.37,2151,113.21,2234,117.58,182,9.58,32,1.68,314,16.53,210,11.05,42,2.21,15,0.79,-,-,49,9.8,3,0.6,2,0.4,29,5.8,-,-,1,0.2
