"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23rd week, 2016",,,,,,"Data collected as of June 15, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1581645,319.59,23223,7.36,29914,9.48,196295,62.18,462832,146.61,29869,9.46,4680,1.48,34249,10.85,32823,10.4,1135,0.36,6018,1.91,61974,19.63,195,0.28,10070,14.59,197,0.42,465,0.98,5582,11.78,178,0.38,4777,10.08
Hokkaido,83410,370.71,934,6.58,1273,8.96,16042,112.97,10867,76.53,1391,9.8,143,1.01,2486,17.51,882,6.21,38,0.27,34,0.24,4472,31.49,-,-,206,7.36,4,0.18,17,0.77,318,14.45,3,0.14,315,14.32
Aomori,17478,268.89,107,2.55,335,7.98,1596,38,4019,95.69,259,6.17,25,0.6,327,7.79,380,9.05,2,0.05,11,0.26,612,14.57,2,0.18,122,11.09,8,1.33,8,1.33,109,18.17,-,-,100,16.67
Iwate,21198,331.22,171,4.28,219,5.48,3790,94.75,6375,159.38,302,7.55,20,0.5,191,4.78,345,8.63,8,0.2,14,0.35,351,8.78,4,0.29,155,11.07,3,0.16,2,0.11,172,9.05,1,0.05,145,7.63
Miyagi,28016,294.91,268,4.54,386,6.54,5595,94.83,9074,153.8,668,11.32,21,0.36,241,4.08,695,11.78,9,0.15,24,0.41,521,8.83,-,-,64,5.33,4,0.33,-,-,161,13.42,-,-,12,1
Akita,14297,264.76,65,1.86,193,5.51,1163,33.23,3327,95.06,209,5.97,15,0.43,1328,37.94,190,5.43,74,2.11,11,0.31,94,2.69,1,0.14,55,7.86,-,-,-,-,83,10.38,-,-,125,15.63
Yamagata,13926,296.3,45,1.55,368,12.69,4063,140.1,5258,181.31,264,9.1,23,0.79,1269,43.76,438,15.1,7,0.24,7,0.24,1515,52.24,-,-,28,3.5,2,0.2,4,0.4,47,4.7,4,0.4,9,0.9
Fukushima,23091,299.88,309,6.72,534,11.61,2131,46.33,4714,102.48,471,10.24,24,0.52,631,13.72,641,13.93,15,0.33,13,0.28,209,4.54,-,-,208,17.33,3,0.43,5,0.71,50,7.14,-,-,40,5.71
Ibaraki,33073,275.61,201,2.68,497,6.63,3558,47.44,10678,142.37,721,9.61,96,1.28,539,7.19,500,6.67,10,0.13,51,0.68,1569,20.92,2,0.12,367,21.59,1,0.08,4,0.31,124,9.54,-,-,34,2.62
