"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"40th week, 2021",,,,,,"Data collected as of October 13, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,765,0.16,214789,68.14,27125,8.61,72557,23.02,345367,109.57,13140,4.17,27935,8.86,1769,0.56,47557,15.09,21215,6.73,6075,1.93,110,0.16,5272,7.6,287,0.6,348,0.73,586,1.23,17,0.04,62,0.13
Hokkaido,53,0.24,8650,62.23,1585,11.4,5231,37.63,7438,53.51,708,5.09,141,1.01,51,0.37,1208,8.69,75,0.54,150,1.08,2,0.07,105,3.75,4,0.18,1,0.05,29,1.32,-,-,3,0.14
Aomori,7,0.11,1322,31.48,275,6.55,424,10.1,3988,94.95,142,3.38,36,0.86,32,0.76,522,12.43,143,3.4,41,0.98,-,-,25,2.27,5,0.83,3,0.5,24,4,-,-,-,-
Iwate,3,0.05,1637,40.93,200,5,1925,48.13,4702,117.55,206,5.15,1211,30.28,24,0.6,745,18.63,207,5.18,65,1.63,-,-,87,6.21,4,0.21,5,0.26,18,0.95,-,-,4,0.21
Miyagi,12,0.13,5229,90.16,466,8.03,844,14.55,5099,87.91,319,5.5,355,6.12,38,0.66,1097,18.91,84,1.45,134,2.31,1,0.08,56,4.67,2,0.17,-,-,35,2.92,-,-,1,0.08
Akita,-,-,1598,47,159,4.68,694,20.41,2011,59.15,174,5.12,31,0.91,19,0.56,307,9.03,70,2.06,15,0.44,3,0.43,23,3.29,1,0.13,-,-,2,0.25,-,-,2,0.25
Yamagata,66,1.47,3021,104.17,394,13.59,1123,38.72,2506,86.41,107,3.69,62,2.14,14,0.48,576,19.86,384,13.24,47,1.62,-,-,50,6.25,2,0.2,-,-,4,0.4,-,-,1,0.1
Fukushima,15,0.18,4594,91.88,615,12.3,1397,27.94,4760,95.2,201,4.02,75,1.5,32,0.64,1128,22.56,141,2.82,98,1.96,1,0.08,146,11.23,6,0.86,1,0.14,2,0.29,-,-,2,0.29
Ibaraki,17,0.14,2636,35.15,459,6.12,1821,24.28,5491,73.21,238,3.17,133,1.77,32,0.43,738,9.84,695,9.27,119,1.59,-,-,290,17.06,1,0.08,2,0.17,86,7.17,-,-,1,0.08
