"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"25th week, 2017",,,,,,"Data collected as of June 28, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Gifu,22481,261.41,213,4.1,434,8.35,1431,27.52,4976,95.69,307,5.9,236,4.54,40,0.77,378,7.27,8,0.15,51,0.98,975,18.75,-,-,82,7.45,1,0.2,9,1.8,110,22,-,-,88,17.6
Shizuoka,38636,277.96,300,3.37,904,10.16,6490,72.92,13409,150.66,606,6.81,449,5.04,133,1.49,782,8.79,10,0.11,55,0.62,913,10.26,10,0.48,228,10.86,10,1,19,1.9,96,9.6,27,2.7,71,7.1
Aichi,65841,337.65,837,4.6,1651,9.07,8035,44.15,21914,120.41,1396,7.67,1965,10.8,177,0.97,1493,8.2,23,0.13,207,1.14,1395,7.66,6,0.17,316,9.03,6,0.4,16,1.07,203,13.53,6,0.4,192,12.8
Mie,19184,266.44,466,10.36,868,19.29,1874,41.64,6212,138.04,348,7.73,648,14.4,81,1.8,527,11.71,12,0.27,134,2.98,326,7.24,4,0.33,26,2.17,16,1.78,19,2.11,76,8.44,10,1.11,18,2
Shiga,12044,231.62,160,5.16,321,10.35,946,30.52,4651,150.03,301,9.71,848,27.35,16,0.52,302,9.74,4,0.13,233,7.52,502,16.19,1,0.13,37,4.63,2,0.29,11,1.57,37,5.29,1,0.14,16,2.29
Kyoto,27792,224.13,176,2.35,941,12.55,2966,39.55,10292,137.23,399,5.32,2177,29.03,59,0.79,600,8,16,0.21,295,3.93,760,10.13,1,0.06,136,8,3,0.43,4,0.57,45,6.43,-,-,64,9.14
Osaka,67170,218.79,2002,10.06,2727,13.7,11308,56.82,29725,149.37,1837,9.23,5702,28.65,191,0.96,2240,11.26,47,0.24,907,4.56,3472,17.45,17,0.33,383,7.37,14,0.88,16,1,183,11.44,1,0.06,223,13.94
Hyogo,44966,227.1,1018,7.95,2144,16.75,5221,40.79,23065,180.2,1101,8.6,2332,18.22,357,2.79,1251,9.77,21,0.16,438,3.42,2296,17.94,8,0.23,319,9.11,15,1.15,15,1.15,109,8.38,2,0.15,155,11.92
Nara,10257,189.94,485,14.26,697,20.5,1936,56.94,4061,119.44,279,8.21,439,12.91,49,1.44,411,12.09,2,0.06,79,2.32,646,19,-,-,136,13.6,10,1.67,16,2.67,82,13.67,1,0.17,52,8.67
Wakayama,8412,171.67,245,8.17,290,9.67,554,18.47,3645,121.5,237,7.9,368,12.27,30,1,311,10.37,9,0.3,98,3.27,1361,45.37,11,2.75,65,16.25,3,0.27,13,1.18,48,4.36,5,0.45,66,6
Tottori,5979,206.17,57,3,261,13.74,3114,163.89,2558,134.63,288,15.16,358,18.84,27,1.42,182,9.58,10,0.53,200,10.53,692,36.42,2,0.4,93,18.6,3,0.6,18,3.6,37,7.4,-,-,73,14.6
Shimane,7263,191.13,72,3.13,258,11.22,1647,71.61,3171,137.87,157,6.83,210,9.13,206,8.96,363,15.78,8,0.35,34,1.48,837,36.39,-,-,1,0.33,-,-,9,1.13,52,6.5,-,-,47,5.88
Okayama,22026,262.21,187,3.46,682,12.63,1455,26.94,7888,146.07,324,6,778,14.41,66,1.22,538,9.96,6,0.11,220,4.07,513,9.5,10,0.83,220,18.33,2,0.4,4,0.8,37,7.4,1,0.2,31,6.2
Hiroshima,26927,236.2,456,6.42,1164,16.39,4488,63.21,9563,134.69,579,8.15,2406,33.89,184,2.59,684,9.63,26,0.37,194,2.73,728,10.25,2,0.11,380,20,5,0.25,2,0.1,93,4.65,1,0.05,107,5.35
Yamaguchi,19622,288.56,508,10.58,652,13.58,2797,58.27,5611,116.9,359,7.48,738,15.38,121,2.52,654,13.63,18,0.38,213,4.44,2157,44.94,-,-,172,19.11,5,0.56,2,0.22,100,11.11,1,0.11,87,9.67
Tokushima,8434,227.95,281,12.22,299,13,1163,50.57,3299,143.43,115,5,165,7.17,51,2.22,364,15.83,7,0.3,119,5.17,454,19.74,1,0.25,15,3.75,1,0.17,1,0.17,9,1.5,-,-,11,1.83
Kagawa,9049,192.53,243,8.68,380,13.57,1650,58.93,5863,209.39,155,5.54,1024,36.57,56,2,354,12.64,8,0.29,218,7.79,666,23.79,2,0.4,40,8,3,0.6,3,0.6,48,9.6,-,-,151,30.2
Ehime,16488,270.3,197,5.32,290,7.84,2632,71.14,7954,214.97,288,7.78,884,23.89,220,5.95,596,16.11,3,0.08,104,2.81,1636,44.22,-,-,288,36,2,0.33,1,0.17,45,7.5,-,-,30,5
Kochi,14629,304.77,224,7.47,194,6.47,1561,52.03,3394,113.13,329,10.97,858,28.6,83,2.77,271,9.03,16,0.53,99,3.3,150,5,-,-,10,3.33,2,0.25,4,0.5,65,8.13,6,0.75,80,10
Fukuoka,71955,363.41,1230,10.25,1712,14.27,11366,94.72,26425,220.21,1768,14.73,3564,29.7,231,1.93,1993,16.61,66,0.55,2220,18.5,2155,17.96,-,-,364,14,12,0.8,18,1.2,276,18.4,-,-,49,3.27
Saga,12733,335.08,217,9.86,412,18.73,1258,57.18,3305,150.23,281,12.77,1098,49.91,30,1.36,418,19,2,0.09,130,5.91,156,7.09,-,-,39,13,5,0.83,4,0.67,26,4.33,1,0.17,122,20.33
Nagasaki,22408,320.11,250,5.68,327,7.43,3677,83.57,5429,123.39,295,6.7,853,19.39,26,0.59,480,10.91,14,0.32,128,2.91,491,11.16,5,0.63,56,7,1,0.08,9,0.75,73,6.08,-,-,104,8.67
Kumamoto,24066,300.83,234,4.68,623,12.46,3049,60.98,10722,214.44,561,11.22,1583,31.66,76,1.52,890,17.8,4,0.08,582,11.64,823,16.46,3,0.33,291,32.33,14,0.93,16,1.07,70,4.67,-,-,117,7.8
Oita,19930,343.62,136,3.78,373,10.36,3284,91.22,12213,339.25,448,12.44,525,14.58,26,0.72,641,17.81,14,0.39,215,5.97,432,12,-,-,88,17.6,1,0.09,1,0.09,74,6.73,1,0.09,43,3.91
Miyazaki,23002,396.59,407,11.63,639,18.26,2227,63.63,8844,252.69,521,14.89,2002,57.2,268,7.66,720,20.57,3,0.09,216,6.17,238,6.8,2,0.4,244,48.8,-,-,1,0.14,20,2.86,-,-,113,16.14
Kagoshima,27203,292.51,896,16.29,1593,28.96,2572,46.76,12672,230.4,580,10.55,1383,25.15,70,1.27,533,9.69,8,0.15,259,4.71,2380,43.27,-,-,205,29.29,5,0.42,8,0.67,26,2.17,-,-,107,8.92
Okinawa,22167,388.89,1306,38.41,469,13.79,910,26.76,3804,111.88,451,13.26,186,5.47,38,1.12,237,6.97,65,1.91,134,3.94,114,3.35,1,0.11,168,18.67,10,1.43,39,5.57,111,15.86,-,-,85,12.14
