"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37th week, 2015",,,,,,"Data collected as of September 16, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Nagano,22360,260,359,6.77,449,8.47,4963,93.64,11972,225.89,680,12.83,6136,115.77,1696,32,789,14.89,38,0.72,1715,32.36,197,3.72,2,0.2,140,14,3,0.27,5,0.45,183,16.64,-,-,83,7.55
Gifu,21876,254.37,293,5.63,772,14.85,1944,37.38,7724,148.54,436,8.38,1653,31.79,1085,20.87,754,14.5,13,0.25,1758,33.81,129,2.48,-,-,69,6.27,1,0.2,10,2,138,27.6,-,-,77,15.4
Shizuoka,33488,242.67,786,8.93,1396,15.86,11632,132.18,18219,207.03,1288,14.64,7264,82.55,2037,23.15,1501,17.06,49,0.56,2891,32.85,747,8.49,5,0.24,222,10.57,5,0.5,12,1.2,144,14.4,30,3,55,5.5
Aichi,64450,330.51,1013,5.57,2478,13.62,13785,75.74,34251,188.19,2235,12.28,9576,52.62,2260,12.42,2955,16.24,93,0.51,7453,40.95,1983,10.9,20,0.59,346,10.18,16,1.14,10,0.71,162,11.57,-,-,183,13.07
Mie,17238,239.42,383,8.51,876,19.47,3021,67.13,8906,197.91,552,12.27,3558,79.07,548,12.18,944,20.98,34,0.76,3408,75.73,146,3.24,3,0.25,46,3.83,12,1.33,14,1.56,103,11.44,-,-,11,1.22
Shiga,13636,262.23,269,8.68,429,13.84,2228,71.87,6574,212.06,588,18.97,3458,111.55,1359,43.84,472,15.23,17,0.55,1283,41.39,309,9.97,-,-,56,7,5,0.71,10,1.43,59,8.43,-,-,41,5.86
Kyoto,21731,178.12,324,4.44,989,13.55,3586,49.12,12886,176.52,792,10.85,9036,123.78,1046,14.33,972,13.32,20,0.27,977,13.38,697,9.55,1,0.06,196,11.53,3,0.5,5,0.83,29,4.83,5,0.83,99,16.5
Osaka,52788,171.95,3346,16.81,3251,16.34,16956,85.21,43233,217.25,3646,18.32,25874,130.02,3658,18.38,3984,20.02,147,0.74,4671,23.47,2218,11.15,27,0.53,676,13.25,9,0.53,28,1.65,333,19.59,4,0.24,257,15.12
Hyogo,43072,217.54,1574,12.3,2501,19.54,9512,74.31,32769,256.01,2101,16.41,16834,131.52,2000,15.63,2260,17.66,99,0.77,2614,20.42,1449,11.32,16,0.46,1041,29.74,14,1.08,23,1.77,68,5.23,-,-,73,5.62
Nara,7970,147.59,456,13.41,420,12.35,2042,60.06,5002,147.12,362,10.65,4149,122.03,285,8.38,534,15.71,9,0.26,645,18.97,155,4.56,5,0.56,105,11.67,8,1.33,3,0.5,35,5.83,1,0.17,108,18
