"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21st week, 2019",,,,,,"Data collected as of May 29, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shizuoka,40611,292.17,460,5.17,408,4.58,3177,35.7,12092,135.87,353,3.97,168,1.89,1147,12.89,521,5.85,55,0.62,191,2.15,-,-,233,10.59,4,0.4,14,1.4,19,1.9,1,0.1,17,1.7
Aichi,72830,373.49,1296,7.12,977,5.37,6058,33.29,19226,105.64,811,4.46,219,1.2,1504,8.26,1066,5.86,73,0.4,233,1.28,4,0.11,238,6.8,6,0.4,12,0.8,63,4.2,1,0.07,356,23.73
Mie,17359,241.1,663,14.73,331,7.36,1773,39.4,5696,126.58,223,4.96,159,3.53,243,5.4,339,7.53,29,0.64,36,0.8,-,-,11,0.92,7,0.78,18,2,34,3.78,2,0.22,76,8.44
Shiga,13864,266.62,156,5.03,187,6.03,962,31.03,3390,109.35,169,5.45,84,2.71,153,4.94,153,4.94,44,1.42,34,1.1,-,-,23,2.88,4,0.57,1,0.14,3,0.43,1,0.14,32,4.57
Kyoto,32148,257.18,329,4.33,437,5.75,2188,28.79,9230,121.45,380,5,311,4.09,949,12.49,423,5.57,58,0.76,78,1.03,-,-,66,3.88,3,0.43,-,-,26,3.71,-,-,116,16.57
Osaka,72458,240.72,3373,17.04,1899,9.59,9411,47.53,26561,134.15,1278,6.45,3017,15.24,2119,10.7,1460,7.37,388,1.96,325,1.64,10,0.19,293,5.63,12,0.75,4,0.25,36,2.25,-,-,347,21.69
Hyogo,48236,243.62,1548,12.09,1197,9.35,4123,32.21,20168,157.56,904,7.06,839,6.55,1549,12.1,783,6.12,102,0.8,103,0.8,10,0.29,409,12.03,22,1.57,9,0.64,36,2.57,1,0.07,215,15.36
Nara,11459,208.35,393,11.56,305,8.97,1340,39.41,4618,135.82,164,4.82,243,7.15,118,3.47,234,6.88,27,0.79,28,0.82,-,-,138,13.8,3,0.5,4,0.67,30,5,-,-,73,12.17
Wakayama,9000,183.67,713,23.77,176,5.87,578,19.27,3261,108.7,94,3.13,108,3.6,442,14.73,203,6.77,36,1.2,27,0.9,13,3.25,35,8.75,1,0.09,7,0.64,43,3.91,1,0.09,85,7.73
Tottori,7280,251.03,155,8.16,204,10.74,1772,93.26,2942,154.84,161,8.47,492,25.89,65,3.42,145,7.63,19,1,15,0.79,1,0.2,91,18.2,2,0.4,2,0.4,7,1.4,-,-,12,2.4
