"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28th week, 2017",,,,,,"Data collected as of July 19, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1360808,274.86,24583,7.77,47826,15.13,223318,70.63,535086,169.22,33656,10.64,97304,30.77,7509,2.37,40937,12.95,808,0.26,24603,7.78,51562,16.31,250,0.36,12195,17.57,270,0.57,465,0.97,4406,9.24,145,0.3,4803,10.07
Hokkaido,49292,220.05,2707,19.2,4007,28.42,15252,108.17,12261,86.96,1824,12.94,2005,14.22,208,1.48,1111,7.88,46,0.33,485,3.44,1527,10.83,8,0.29,291,10.39,5,0.22,15,0.65,140,6.09,-,-,200,8.7
Aomori,15392,240.5,169,4.12,434,10.59,2254,54.98,5632,137.37,294,7.17,414,10.1,184,4.49,521,12.71,2,0.05,136,3.32,407,9.93,1,0.09,83,7.55,9,1.5,4,0.67,119,19.83,-,-,71,11.83
Iwate,14533,227.08,208,5.33,870,22.31,3276,84,6113,156.74,245,6.28,91,2.33,138,3.54,529,13.56,1,0.03,37,0.95,913,23.41,4,0.29,116,8.29,4,0.21,2,0.11,165,8.68,2,0.11,104,5.47
Miyagi,27047,284.71,483,8.19,1137,19.27,4906,83.15,8787,148.93,701,11.88,565,9.58,105,1.78,953,16.15,8,0.14,124,2.1,352,5.97,-,-,72,6,2,0.17,1,0.08,139,11.58,-,-,51,4.25
Akita,13129,243.13,119,3.4,217,6.2,1529,43.69,3481,99.46,351,10.03,986,28.17,42,1.2,229,6.54,14,0.4,65,1.86,96,2.74,8,1.14,37,5.29,1,0.13,-,-,142,17.75,2,0.25,56,7
Yamagata,11416,242.89,159,5.3,445,14.83,4739,157.97,4736,157.87,415,13.83,368,12.27,359,11.97,553,18.43,13,0.43,101,3.37,434,14.47,-,-,48,6,2,0.2,7,0.7,107,10.7,-,-,78,7.8
Fukushima,23758,308.55,590,12.83,498,10.83,3545,77.07,5663,123.11,675,14.67,78,1.7,284,6.17,830,18.04,8,0.17,72,1.57,439,9.54,1,0.08,281,23.42,5,0.71,9,1.29,69,9.86,4,0.57,217,31
Ibaraki,30847,257.06,243,3.24,871,11.61,5748,76.64,10114,134.85,734,9.79,350,4.67,130,1.73,585,7.8,16,0.21,151,2.01,485,6.47,5,0.29,482,28.35,2,0.15,-,-,70,5.38,-,-,122,9.38
Tochigi,17674,232.55,184,3.83,551,11.48,2017,42.02,3892,81.08,521,10.85,250,5.21,58,1.21,667,13.9,1,0.02,62,1.29,335,6.98,-,-,316,26.33,3,0.43,5,0.71,77,11,2,0.29,89,12.71
Gunma,23691,252.03,203,3.56,597,10.47,4937,86.61,10473,183.74,458,8.04,801,14.05,285,5,764,13.4,2,0.04,289,5.07,1136,19.93,2,0.15,259,19.92,1,0.13,4,0.5,151,18.88,-,-,310,38.75
Saitama,84809,336.54,771,4.82,2472,15.45,14243,89.02,30278,189.24,2091,13.07,2210,13.81,409,2.56,2375,14.84,21,0.13,730,4.56,2083,13.02,43,1.08,796,19.9,7,0.7,13,1.3,78,7.8,10,1,111,11.1
Chiba,68431,319.77,492,3.67,1737,12.96,12594,93.99,21080,157.31,1540,11.49,1722,12.85,227,1.69,1722,12.85,34,0.25,1133,8.46,1030,7.69,18,0.53,835,24.56,15,1.67,18,2,109,12.11,-,-,101,11.22
Tokyo,107380,260.63,1410,5.4,3613,13.84,17366,66.54,49878,191.1,2761,10.58,5460,20.92,812,3.11,3948,15.13,52,0.2,1251,4.79,1885,7.22,5,0.13,564,14.84,19,0.76,18,0.72,132,5.28,31,1.24,229,9.16
Kanagawa,97647,283.86,1101,5.12,2233,10.39,14438,67.15,35818,166.6,2842,13.22,4204,19.55,454,2.11,3018,14.04,23,0.11,1115,5.19,2788,12.97,24,0.48,1995,39.9,5,0.5,16,1.6,72,7.2,-,-,213,21.3
Niigata,26011,289.01,621,10.89,1267,22.23,4384,76.91,10956,192.21,581,10.19,1273,22.33,206,3.61,681,11.95,21,0.37,178,3.12,3050,53.51,10,1,210,21,5,0.38,9,0.69,130,10,21,1.62,79,6.08
Toyama,10668,222.25,445,15.34,473,16.31,1551,53.48,5617,193.69,241,8.31,914,31.52,19,0.66,316,10.9,2,0.07,103,3.55,997,34.38,5,0.71,224,32,2,0.4,4,0.8,47,9.4,2,0.4,58,11.6
Ishikawa,15981,332.94,143,4.93,607,20.93,2121,73.14,7122,245.59,344,11.86,903,31.14,65,2.24,342,11.79,4,0.14,138,4.76,133,4.59,-,-,91,13,1,0.2,6,1.2,87,17.4,-,-,86,17.2
Fukui,11645,363.91,77,3.5,327,14.86,1635,74.32,5777,262.59,214,9.73,707,32.14,16,0.73,218,9.91,11,0.5,104,4.73,242,11,-,-,11,3.67,10,1.67,5,0.83,46,7.67,2,0.33,70,11.67
Yamanashi,10611,258.8,31,1.29,655,27.29,1873,78.04,3801,158.38,163,6.79,537,22.38,49,2.04,200,8.33,2,0.08,83,3.46,431,17.96,1,0.11,179,19.89,4,0.4,6,0.6,97,9.7,2,0.2,55,5.5
Nagano,27777,322.99,236,4.45,231,4.36,3598,67.89,10897,205.6,553,10.43,311,5.87,133,2.51,470,8.87,16,0.3,195,3.68,3003,56.66,9,0.9,94,9.4,1,0.09,2,0.18,134,12.18,-,-,140,12.73
Gifu,22499,261.62,222,4.27,549,10.56,1638,31.5,5571,107.13,331,6.37,651,12.52,51,0.98,419,8.06,11,0.21,116,2.23,1065,20.48,-,-,102,9.27,1,0.2,9,1.8,115,23,-,-,89,17.8
Shizuoka,38684,278.3,343,3.85,1069,12.01,7176,80.63,15130,170,693,7.79,1503,16.89,185,2.08,918,10.31,13,0.15,212,2.38,1030,11.57,10,0.48,276,13.14,10,1,23,2.3,104,10.4,28,2.8,72,7.2
Aichi,65880,337.85,950,5.22,2003,11.01,9244,50.79,24450,134.34,1602,8.8,4735,26.02,222,1.22,1745,9.59,23,0.13,676,3.71,1552,8.53,6,0.17,396,11.31,7,0.47,16,1.07,210,14,6,0.4,195,13
Mie,19228,267.06,480,10.67,990,22,2146,47.69,7080,157.33,391,8.69,2203,48.96,93,2.07,607,13.49,14,0.31,566,12.58,400,8.89,5,0.42,36,3,17,1.89,19,2.11,82,9.11,10,1.11,19,2.11
Shiga,12051,231.75,169,5.45,365,11.77,1084,34.97,5138,165.74,403,13,2090,67.42,16,0.52,352,11.35,4,0.13,447,14.42,549,17.71,1,0.13,42,5.25,5,0.71,11,1.57,38,5.43,1,0.14,16,2.29
Kyoto,27800,224.19,200,2.67,1084,14.45,3463,46.17,11517,153.56,447,5.96,3549,47.32,86,1.15,697,9.29,16,0.21,502,6.69,852,11.36,2,0.12,160,9.41,3,0.43,4,0.57,47,6.71,-,-,66,9.43
Osaka,67217,218.95,2248,11.3,3153,15.84,12982,65.24,33287,167.27,2140,10.75,12076,60.68,232,1.17,2612,13.13,55,0.28,1921,9.65,3744,18.81,27,0.52,477,9.17,14,0.88,20,1.25,201,12.56,2,0.13,228,14.25
Hyogo,44999,227.27,1055,8.24,2462,19.23,5856,45.75,25665,200.51,1232,9.63,7120,55.63,420,3.28,1417,11.07,29,0.23,1255,9.8,2518,19.67,9,0.26,445,12.71,17,1.31,19,1.46,114,8.77,3,0.23,157,12.08
Nara,10257,189.94,506,14.88,785,23.09,2213,65.09,4658,137,317,9.32,1070,31.47,61,1.79,456,13.41,7,0.21,217,6.38,679,19.97,-,-,156,15.6,10,1.67,19,3.17,86,14.33,1,0.17,52,8.67
