"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3rd week, 2016",,,,,,"Data collected as of January 27, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,82684,16.72,8162,2.59,4129,1.31,23824,7.55,74321,23.56,5761,1.83,412,0.13,7593,2.41,3966,1.26,133,0.04,163,0.05,8687,2.75,26,0.04,1677,2.44,29,0.06,53,0.11,1061,2.24,32,0.07,242,0.51
Hokkaido,5425,24,340,2.39,226,1.59,1570,11.06,1466,10.32,232,1.63,46,0.32,753,5.3,119,0.84,5,0.04,5,0.04,670,4.72,-,-,21,0.75,1,0.04,1,0.04,28,1.22,3,0.13,34,1.48
Aomori,1674,25.75,53,1.26,49,1.17,168,4,472,11.24,37,0.88,-,-,75,1.79,48,1.14,-,-,1,0.02,90,2.14,-,-,17,1.55,4,0.67,1,0.17,11,1.83,-,-,1,0.17
Iwate,1403,21.58,70,1.75,16,0.4,438,10.95,807,20.18,31,0.78,2,0.05,40,1,48,1.2,6,0.15,2,0.05,60,1.5,-,-,30,2.14,1,0.05,-,-,27,1.42,-,-,1,0.05
Miyagi,1404,14.78,117,1.98,41,0.69,582,9.86,1679,28.46,143,2.42,3,0.05,47,0.8,81,1.37,-,-,-,-,83,1.41,-,-,13,1.08,2,0.17,-,-,37,3.08,-,-,1,0.08
Akita,1567,29.02,20,0.57,27,0.77,140,4,556,15.89,38,1.09,3,0.09,266,7.6,15,0.43,2,0.06,2,0.06,5,0.14,1,0.14,3,0.43,-,-,-,-,12,1.5,-,-,1,0.13
Yamagata,577,12.28,25,0.86,53,1.83,577,19.9,979,33.76,58,2,1,0.03,272,9.38,57,1.97,-,-,-,-,172,5.93,-,-,7,0.88,-,-,1,0.1,7,0.7,2,0.2,1,0.1
Fukushima,1150,14.94,114,2.48,65,1.41,241,5.24,911,19.8,82,1.78,4,0.09,131,2.85,72,1.57,3,0.07,3,0.07,48,1.04,-,-,28,2.33,1,0.14,1,0.14,11,1.57,-,-,1,0.14
Ibaraki,2260,18.83,98,1.31,77,1.03,462,6.16,1917,25.56,166,2.21,9,0.12,126,1.68,54,0.72,-,-,2,0.03,261,3.48,-,-,67,3.94,-,-,-,-,29,2.23,-,-,-,-
Tochigi,902,11.87,60,1.25,23,0.48,272,5.67,861,17.94,58,1.21,3,0.06,119,2.48,76,1.58,1,0.02,-,-,92,1.92,-,-,52,4.33,-,-,-,-,18,2.57,-,-,2,0.29
Gunma,1207,12.71,97,1.67,61,1.05,563,9.71,1341,23.12,69,1.19,4,0.07,89,1.53,79,1.36,2,0.03,4,0.07,55,0.95,-,-,31,2.21,-,-,1,0.13,19,2.38,-,-,6,0.75
Saitama,4907,19.55,257,1.63,196,1.24,1282,8.11,4742,30.01,453,2.87,23,0.15,437,2.77,195,1.23,5,0.03,10,0.06,523,3.31,2,0.05,96,2.4,2,0.2,1,0.1,26,2.6,3,0.3,3,0.3
Chiba,4831,22.57,160,1.19,152,1.13,1259,9.4,3450,25.75,331,2.47,19,0.14,358,2.67,200,1.49,4,0.03,5,0.04,503,3.75,1,0.03,77,2.41,3,0.33,3,0.33,19,2.11,2,0.22,1,0.11
Tokyo,6882,16.62,354,1.36,229,0.88,1902,7.29,6653,25.49,537,2.06,34,0.13,308,1.18,329,1.26,10,0.04,10,0.04,515,1.97,-,-,64,1.64,1,0.04,2,0.08,92,3.68,2,0.08,2,0.08
Kanagawa,6414,19.09,212,1.01,166,0.79,1252,5.96,5446,25.93,514,2.45,20,0.1,186,0.89,266,1.27,3,0.01,6,0.03,398,1.9,5,0.11,187,4.07,1,0.09,4,0.36,14,1.27,-,-,6,0.55
Niigata,4400,46.81,138,2.34,209,3.54,600,10.17,1184,20.07,106,1.8,15,0.25,49,0.83,66,1.12,8,0.14,1,0.02,177,3,2,0.2,32,3.2,-,-,-,-,19,1.46,7,0.54,5,0.38
Toyama,480,10,35,1.21,48,1.66,329,11.34,893,30.79,70,2.41,13,0.45,43,1.48,34,1.17,1,0.03,6,0.21,53,1.83,-,-,8,1.14,-,-,-,-,27,5.4,-,-,-,-
Ishikawa,410,8.54,15,0.52,116,4,259,8.93,542,18.69,28,0.97,4,0.14,25,0.86,25,0.86,-,-,-,-,272,9.38,-,-,7,1,-,-,1,0.2,15,3,-,-,1,0.2
Fukui,409,12.78,56,2.55,52,2.36,292,13.27,436,19.82,49,2.23,-,-,103,4.68,36,1.64,3,0.14,-,-,14,0.64,-,-,2,0.67,-,-,1,0.17,6,1,-,-,-,-
Yamanashi,627,15.68,45,1.88,20,0.83,174,7.25,627,26.13,20,0.83,1,0.04,48,2,15,0.63,-,-,-,-,11,0.46,-,-,22,2.44,1,0.1,2,0.2,20,2,-,-,3,0.3
Nagano,1680,19.31,253,4.69,48,0.89,331,6.13,1399,25.91,41,0.76,6,0.11,109,2.02,46,0.85,1,0.02,-,-,164,3.04,-,-,21,1.91,-,-,-,-,27,2.45,-,-,4,0.36
Gifu,1735,19.94,102,1.92,66,1.25,218,4.11,862,16.26,54,1.02,13,0.25,74,1.4,39,0.74,1,0.02,2,0.04,49,0.92,-,-,7,0.64,-,-,6,1.2,26,5.2,-,-,2,0.4
Shizuoka,1946,14,196,2.2,116,1.3,1350,15.17,2798,31.44,140,1.57,9,0.1,116,1.3,97,1.09,2,0.02,1,0.01,308,3.46,-,-,22,1,1,0.1,3,0.3,23,2.3,4,0.4,2,0.2
Aichi,3554,18.23,510,2.82,155,0.86,1220,6.74,3955,21.85,228,1.26,28,0.15,460,2.54,219,1.21,5,0.03,8,0.04,219,1.21,-,-,37,1.09,-,-,1,0.07,52,3.71,-,-,7,0.5
Mie,753,10.46,166,3.69,50,1.11,203,4.51,1361,30.24,85,1.89,2,0.04,122,2.71,52,1.16,-,-,-,-,36,0.8,-,-,5,0.42,2,0.22,1,0.11,23,2.56,-,-,-,-
Shiga,763,14.4,120,3.75,18,0.56,84,2.63,734,22.94,93,2.91,8,0.25,15,0.47,36,1.13,-,-,1,0.03,31,0.97,-,-,7,0.88,-,-,1,0.14,9,1.29,-,-,3,0.43
Kyoto,1564,12.82,99,1.36,58,0.79,330,4.52,1468,20.11,94,1.29,6,0.08,143,1.96,57,0.78,-,-,5,0.07,220,3.01,-,-,15,0.88,-,-,-,-,25,3.57,-,-,8,1.14
Osaka,4272,13.92,705,3.53,351,1.76,1166,5.83,3745,18.73,376,1.88,15,0.08,372,1.86,270,1.35,6,0.03,16,0.08,432,2.16,1,0.02,71,1.37,1,0.06,1,0.06,83,4.88,-,-,11,0.65
Hyogo,2625,13.19,557,4.32,187,1.45,771,5.98,3008,23.32,323,2.5,18,0.14,229,1.78,123,0.95,6,0.05,5,0.04,306,2.37,-,-,46,1.31,-,-,1,0.09,16,1.45,-,-,8,0.73
Nara,530,9.81,159,4.68,50,1.47,156,4.59,628,18.47,38,1.12,-,-,111,3.26,51,1.5,3,0.09,2,0.06,67,1.97,-,-,5,0.56,2,0.33,-,-,28,4.67,-,-,6,1
Wakayama,478,9.56,144,4.65,48,1.55,84,2.71,316,10.19,29,0.94,-,-,176,5.68,30,0.97,-,-,1,0.03,18,0.58,-,-,9,2.25,-,-,-,-,11,1,-,-,5,0.45
Tottori,226,7.79,39,2.05,59,3.11,331,17.42,346,18.21,9,0.47,-,-,107,5.63,22,1.16,-,-,-,-,5,0.26,-,-,6,2,-,-,1,0.2,12,2.4,-,-,14,2.8
Shimane,258,6.79,102,4.43,71,3.09,200,8.7,483,21,24,1.04,3,0.13,13,0.57,34,1.48,-,-,5,0.22,53,2.3,-,-,2,0.67,1,0.13,-,-,12,1.5,2,0.25,4,0.5
Okayama,872,10.38,127,2.35,43,0.8,199,3.69,1251,23.17,72,1.33,3,0.06,73,1.35,43,0.8,2,0.04,3,0.06,241,4.46,-,-,31,2.58,-,-,2,0.4,6,1.2,-,-,2,0.4
Hiroshima,1143,10.03,163,2.3,103,1.45,427,6.01,1635,23.03,114,1.61,7,0.1,249,3.51,66,0.93,4,0.06,3,0.04,195,2.75,2,0.11,58,3.05,1,0.05,-,-,38,1.81,-,-,12,0.57
Yamaguchi,1134,16.43,311,6.48,53,1.1,392,8.17,1169,24.35,55,1.15,23,0.48,165,3.44,84,1.75,1,0.02,6,0.13,112,2.33,-,-,41,4.56,-,-,-,-,10,1.11,-,-,5,0.56
Tokushima,332,8.74,199,8.65,29,1.26,86,3.74,778,33.83,36,1.57,2,0.09,35,1.52,36,1.57,1,0.04,2,0.09,19,0.83,-,-,5,1.25,-,-,-,-,2,0.29,-,-,11,1.57
Kagawa,398,8.47,112,4,53,1.89,112,4,712,25.43,29,1.04,-,-,54,1.93,37,1.32,1,0.04,-,-,33,1.18,-,-,7,1.4,-,-,-,-,12,2.4,-,-,14,2.8
Ehime,417,6.84,209,5.65,38,1.03,348,9.41,1422,38.43,42,1.14,7,0.19,85,2.3,74,2,2,0.05,1,0.03,38,1.03,1,0.13,53,6.63,-,-,-,-,4,0.67,-,-,1,0.17
Kochi,137,2.85,105,3.5,6,0.2,191,6.37,863,28.77,34,1.13,1,0.03,19,0.63,24,0.8,4,0.13,-,-,58,1.93,-,-,1,0.33,-,-,1,0.13,18,2.25,5,0.63,24,3
Fukuoka,3964,20.02,457,3.81,274,2.28,1170,9.75,3097,25.81,345,2.88,12,0.1,295,2.46,255,2.13,4,0.03,4,0.03,631,5.26,6,0.23,170,6.54,2,0.14,7,0.5,74,5.29,-,-,1,0.07
Saga,465,11.92,103,4.48,36,1.57,163,7.09,316,13.74,33,1.43,5,0.22,100,4.35,62,2.7,-,-,-,-,244,10.61,-,-,4,1,-,-,1,0.17,10,1.67,-,-,6,1
Nagasaki,991,14.16,187,4.25,47,1.07,288,6.55,657,14.93,79,1.8,4,0.09,99,2.25,41,0.93,-,-,4,0.09,178,4.05,-,-,57,7.13,-,-,3,0.25,32,2.67,-,-,1,0.08
Kumamoto,710,8.88,287,5.74,68,1.36,249,4.98,1846,36.92,45,0.9,13,0.26,356,7.12,95,1.9,3,0.06,9,0.18,232,4.64,-,-,101,11.22,1,0.07,4,0.27,25,1.67,2,0.13,18,1.2
Oita,846,14.59,95,2.64,42,1.17,370,10.28,1284,35.67,83,2.31,6,0.17,240,6.67,60,1.67,5,0.14,-,-,33,0.92,-,-,17,3.4,-,-,-,-,12,1.09,-,-,-,-
Miyazaki,675,11.44,189,5.25,77,2.14,303,8.42,1062,29.5,69,1.92,9,0.25,137,3.81,101,2.81,1,0.03,4,0.11,332,9.22,2,0.33,73,12.17,-,-,-,-,8,1.14,-,-,1,0.14
Kagoshima,1046,11.25,179,3.25,140,2.55,632,11.49,1654,30.07,115,2.09,6,0.11,153,2.78,72,1.31,5,0.09,19,0.35,173,3.15,-,-,19,2.71,-,-,-,-,5,0.42,-,-,1,0.08
Okinawa,2241,38.64,21,0.62,17,0.5,88,2.59,510,15,54,1.59,2,0.06,11,0.32,25,0.74,23,0.68,5,0.15,258,7.59,3,0.33,23,2.56,1,0.14,1,0.14,21,3,-,-,2,0.29
