"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43rd week, 2019",,,,,,"Data collected as of October 30, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1468515,297.51,123312,39.11,57828,18.34,272896,86.55,658504,208.85,42291,13.41,373383,118.42,91541,29.03,54275,17.21,93046,29.51,13194,4.18,289,0.42,19350,27.88,385,0.8,648,1.35,4102,8.56,80,0.17,4649,9.71
Hokkaido,60052,272.96,5051,36.6,2483,17.99,18101,131.17,15793,114.44,1718,12.45,15712,113.86,3415,24.75,1464,10.61,3130,22.68,311,2.25,6,0.21,529,18.89,12,0.55,11,0.5,437,19.86,5,0.23,324,14.73
Aomori,15037,231.34,781,18.6,363,8.64,2415,57.5,7052,167.9,458,10.9,3911,93.12,1407,33.5,710,16.9,744,17.71,352,8.38,5,0.45,151,13.73,2,0.33,2,0.33,200,33.33,-,-,69,11.5
Iwate,18096,278.4,1129,28.23,453,11.33,5055,126.38,6661,166.53,489,12.23,4092,102.3,946,23.65,704,17.6,849,21.23,282,7.05,-,-,280,20,9,0.47,8,0.42,112,5.89,2,0.11,246,12.95
Miyagi,30758,327.21,2314,39.9,773,13.33,7491,129.16,12022,207.28,1173,20.22,9897,170.64,2929,50.5,1214,20.93,1450,25,229,3.95,4,0.33,164,13.67,4,0.33,3,0.25,180,15,-,-,34,2.83
Akita,15056,284.08,677,19.91,215,6.32,1722,50.65,3817,112.26,203,5.97,2016,59.29,365,10.74,334,9.82,530,15.59,31,0.91,-,-,68,11.33,5,0.63,-,-,126,15.75,1,0.13,33,4.13
Yamagata,12876,286.13,1658,57.17,555,19.14,4492,154.9,6823,235.28,461,15.9,5529,190.66,1212,41.79,650,22.41,1320,45.52,61,2.1,-,-,133,19,3,0.3,8,0.8,70,7,-,-,76,7.6
Fukushima,29484,355.23,3030,60.6,1153,23.06,5083,101.66,6751,135.02,743,14.86,7671,153.42,1807,36.14,1267,25.34,1302,26.04,203,4.06,4,0.31,500,38.46,4,0.57,3,0.43,44,6.29,-,-,146,20.86
Ibaraki,37128,309.4,2039,27.19,1173,15.64,6016,80.21,12622,168.29,1158,15.44,7914,105.52,2212,29.49,933,12.44,2477,33.03,260,3.47,-,-,843,52.69,6,0.5,6,0.5,187,15.58,-,-,50,4.17
