"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27th week, 2020",,,,,,"Data collected as of July 8, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shizuoka,15955,114.78,260,2.92,483,5.43,3809,42.8,6655,74.78,388,4.36,149,1.67,325,3.65,737,8.28,24,0.27,119,1.34,-,-,161,7.32,8,0.8,13,1.3,65,6.5,1,0.1,-,-
Aichi,31888,163.53,576,3.16,853,4.69,6171,33.91,12068,66.31,640,3.52,370,2.03,782,4.3,1186,6.52,73,0.4,156,0.86,2,0.06,91,2.6,11,0.73,23,1.53,156,10.4,1,0.07,5,0.33
Mie,8492,119.61,290,6.59,402,9.14,1531,34.8,3411,77.52,218,4.95,75,1.7,452,10.27,430,9.77,28,0.64,46,1.05,-,-,16,1.45,8,0.89,7,0.78,55,6.11,-,-,1,0.11
Shiga,7142,129.85,76,2.3,112,3.39,917,27.79,2110,63.94,101,3.06,84,2.55,148,4.48,235,7.12,50,1.52,28,0.85,1,0.13,6,0.75,9,1.29,4,0.57,36,5.14,-,-,2,0.29
Kyoto,15017,120.14,174,2.29,252,3.32,2558,33.66,4164,54.79,292,3.84,178,2.34,283,3.72,533,7.01,46,0.61,58,0.76,-,-,59,3.47,1,0.17,4,0.67,81,13.5,-,-,-,-
Osaka,42879,143.41,1029,5.25,954,4.87,6762,34.5,13845,70.64,1027,5.24,361,1.84,709,3.62,1715,8.75,156,0.8,276,1.41,9,0.18,177,3.47,7,0.44,9,0.56,82,5.13,1,0.06,1,0.06
Hyogo,24341,122.93,596,4.66,678,5.3,2825,22.07,10769,84.13,599,4.68,169,1.32,532,4.16,1033,8.07,95,0.74,134,1.05,6,0.17,306,8.74,27,1.93,9,0.64,110,7.86,1,0.07,6,0.43
Nara,5928,107.78,174,5.12,154,4.53,1048,30.82,2405,70.74,137,4.03,106,3.12,273,8.03,313,9.21,29,0.85,16,0.47,1,0.1,49,4.9,4,0.67,4,0.67,28,4.67,1,0.17,7,1.17
Wakayama,4322,88.2,314,10.83,170,5.86,756,26.07,1648,56.83,102,3.52,27,0.93,212,7.31,237,8.17,13,0.45,15,0.52,5,1.25,6,1.5,11,1,9,0.82,71,6.45,2,0.18,1,0.09
Tottori,3159,108.93,49,2.58,199,10.47,1932,101.68,2022,106.42,161,8.47,29,1.53,313,16.47,171,9,25,1.32,13,0.68,-,-,49,9.8,3,0.6,2,0.4,29,5.8,-,-,1,0.2
Shimane,3549,93.39,74,3.22,102,4.43,767,33.35,1959,85.17,113,4.91,29,1.26,171,7.43,357,15.52,11,0.48,16,0.7,-,-,3,1,2,0.25,5,0.63,17,2.13,-,-,-,-
Okayama,12125,144.35,106,1.96,420,7.78,1168,21.63,5301,98.17,248,4.59,77,1.43,320,5.93,365,6.76,23,0.43,83,1.54,2,0.17,32,2.67,7,1.4,1,0.2,17,3.4,-,-,1,0.2
Hiroshima,10533,93.21,290,4.14,754,10.77,2259,32.27,6647,94.96,348,4.97,105,1.5,338,4.83,586,8.37,36,0.51,111,1.59,6,0.33,188,10.44,4,0.2,3,0.15,66,3.3,-,-,11,0.55
Yamaguchi,5478,81.76,464,10.09,247,5.37,1715,37.28,4048,88,226,4.91,141,3.07,351,7.63,631,13.72,53,1.15,54,1.17,-,-,48,5.33,-,-,4,0.44,51,5.67,-,-,13,1.44
Tokushima,3092,83.57,111,4.83,121,5.26,342,14.87,2158,93.83,125,5.43,36,1.57,108,4.7,226,9.83,4,0.17,20,0.87,-,-,17,4.25,3,0.5,1,0.17,36,6,-,-,1,0.17
Kagawa,5018,109.09,123,4.56,191,7.07,891,33,4224,156.44,169,6.26,52,1.93,222,8.22,373,13.81,38,1.41,32,1.19,3,0.75,17,4.25,2,0.5,3,0.75,45,11.25,1,0.25,3,0.75
Ehime,8120,133.11,109,2.95,149,4.03,2262,61.14,4669,126.19,179,4.84,69,1.86,353,9.54,556,15.03,13,0.35,223,6.03,2,0.25,224,28,1,0.17,1,0.17,28,4.67,-,-,6,1
Kochi,7096,150.98,174,6,128,4.41,1208,41.66,1624,56,118,4.07,204,7.03,211,7.28,258,8.9,26,0.9,63,2.17,-,-,8,2.67,2,0.25,1,0.13,70,8.75,-,-,6,0.75
Fukuoka,24821,125.99,623,5.24,1185,9.96,12049,101.25,13571,114.04,1516,12.74,713,5.99,1062,8.92,1849,15.54,332,2.79,322,2.71,1,0.04,180,7.2,10,0.67,13,0.87,87,5.8,-,-,2,0.13
Saga,4816,123.49,75,3.26,375,16.3,1470,63.91,1719,74.74,196,8.52,228,9.91,299,13,380,16.52,71,3.09,15,0.65,-,-,12,4,6,1,4,0.67,22,3.67,-,-,1,0.17
Nagasaki,9860,140.86,86,1.95,491,11.16,2803,63.7,3672,83.45,385,8.75,208,4.73,448,10.18,478,10.86,378,8.59,46,1.05,2,0.25,38,4.75,3,0.25,1,0.08,78,6.5,-,-,3,0.25
Kumamoto,6617,82.71,158,3.16,494,9.88,1986,39.72,4307,86.14,452,9.04,467,9.34,783,15.66,859,17.18,141,2.82,82,1.64,-,-,189,23.63,3,0.2,5,0.33,38,2.53,1,0.07,4,0.27
Oita,6906,119.07,121,3.36,211,5.86,1414,39.28,5652,157,323,8.97,132,3.67,535,14.86,542,15.06,40,1.11,76,2.11,1,0.2,43,8.6,-,-,1,0.09,68,6.18,-,-,-,-
Miyazaki,8216,141.66,52,1.49,543,15.51,2588,73.94,6219,177.69,313,8.94,133,3.8,429,12.26,719,20.54,46,1.31,62,1.77,-,-,72,12,4,0.57,-,-,6,0.86,-,-,3,0.43
Kagoshima,11144,122.46,287,5.42,1310,24.72,2815,53.11,7990,150.75,412,7.77,423,7.98,462,8.72,687,12.96,348,6.57,114,2.15,1,0.14,96,13.71,5,0.42,1,0.08,16,1.33,-,-,7,0.58
Okinawa,8160,143.16,28,0.85,279,8.45,1577,47.79,1617,49,386,11.7,92,2.79,34,1.03,270,8.18,166,5.03,51,1.55,-,-,138,15.33,16,2.29,19,2.71,40,5.71,2,0.29,44,6.29
