"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42nd week, 2021",,,,,,"Data collected as of October 27, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shizuoka,11,0.08,7393,84.01,720,8.18,1331,15.13,8679,98.63,332,3.77,119,1.35,53,0.6,1295,14.72,288,3.27,221,2.51,-,-,77,3.5,15,1.5,21,2.1,6,0.6,-,-,-,-
Aichi,32,0.16,8823,48.48,812,4.46,3418,18.78,15859,87.14,449,2.47,211,1.16,52,0.29,1958,10.76,1755,9.64,259,1.42,6,0.17,158,4.51,9,0.6,29,1.93,2,0.13,1,0.07,2,0.13
Mie,24,0.35,5024,114.18,330,7.5,494,11.23,5235,118.98,163,3.7,71,1.61,18,0.41,658,14.95,711,16.16,55,1.25,-,-,16,1.45,2,0.22,3,0.33,26,2.89,-,-,1,0.11
Shiga,27,0.46,1449,41.4,172,4.91,793,22.66,2773,79.23,143,4.09,274,7.83,15,0.43,440,12.57,788,22.51,69,1.97,-,-,13,1.63,12,1.71,5,0.71,4,0.57,-,-,-,-
Kyoto,66,0.53,3521,46.33,537,7.07,1679,22.09,6993,92.01,275,3.62,590,7.76,22,0.29,798,10.5,701,9.22,112,1.47,-,-,61,3.59,2,0.29,4,0.57,3,0.43,2,0.29,-,-
Osaka,73,0.24,15671,79.95,1906,9.72,4108,20.96,23979,122.34,770,3.93,2700,13.78,99,0.51,2757,14.07,1255,6.4,420,2.14,12,0.23,234,4.5,10,0.63,11,0.69,4,0.25,-,-,4,0.25
Hyogo,29,0.15,10597,82.79,1144,8.94,2043,15.96,18976,148.25,421,3.29,2055,16.05,65,0.51,1784,13.94,989,7.73,271,2.12,1,0.03,269,7.69,11,0.79,36,2.57,10,0.71,1,0.07,6,0.43
Nara,1,0.02,3009,88.5,441,12.97,456,13.41,3863,113.62,86,2.53,250,7.35,13,0.38,528,15.53,135,3.97,39,1.15,1,0.1,84,8.4,9,1.5,4,0.67,4,0.67,-,-,3,0.5
Wakayama,1,0.02,2938,97.93,190,6.33,634,21.13,3190,106.33,97,3.23,45,1.5,13,0.43,416,13.87,122,4.07,45,1.5,-,-,23,5.75,17,1.55,11,1,14,1.27,-,-,1,0.09
Tottori,5,0.17,1392,73.26,270,14.21,2099,110.47,3059,161,105,5.53,54,2.84,10,0.53,284,14.95,308,16.21,20,1.05,1,0.2,21,4.2,6,1.2,4,0.8,1,0.2,-,-,-,-
Shimane,14,0.37,1599,69.52,175,7.61,304,13.22,4184,181.91,139,6.04,130,5.65,4,0.17,517,22.48,318,13.83,13,0.57,-,-,11,3.67,13,1.63,9,1.13,5,0.63,-,-,-,-
Okayama,40,0.48,2087,38.65,322,5.96,592,10.96,7779,144.06,185,3.43,946,17.52,25,0.46,700,12.96,896,16.59,113,2.09,2,0.17,36,3,5,1,2,0.4,5,1,-,-,1,0.2
Hiroshima,19,0.17,4182,58.9,821,11.56,975,13.73,11988,168.85,247,3.48,459,6.46,36,0.51,981,13.82,1003,14.13,159,2.24,6,0.32,228,12,8,0.4,3,0.15,11,0.55,1,0.05,4,0.2
Yamaguchi,11,0.17,5900,131.11,263,5.84,1331,29.58,5545,123.22,148,3.29,1306,29.02,31,0.69,935,20.78,536,11.91,87,1.93,-,-,41,4.56,1,0.11,4,0.44,30,3.33,-,-,-,-
Tokushima,3,0.08,2911,126.57,208,9.04,234,10.17,3229,140.39,107,4.65,20,0.87,6,0.26,413,17.96,371,16.13,23,1,-,-,12,3,1,0.14,3,0.43,5,0.71,-,-,-,-
Kagawa,2,0.04,2152,76.86,336,12,549,19.61,5911,211.11,119,4.25,244,8.71,18,0.64,496,17.71,1056,37.71,76,2.71,2,0.4,17,3.4,2,0.4,4,0.8,1,0.2,-,-,-,-
Ehime,8,0.13,3149,87.47,303,8.42,1035,28.75,9477,263.25,131,3.64,686,19.06,23,0.64,846,23.5,586,16.28,90,2.5,1,0.13,247,30.88,3,0.5,4,0.67,1,0.17,-,-,2,0.33
Kochi,4,0.09,3208,114.57,220,7.86,383,13.68,3956,141.29,132,4.71,1045,37.32,35,1.25,389,13.89,1043,37.25,28,1,-,-,18,6,5,0.63,2,0.25,9,1.13,-,-,4,0.5
Fukuoka,5,0.03,12618,105.15,2185,18.21,9134,76.12,19940,166.17,726,6.05,8419,70.16,87,0.73,2992,24.93,1653,13.78,370,3.08,11,0.42,254,9.77,12,0.86,27,1.93,10,0.71,-,-,-,-
Saga,1,0.03,2215,96.3,426,18.52,798,34.7,1430,62.17,113,4.91,937,40.74,8,0.35,727,31.61,231,10.04,30,1.3,-,-,16,4,6,1,6,1,6,1,-,-,-,-
Nagasaki,8,0.12,3135,72.91,525,12.21,2769,64.4,3062,71.21,302,7.02,858,19.95,32,0.74,718,16.7,163,3.79,115,2.67,-,-,28,3.5,8,0.67,18,1.5,39,3.25,-,-,1,0.08
Kumamoto,3,0.04,3858,77.16,545,10.9,746,14.92,5964,119.28,244,4.88,4625,92.5,65,1.3,1391,27.82,524,10.48,92,1.84,-,-,190,21.11,1,0.07,11,0.73,3,0.2,-,-,1,0.07
Oita,2,0.03,2821,78.36,378,10.5,548,15.22,8513,236.47,334,9.28,2477,68.81,21,0.58,842,23.39,684,19,97,2.69,2,0.4,57,11.4,-,-,1,0.09,40,3.64,-,-,-,-
Miyazaki,3,0.05,3900,108.33,622,17.28,1802,50.06,8749,243.03,201,5.58,1954,54.28,27,0.75,1015,28.19,1022,28.39,96,2.67,-,-,148,24.67,-,-,2,0.29,-,-,-,-,-,-
Kagoshima,11,0.12,3384,62.67,1551,28.72,1660,30.74,10634,196.93,372,6.89,2803,51.91,39,0.72,905,16.76,488,9.04,147,2.72,-,-,106,15.14,3,0.25,4,0.33,1,0.08,-,-,1,0.08
Okinawa,16,0.28,1153,34.94,579,17.55,1182,35.82,2074,62.85,255,7.73,129,3.91,5,0.15,405,12.27,134,4.06,90,2.73,1,0.11,215,23.89,20,2.86,13,1.86,4,0.57,-,-,1,0.14
