"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43rd week, 2020",,,,,,"Data collected as of October 28, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shizuoka,15956,114.79,264,2.97,657,7.38,4436,49.84,9137,102.66,534,6,247,2.78,346,3.89,1329,14.93,277,3.11,211,2.37,1,0.05,240,10.91,10,1,20,2,74,7.4,1,0.1,-,-
Aichi,31892,163.55,596,3.27,1068,5.87,7846,43.11,16293,89.52,863,4.74,494,2.71,816,4.48,2166,11.9,199,1.09,288,1.58,5,0.14,137,3.91,17,1.13,30,2,164,10.93,1,0.07,7,0.47
Mie,8493,119.62,291,6.61,510,11.59,1741,39.57,4708,107,320,7.27,99,2.25,461,10.48,808,18.36,58,1.32,58,1.32,-,-,26,2.36,12,1.33,11,1.22,65,7.22,-,-,1,0.11
Shiga,7144,125.33,80,2.35,167,4.91,1162,34.18,2996,88.12,165,4.85,128,3.76,154,4.53,431,12.68,224,6.59,51,1.5,1,0.13,7,0.88,13,1.86,6,0.86,39,5.57,-,-,2,0.29
Kyoto,15020,120.16,174,2.29,427,5.62,3288,43.26,5659,74.46,389,5.12,260,3.42,293,3.86,940,12.37,289,3.8,89,1.17,-,-,90,5.29,2,0.33,8,1.33,85,14.17,-,-,-,-
Osaka,42898,143.47,1060,5.41,1617,8.25,8251,42.1,19564,99.82,1333,6.8,579,2.95,733,3.74,3174,16.19,1157,5.9,462,2.36,9,0.18,290,5.69,10,0.63,15,0.94,92,5.75,1,0.06,3,0.19
Hyogo,24345,122.95,605,4.73,942,7.36,3612,28.22,15473,120.88,840,6.56,368,2.88,571,4.46,1836,14.34,609,4.76,245,1.91,7,0.2,414,11.83,38,2.71,26,1.86,124,8.86,1,0.07,7,0.5
Nara,5928,107.78,174,5.12,236,6.94,1236,36.35,3293,96.85,211,6.21,156,4.59,277,8.15,554,16.29,258,7.59,30,0.88,2,0.2,72,7.2,6,1,5,0.83,29,4.83,1,0.17,9,1.5
Wakayama,4324,88.24,315,10.86,230,7.93,881,30.38,2288,78.9,171,5.9,39,1.34,219,7.55,445,15.34,50,1.72,33,1.14,5,1.25,16,4,15,1.36,9,0.82,109,9.91,2,0.18,1,0.09
Tottori,3159,108.93,50,2.63,278,14.63,2649,139.42,2640,138.95,198,10.42,82,4.32,316,16.63,304,16,210,11.05,22,1.16,-,-,52,10.4,3,0.6,3,0.6,29,5.8,-,-,1,0.2
