"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"52nd week, 2020",,,,,,"Data collected as of January 5, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,563418,114.21,17821,5.65,34656,10.99,199144,63.16,415523,131.79,31458,9.98,18242,5.79,18226,5.78,64976,20.61,25171,7.98,8024,2.54,182,0.26,9015,12.99,403,0.84,454,0.95,3504,7.33,57,0.12,243,0.51
Hokkaido,27011,122.22,933,6.76,2011,14.57,10489,76.01,6448,46.72,1324,9.59,240,1.74,1450,10.51,1829,13.25,287,2.08,201,1.46,9,0.32,473,16.89,9,0.41,9,0.41,222,10.09,1,0.05,30,1.36
Aomori,5304,82.88,190,4.52,370,8.81,1744,41.52,5041,120.02,334,7.95,311,7.4,376,8.95,759,18.07,44,1.05,54,1.29,1,0.09,114,10.36,3,0.5,2,0.33,61,10.17,-,-,2,0.33
Iwate,9109,140.14,446,11.15,399,9.98,4269,106.73,5560,139,428,10.7,362,9.05,224,5.6,1009,25.23,61,1.53,104,2.6,-,-,194,13.86,5,0.26,3,0.16,86,4.53,-,-,6,0.32
Miyagi,7749,82.44,432,7.45,580,10,3824,65.93,6242,107.62,585,10.09,391,6.74,178,3.07,1458,25.14,66,1.14,135,2.33,3,0.25,83,6.92,4,0.33,1,0.08,231,19.25,1,0.08,2,0.17
Akita,7134,134.6,58,1.71,218,6.41,1092,32.12,2768,81.41,287,8.44,288,8.47,98,2.88,399,11.74,36,1.06,48,1.41,4,0.67,41,6.83,1,0.13,-,-,28,3.5,1,0.13,2,0.25
Yamagata,4164,92.53,133,4.59,595,20.52,3630,125.17,5174,178.41,363,12.52,106,3.66,239,8.24,833,28.72,823,28.38,42,1.45,1,0.14,75,10.71,6,0.6,-,-,31,3.1,1,0.1,1,0.1
Fukushima,10250,123.49,356,7.12,703,14.06,4120,82.4,4851,97.02,595,11.9,265,5.3,624,12.48,1549,30.98,298,5.96,118,2.36,-,-,286,22,7,1.17,4,0.67,38,6.33,-,-,3,0.5
Ibaraki,11756,97.97,186,2.48,792,10.56,4410,58.8,8328,111.04,737,9.83,234,3.12,269,3.59,964,12.85,173,2.31,136,1.81,2,0.12,501,29.47,-,-,8,0.67,133,11.08,-,-,5,0.42
