"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"34th week, 2016",,,,,,"Data collected as of August 31, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1583248,320.56,31744,10.06,48081,15.24,263916,83.68,606479,192.29,41892,13.28,25060,7.95,44507,14.11,51204,16.23,1978,0.63,96654,30.64,101789,32.27,268,0.39,16136,23.39,312,0.66,864,1.82,9955,21,239,0.5,5014,10.58
Hokkaido,83463,370.95,1683,11.85,2212,15.58,20714,145.87,14428,101.61,2191,15.43,553,3.89,2936,20.68,1433,10.09,59,0.42,2975,20.95,6703,47.2,-,-,334,11.93,7,0.32,25,1.14,683,31.05,5,0.23,370,16.82
Aomori,17490,269.08,225,5.36,528,12.57,2213,52.69,5170,123.1,380,9.05,109,2.6,494,11.76,608,14.48,5,0.12,306,7.29,814,19.38,3,0.27,169,15.36,10,1.67,13,2.17,146,24.33,-,-,108,18
Iwate,21213,331.45,239,5.98,424,10.6,4901,122.53,7933,198.33,443,11.08,79,1.98,237,5.93,562,14.05,8,0.2,421,10.53,665,16.63,4,0.29,248,17.71,5,0.26,5,0.26,258,13.58,1,0.05,164,8.63
Miyagi,28057,295.34,386,6.54,654,11.08,7219,122.36,11581,196.29,1030,17.46,749,12.69,300,5.08,1095,18.56,19,0.32,1984,33.63,777,13.17,-,-,86,7.17,8,0.67,-,-,253,21.08,-,-,14,1.17
Akita,14324,265.26,74,2.11,277,7.91,1738,49.66,4238,121.09,325,9.29,148,4.23,1481,42.31,334,9.54,131,3.74,279,7.97,184,5.26,1,0.14,74,10.57,-,-,1,0.13,132,16.5,-,-,139,17.38
Yamagata,13930,296.38,131,4.52,612,21.1,5187,178.86,6499,224.1,371,12.79,162,5.59,1438,49.59,669,23.07,14,0.48,1585,54.66,2109,72.72,-,-,48,6,3,0.3,8,0.8,83,8.3,4,0.4,18,1.8
Fukushima,23129,300.38,479,10.41,896,19.48,2856,62.09,5927,128.85,700,15.22,150,3.26,907,19.72,998,21.7,18,0.39,1353,29.41,310,6.74,-,-,342,28.5,6,0.86,8,1.14,91,13,7,1,60,8.57
Ibaraki,33122,276.02,261,3.48,817,10.89,4828,64.37,13720,182.93,974,12.99,774,10.32,691,9.21,779,10.39,20,0.27,1732,23.09,2358,31.44,2,0.12,657,38.65,2,0.15,9,0.69,201,15.46,-,-,35,2.69
Tochigi,18806,250.75,154,3.21,325,6.77,2915,60.73,4464,93,480,10,456,9.5,1190,24.79,847,17.65,11,0.23,1688,35.17,1009,21.02,4,0.33,312,26,5,0.71,18,2.57,123,17.57,4,0.57,34,4.86
Gunma,27278,290.19,287,5.04,644,11.3,5685,99.74,9896,173.61,688,12.07,122,2.14,1028,18.04,951,16.68,93,1.63,1865,32.72,959,16.82,2,0.14,350,25,3,0.38,3,0.38,271,33.88,1,0.13,69,8.63
Saitama,84816,340.63,820,5.19,2338,14.8,15361,97.22,32277,204.28,3047,19.28,1352,8.56,1706,10.8,2938,18.59,54,0.34,6276,39.72,6202,39.25,34,0.85,817,20.43,4,0.4,19,1.9,191,19.1,17,1.7,43,4.3
Chiba,70886,334.37,614,4.58,1636,12.21,14850,110.82,23337,174.16,2108,15.73,2244,16.75,1766,13.18,2160,16.12,76,0.57,4339,32.38,4763,35.54,15,0.45,803,24.33,14,1.56,46,5.11,171,19,2,0.22,29,3.22
Tokyo,109156,265.59,1700,6.59,3572,13.84,22801,88.38,53496,207.35,3575,13.86,2454,9.51,1964,7.61,4819,18.68,102,0.4,10082,39.08,5315,20.6,9,0.24,797,20.97,27,1.08,45,1.8,476,19.04,27,1.08,90,3.6
Kanagawa,100356,299.57,1028,4.87,2603,12.34,14941,70.81,39688,188.09,3401,16.12,1637,7.76,1167,5.53,3693,17.5,64,0.3,8263,39.16,6215,29.45,37,0.76,2733,55.78,6,0.6,27,2.7,123,12.3,1,0.1,64,6.4
Niigata,35837,389.53,645,11.12,1568,27.03,5920,102.07,12541,216.22,772,13.31,264,4.55,594,10.24,984,16.97,93,1.6,3050,52.59,3021,52.09,14,1.4,236,23.6,6,0.46,8,0.62,127,9.77,58,4.46,55,4.23
Toyama,14106,300.13,140,5,506,18.07,2817,100.61,5326,190.21,385,13.75,112,4,623,22.25,443,15.82,8,0.29,861,30.75,1297,46.32,1,0.14,24,3.43,-,-,3,0.6,146,29.2,1,0.2,24,4.8
Ishikawa,16555,344.9,71,2.45,912,31.45,2464,84.97,4258,146.83,228,7.86,142,4.9,460,15.86,418,14.41,-,-,679,23.41,1871,64.52,-,-,58,8.29,5,1,12,2.4,175,35,-,-,29,5.8
Fukui,12538,391.81,110,5,744,33.82,1947,88.5,4849,220.41,288,13.09,67,3.05,603,27.41,351,15.95,22,1,636,28.91,286,13,1,0.33,14,4.67,4,0.67,7,1.17,92,15.33,3,0.5,34,5.67
Yamanashi,13234,330.85,105,4.38,295,12.29,2100,87.5,3628,151.17,233,9.71,203,8.46,498,20.75,252,10.5,22,0.92,828,34.5,203,8.46,3,0.33,90,10,4,0.4,15,1.5,93,9.3,3,0.3,27,2.7
Nagano,33245,386.57,392,7.4,382,7.21,4750,89.62,10818,204.11,600,11.32,308,5.81,1070,20.19,707,13.34,88,1.66,1603,30.25,1795,33.87,1,0.09,170,15.45,3,0.27,4,0.36,217,19.73,-,-,122,11.09
Gifu,31133,362.01,235,4.52,490,9.42,2404,46.23,6196,119.15,326,6.27,397,7.63,327,6.29,541,10.4,29,0.56,852,16.38,704,13.54,2,0.18,89,8.09,1,0.2,15,3,265,53,-,-,76,15.2
Shizuoka,43460,312.66,606,6.81,1196,13.44,11034,123.98,15770,177.19,1003,11.27,438,4.92,733,8.24,1258,14.13,33,0.37,3183,35.76,2516,28.27,6,0.29,281,13.38,5,0.5,20,2,343,34.3,38,3.8,22,2.2
Aichi,85338,437.63,1238,6.84,1893,10.46,12295,67.93,27798,153.58,1824,10.08,756,4.18,2502,13.82,2307,12.75,76,0.42,4513,24.93,3353,18.52,9,0.26,664,19.53,17,1.21,39,2.79,393,28.07,3,0.21,359,25.64
Mie,23440,325.56,521,11.58,818,18.18,2257,50.16,9221,204.91,437,9.71,174,3.87,1197,26.6,756,16.8,26,0.58,2123,47.18,421,9.36,7,0.58,65,5.42,9,1,23,2.56,151,16.78,16,1.78,21,2.33
