"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24th week, 2022",,,,,,"Data collected as of June 22, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Aichi,37,0.19,1696,9.32,390,2.14,1327,7.29,17113,94.03,205,1.13,221,1.21,29,0.16,913,5.02,56,0.31,104,0.57,1,0.03,70,2,9,0.6,9,0.6,-,-,-,-,1,0.07
Mie,6,0.09,147,3.34,212,4.82,221,5.02,5096,115.82,85,1.93,139,3.16,8,0.18,303,6.89,21,0.48,8,0.18,1,0.08,9,0.75,3,0.33,6,0.67,1,0.11,-,-,-,-
Shiga,11,0.18,77,2.14,92,2.56,238,6.61,3064,85.11,96,2.67,82,2.28,3,0.08,247,6.86,31,0.86,22,0.61,-,-,8,1,3,0.43,1,0.14,1,0.14,-,-,-,-
Kyoto,31,0.25,171,2.28,414,5.52,395,5.27,5600,74.67,84,1.12,171,2.28,23,0.31,317,4.23,49,0.65,33,0.44,-,-,30,1.67,2,0.33,2,0.33,-,-,2,0.33,1,0.17
Osaka,49,0.16,1127,5.75,1141,5.82,1283,6.55,18509,94.43,302,1.54,302,1.54,52,0.27,1280,6.53,92,0.47,135,0.69,7,0.14,104,2.04,-,-,6,0.38,-,-,-,-,2,0.13
Hyogo,14,0.07,307,2.42,477,3.76,702,5.53,16268,128.09,181,1.43,262,2.06,50,0.39,818,6.44,40,0.31,87,0.69,-,-,133,3.8,5,0.36,13,0.93,-,-,-,-,2,0.14
Nara,-,-,104,3.06,112,3.29,116,3.41,3331,97.97,38,1.12,79,2.32,2,0.06,227,6.68,13,0.38,16,0.47,-,-,41,4.1,-,-,2,0.33,1,0.17,-,-,-,-
Wakayama,1,0.02,22,0.73,130,4.33,159,5.3,2471,82.37,51,1.7,72,2.4,3,0.1,219,7.3,14,0.47,18,0.6,-,-,20,5,2,0.18,6,0.55,15,1.36,-,-,1,0.09
Tottori,2,0.07,29,1.53,131,6.89,885,46.58,1935,101.84,19,1,284,14.95,5,0.26,149,7.84,34,1.79,3,0.16,-,-,17,3.4,3,0.6,5,1,-,-,-,-,-,-
Shimane,-,-,315,13.7,93,4.04,131,5.7,2600,113.04,57,2.48,441,19.17,3,0.13,250,10.87,23,1,11,0.48,-,-,1,0.33,6,0.75,5,0.63,-,-,-,-,1,0.13
Okayama,37,0.44,130,2.41,173,3.2,179,3.31,6261,115.94,106,1.96,125,2.31,15,0.28,345,6.39,15,0.28,54,1,3,0.25,10,0.83,5,1,1,0.2,3,0.6,-,-,-,-
Hiroshima,11,0.1,450,6.34,450,6.34,294,4.14,8046,113.32,94,1.32,639,9,14,0.2,430,6.06,95,1.34,41,0.58,3,0.16,106,5.58,2,0.1,1,0.05,2,0.1,-,-,2,0.1
