"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32nd week, 2021",,,,,,"Data collected as of August 18, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Yamanashi,-,-,591,24.63,35,1.46,203,8.46,1474,61.42,42,1.75,15,0.63,17,0.71,179,7.46,12,0.5,24,1,-,-,37,4.11,2,0.2,3,0.3,4,0.4,-,-,-,-
Nagano,7,0.08,698,13.17,189,3.57,771,14.55,5192,97.96,210,3.96,46,0.87,28,0.53,606,11.43,137,2.58,68,1.28,1,0.09,21,1.91,6,0.6,4,0.4,5,0.5,-,-,1,0.1
Gifu,26,0.3,2980,57.31,291,5.6,720,13.85,2387,45.9,68,1.31,47,0.9,20,0.38,425,8.17,349,6.71,30,0.58,1,0.09,24,2.18,1,0.2,-,-,4,0.8,-,-,1,0.2
Shizuoka,8,0.06,7211,81.94,613,6.97,1138,12.93,6954,79.02,284,3.23,73,0.83,45,0.51,1011,11.49,62,0.7,152,1.73,-,-,50,2.27,12,1.2,14,1.4,4,0.4,-,-,-,-
Aichi,31,0.16,8224,45.19,727,3.99,2590,14.23,13052,71.71,374,2.05,147,0.81,46,0.25,1529,8.4,361,1.98,212,1.16,4,0.11,89,2.54,6,0.4,19,1.27,1,0.07,-,-,1,0.07
Mie,22,0.32,4911,111.61,300,6.82,408,9.27,4511,102.52,129,2.93,30,0.68,14,0.32,509,11.57,392,8.91,37,0.84,-,-,13,1.18,1,0.11,2,0.22,21,2.33,-,-,1,0.11
Shiga,27,0.46,1325,37.86,157,4.49,628,17.94,2221,63.46,105,3,105,3,12,0.34,357,10.2,220,6.29,48,1.37,-,-,9,1.13,11,1.57,4,0.57,3,0.43,-,-,-,-
Kyoto,61,0.49,3161,41.59,418,5.5,1450,19.08,5594,73.61,230,3.03,105,1.38,20,0.26,605,7.96,144,1.89,91,1.2,-,-,46,2.71,1,0.14,3,0.43,3,0.43,1,0.14,-,-
Osaka,69,0.23,14435,73.65,1628,8.31,3380,17.24,19149,97.7,614,3.13,226,1.15,83,0.42,2140,10.92,302,1.54,316,1.61,6,0.12,164,3.15,6,0.38,10,0.63,4,0.25,-,-,4,0.25
Hyogo,24,0.12,9368,73.19,1002,7.83,1748,13.66,14948,116.78,329,2.57,194,1.52,51,0.4,1397,10.91,220,1.72,225,1.76,-,-,190,5.43,7,0.5,27,1.93,8,0.57,1,0.07,5,0.36
Nara,1,0.02,2809,82.62,390,11.47,397,11.68,3061,90.03,58,1.71,68,2,7,0.21,417,12.26,46,1.35,37,1.09,1,0.1,67,6.7,7,1.17,3,0.5,4,0.67,-,-,3,0.5
Wakayama,1,0.02,2769,92.3,173,5.77,559,18.63,2620,87.33,74,2.47,10,0.33,12,0.4,306,10.2,18,0.6,36,1.2,-,-,23,5.75,15,1.36,7,0.64,14,1.27,-,-,1,0.09
Tottori,5,0.17,343,18.05,228,12,1609,84.68,2535,133.42,83,4.37,36,1.89,10,0.53,229,12.05,92,4.84,15,0.79,1,0.2,17,3.4,5,1,2,0.4,1,0.2,-,-,-,-
Shimane,14,0.37,1176,51.13,162,7.04,267,11.61,3488,151.65,115,5,107,4.65,4,0.17,402,17.48,18,0.78,9,0.39,-,-,4,1.33,11,1.38,9,1.13,4,0.5,-,-,-,-
Okayama,40,0.48,1694,31.37,298,5.52,509,9.43,6610,122.41,140,2.59,111,2.06,20,0.37,528,9.78,438,8.11,94,1.74,-,-,21,1.75,3,0.6,2,0.4,5,1,-,-,1,0.2
Hiroshima,17,0.15,3174,44.7,716,10.08,847,11.93,10235,144.15,205,2.89,177,2.49,26,0.37,754,10.62,415,5.85,130,1.83,2,0.11,143,7.53,6,0.29,2,0.1,11,0.52,1,0.05,4,0.19
Yamaguchi,10,0.15,5177,115.04,232,5.16,1136,25.24,4501,100.02,106,2.36,57,1.27,28,0.62,724,16.09,62,1.38,60,1.33,-,-,36,4,-,-,3,0.33,27,3,-,-,-,-
Tokushima,3,0.08,2526,109.83,192,8.35,203,8.83,2037,88.57,79,3.43,12,0.52,4,0.17,312,13.57,325,14.13,16,0.7,-,-,11,2.75,1,0.14,2,0.29,2,0.29,-,-,-,-
Kagawa,2,0.04,1576,56.29,312,11.14,453,16.18,4849,173.18,102,3.64,70,2.5,15,0.54,386,13.79,971,34.68,66,2.36,2,0.4,15,3,-,-,4,0.8,1,0.2,-,-,-,-
Ehime,8,0.13,1923,53.42,282,7.83,895,24.86,8077,224.36,105,2.92,62,1.72,18,0.5,676,18.78,310,8.61,74,2.06,1,0.13,194,24.25,1,0.17,4,0.67,1,0.17,-,-,2,0.33
Kochi,4,0.09,2629,93.89,187,6.68,309,11.04,3646,130.21,110,3.93,389,13.89,29,1.04,321,11.46,827,29.54,23,0.82,-,-,14,4.67,3,0.38,1,0.13,8,1,-,-,3,0.38
Fukuoka,5,0.03,11525,96.04,1881,15.68,7915,65.96,15063,125.53,596,4.97,458,3.82,71,0.59,2303,19.19,224,1.87,299,2.49,8,0.31,194,7.46,11,0.79,16,1.14,9,0.64,-,-,-,-
Saga,1,0.03,1988,90.36,375,17.05,708,32.18,1075,48.86,93,4.23,54,2.45,7,0.32,566,25.73,60,2.73,20,0.91,-,-,10,2.5,6,1,2,0.33,6,1,-,-,-,-
Nagasaki,6,0.09,2913,67.74,463,10.77,2088,48.56,2381,55.37,240,5.58,91,2.12,21,0.49,565,13.14,64,1.49,73,1.7,-,-,13,1.63,8,0.67,17,1.42,35,2.92,-,-,1,0.08
Kumamoto,3,0.04,3435,68.7,473,9.46,665,13.3,4374,87.48,202,4.04,1754,35.08,53,1.06,1084,21.68,191,3.82,63,1.26,-,-,150,16.67,-,-,8,0.53,3,0.2,-,-,1,0.07
Oita,2,0.03,2792,77.56,314,8.72,473,13.14,6320,175.56,282,7.83,61,1.69,17,0.47,647,17.97,48,1.33,68,1.89,1,0.2,33,6.6,-,-,1,0.09,35,3.18,-,-,-,-
Miyazaki,1,0.02,3711,103.08,527,14.64,1539,42.75,7212,200.33,153,4.25,219,6.08,20,0.56,774,21.5,281,7.81,71,1.97,-,-,112,18.67,-,-,1,0.14,-,-,-,-,-,-
Kagoshima,6,0.07,1538,28.48,1411,26.13,1409,26.09,9143,169.31,300,5.56,648,12,34,0.63,707,13.09,210,3.89,91,1.69,-,-,80,11.43,3,0.25,4,0.33,1,0.08,-,-,1,0.08
Okinawa,14,0.25,426,12.91,511,15.48,953,28.88,1798,54.48,221,6.7,97,2.94,5,0.15,312,9.45,111,3.36,73,2.21,1,0.11,176,19.56,17,2.43,12,1.71,3,0.43,-,-,1,0.14
