"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15th week, 2020",,,,,,"Data collected as of April 15, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,562333,113.92,11478,3.64,15229,4.83,117197,37.18,202466,64.23,16164,5.13,5352,1.7,15230,4.83,13356,4.24,1028,0.33,2269,0.72,72,0.1,3898,5.62,120,0.25,135,0.28,2226,4.67,27,0.06,172,0.36
Hokkaido,26947,123.05,871,6.36,760,5.55,5918,43.2,3252,23.74,639,4.66,47,0.34,1351,9.86,350,2.55,30,0.22,55,0.4,7,0.25,279,9.96,5,0.23,5,0.23,144,6.55,1,0.05,20,0.91
Aomori,5225,80.38,168,4,102,2.43,1076,25.62,2863,68.17,133,3.17,218,5.19,290,6.9,190,4.52,3,0.07,15,0.36,-,-,48,4.36,-,-,-,-,29,4.83,-,-,1,0.17
Iwate,8997,136.32,152,3.71,101,2.46,2067,50.41,2273,55.44,174,4.24,213,5.2,192,4.68,177,4.32,7,0.17,32,0.78,-,-,76,5.43,2,0.11,-,-,27,1.42,-,-,4,0.21
Miyagi,7746,82.4,356,6.14,289,4.98,2846,49.07,3604,62.14,351,6.05,231,3.98,138,2.38,258,4.45,4,0.07,38,0.66,1,0.08,29,2.42,1,0.08,-,-,111,9.25,1,0.08,2,0.17
Akita,7118,134.3,54,1.59,62,1.82,438,12.88,1509,44.38,61,1.79,144,4.24,47,1.38,78,2.29,3,0.09,11,0.32,1,0.17,19,3.17,1,0.13,-,-,16,2,-,-,2,0.25
Yamagata,4161,92.47,124,4.28,294,10.14,2186,75.38,1772,61.1,241,8.31,14,0.48,192,6.62,194,6.69,10,0.34,11,0.38,-,-,36,5.14,2,0.2,-,-,24,2.4,1,0.1,1,0.1
Fukushima,10230,123.25,300,6,254,5.08,2138,42.76,2649,52.98,287,5.74,63,1.26,534,10.68,329,6.58,6,0.12,31,0.62,-,-,143,11,2,0.29,-,-,30,4.29,-,-,2,0.29
Ibaraki,11746,97.88,160,2.13,407,5.43,2402,32.03,4475,59.67,445,5.93,41,0.55,223,2.97,201,2.68,10,0.13,41,0.55,1,0.06,188,11.06,-,-,2,0.17,88,7.33,-,-,4,0.33
Tochigi,5932,78.05,157,3.27,74,1.54,1114,23.21,1765,36.77,217,4.52,33,0.69,131,2.73,224,4.67,2,0.04,27,0.56,-,-,36,3,-,-,-,-,38,5.43,-,-,1,0.14
Gunma,11036,129.84,108,2.04,294,5.55,1396,26.34,3014,56.87,279,5.26,63,1.19,188,3.55,248,4.68,12,0.23,40,0.75,-,-,108,7.71,2,0.22,1,0.11,72,8,1,0.11,1,0.11
Saitama,29305,115.83,522,3.28,873,5.49,6391,40.19,12516,78.72,1226,7.71,316,1.99,423,2.66,710,4.47,25,0.16,151,0.95,13,0.33,225,5.63,4,0.36,4,0.36,65,5.91,-,-,1,0.09
Chiba,24811,116.48,302,2.27,407,3.06,6824,51.31,7660,57.59,720,5.41,165,1.24,312,2.35,449,3.38,31,0.23,121,0.91,4,0.12,205,6.03,3,0.38,2,0.25,63,7.88,-,-,-,-
Tokyo,33384,82.02,523,2.04,747,2.92,9333,36.46,20346,79.48,1479,5.78,313,1.22,287,1.12,1176,4.59,151,0.59,185,0.72,2,0.05,123,3.32,5,0.21,13,0.54,118,4.92,15,0.63,2,0.08
Kanagawa,29713,84.41,484,2.15,557,2.48,8068,35.86,13932,61.92,1224,5.44,240,1.07,292,1.3,836,3.72,27,0.12,169,0.75,2,0.04,503,10.06,4,0.36,3,0.27,40,3.64,-,-,2,0.18
Niigata,9880,109.78,372,6.53,594,10.42,4786,83.96,2625,46.05,434,7.61,83,1.46,118,2.07,271,4.75,13,0.23,35,0.61,13,1.3,59,5.9,3,0.23,3,0.23,52,4,-,-,1,0.08
Toyama,3550,73.96,67,2.31,223,7.69,2440,84.14,2564,88.41,180,6.21,75,2.59,210,7.24,119,4.1,29,1,10,0.34,-,-,14,2.33,-,-,4,0.8,35,7,-,-,2,0.4
Ishikawa,6189,128.94,103,3.55,130,4.48,2809,96.86,2687,92.66,351,12.1,48,1.66,209,7.21,104,3.59,3,0.1,14,0.48,-,-,8,1.14,-,-,3,0.6,37,7.4,-,-,-,-
Fukui,4973,134.41,87,3.78,219,9.52,1042,45.3,2230,96.96,67,2.91,16,0.7,335,14.57,77,3.35,13,0.57,4,0.17,-,-,5,1.67,1,0.17,5,0.83,9,1.5,-,-,-,-
Yamanashi,4327,105.54,41,1.71,39,1.63,532,22.17,1152,48,95,3.96,6,0.25,76,3.17,52,2.17,3,0.13,7,0.29,-,-,98,10.89,2,0.2,1,0.1,34,3.4,-,-,-,-
