"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21st week, 2022",,,,,,"Data collected as of June 1, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,527,0.11,14145,4.5,9139,2.91,20353,6.48,292625,93.16,4868,1.55,9781,3.11,853,0.27,19517,6.21,1791,0.57,1771,0.56,59,0.09,2176,3.14,120,0.25,139,0.29,125,0.26,16,0.03,61,0.13
Hokkaido,15,0.07,1130,8.19,523,3.79,1414,10.25,4792,34.72,266,1.93,70,0.51,14,0.1,443,3.21,21,0.15,47,0.34,5,0.18,41,1.46,4,0.18,-,-,10,0.45,1,0.05,6,0.27
Aomori,1,0.02,2,0.05,69,1.68,98,2.39,2783,67.88,58,1.41,114,2.78,10,0.24,246,6,2,0.05,22,0.54,-,-,15,1.36,1,0.17,1,0.17,20,3.33,-,-,1,0.17
Iwate,2,0.03,386,9.9,118,3.03,450,11.54,3135,80.38,94,2.41,28,0.72,22,0.56,320,8.21,36,0.92,24,0.62,-,-,42,3,3,0.16,2,0.11,3,0.16,-,-,2,0.11
Miyagi,14,0.15,92,1.61,102,1.79,332,5.82,5866,102.91,116,2.04,85,1.49,22,0.39,465,8.16,63,1.11,28,0.49,1,0.08,36,3,3,0.25,-,-,3,0.25,-,-,1,0.08
Akita,2,0.04,94,2.76,65,1.91,249,7.32,1685,49.56,115,3.38,6,0.18,1,0.03,109,3.21,3,0.09,3,0.09,2,0.29,8,1.14,2,0.25,-,-,1,0.13,-,-,1,0.13
Yamagata,4,0.09,3,0.1,172,5.93,257,8.86,4390,151.38,49,1.69,29,1,7,0.24,244,8.41,32,1.1,9,0.31,-,-,45,5.63,-,-,-,-,-,-,-,-,1,0.1
Fukushima,7,0.08,99,1.98,250,5,293,5.86,4453,89.06,115,2.3,118,2.36,30,0.6,498,9.96,27,0.54,22,0.44,-,-,51,3.92,1,0.14,3,0.43,1,0.14,-,-,1,0.14
Ibaraki,16,0.13,59,0.79,143,1.91,443,5.91,5688,75.84,97,1.29,119,1.59,19,0.25,248,3.31,20,0.27,46,0.61,-,-,117,6.88,1,0.08,1,0.08,18,1.5,-,-,-,-
Tochigi,8,0.11,162,3.38,55,1.15,301,6.27,2360,49.17,36,0.75,250,5.21,14,0.29,368,7.67,19,0.4,23,0.48,-,-,47,3.92,4,0.57,2,0.29,-,-,-,-,1,0.14
Gunma,3,0.03,68,1.26,118,2.19,185,3.43,6119,113.31,87,1.61,205,3.8,21,0.39,383,7.09,31,0.57,43,0.8,1,0.08,54,4.15,1,0.11,-,-,-,-,-,-,-,-
Saitama,21,0.08,114,0.72,278,1.76,433,2.74,17099,108.22,274,1.73,265,1.68,58,0.37,1031,6.53,53,0.34,114,0.72,10,0.26,123,3.15,1,0.09,12,1.09,1,0.09,-,-,-,-
Chiba,24,0.12,34,0.27,189,1.48,667,5.21,12026,93.95,199,1.55,179,1.4,27,0.21,797,6.23,44,0.34,101,0.79,2,0.06,77,2.41,6,0.67,3,0.33,3,0.33,-,-,-,-
Tokyo,26,0.06,160,0.63,310,1.22,728,2.85,27660,108.47,325,1.27,475,1.86,75,0.29,1600,6.27,92,0.36,181,0.71,-,-,111,3,6,0.24,6,0.24,2,0.08,12,0.48,4,0.16
Kanagawa,30,0.09,142,0.64,233,1.05,836,3.78,18725,84.73,289,1.31,409,1.85,61,0.28,1241,5.62,88,0.4,143,0.65,3,0.06,275,5.5,1,0.09,10,0.91,5,0.45,1,0.09,3,0.27
Niigata,7,0.08,22,0.39,355,6.23,1217,21.35,2881,50.54,110,1.93,379,6.65,15,0.26,406,7.12,166,2.91,53,0.93,7,0.7,18,1.8,3,0.25,2,0.17,3,0.25,-,-,1,0.08
Toyama,1,0.02,636,21.93,210,7.24,286,9.86,3914,134.97,53,1.83,160,5.52,7,0.24,149,5.14,80,2.76,7,0.24,-,-,13,1.86,2,0.4,-,-,1,0.2,-,-,-,-
Ishikawa,5,0.1,43,1.48,191,6.59,187,6.45,3708,127.86,82,2.83,52,1.79,8,0.28,173,5.97,15,0.52,8,0.28,-,-,9,1.29,3,0.6,3,0.6,4,0.8,-,-,1,0.2
Fukui,1,0.03,229,9.96,128,5.57,182,7.91,2796,121.57,29,1.26,721,31.35,33,1.43,130,5.65,114,4.96,13,0.57,-,-,5,1.67,3,0.5,1,0.17,4,0.67,-,-,-,-
Yamanashi,2,0.05,13,0.54,4,0.17,25,1.04,1619,67.46,35,1.46,30,1.25,3,0.13,91,3.79,1,0.04,11,0.46,-,-,15,1.67,-,-,1,0.1,1,0.1,-,-,1,0.1
Nagano,25,0.29,63,1.17,59,1.09,172,3.19,4903,90.8,100,1.85,97,1.8,13,0.24,274,5.07,58,1.07,26,0.48,-,-,17,1.55,2,0.18,4,0.36,-,-,-,-,3,0.27
Gifu,15,0.17,436,8.38,169,3.25,155,2.98,3481,66.94,46,0.88,64,1.23,1,0.02,203,3.9,9,0.17,13,0.25,-,-,9,0.82,-,-,1,0.2,1,0.2,-,-,-,-
Shizuoka,14,0.1,204,2.29,245,2.75,316,3.55,9063,101.83,104,1.17,124,1.39,45,0.51,545,6.12,37,0.42,64,0.72,1,0.05,60,2.73,8,0.8,9,0.9,4,0.4,-,-,-,-
Aichi,36,0.18,1064,5.85,263,1.45,1150,6.32,14390,79.07,174,0.96,180,0.99,26,0.14,743,4.08,47,0.26,80,0.44,1,0.03,63,1.8,8,0.53,6,0.4,-,-,-,-,1,0.07
