"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22nd week, 2019",,,,,,"Data collected as of June 5, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shizuoka,40645,292.41,465,5.22,432,4.85,3374,37.91,12607,141.65,371,4.17,212,2.38,1222,13.73,560,6.29,63,0.71,203,2.28,-,-,249,11.32,4,0.4,15,1.5,19,1.9,1,0.1,19,1.9
Aichi,72949,374.1,1321,7.26,1085,5.96,6478,35.59,20051,110.17,839,4.61,287,1.58,1606,8.82,1131,6.21,98,0.54,256,1.41,4,0.11,248,7.09,6,0.4,12,0.8,65,4.33,1,0.07,363,24.2
Mie,17380,241.39,672,14.93,348,7.73,1875,41.67,5954,132.31,232,5.16,247,5.49,260,5.78,366,8.13,34,0.76,43,0.96,-,-,11,0.92,7,0.78,18,2,35,3.89,2,0.22,80,8.89
Shiga,13884,267,158,5.1,225,7.26,1005,32.42,3583,115.58,179,5.77,114,3.68,189,6.1,167,5.39,56,1.81,39,1.26,-,-,23,2.88,4,0.57,1,0.14,3,0.43,1,0.14,33,4.71
Kyoto,32252,258.02,334,4.39,486,6.39,2361,31.07,9682,127.39,409,5.38,471,6.2,1017,13.38,451,5.93,84,1.11,87,1.14,-,-,72,4.24,3,0.43,1,0.14,27,3.86,-,-,116,16.57
Osaka,72650,241.36,3446,17.4,2020,10.2,10074,50.88,27899,140.9,1328,6.71,3947,19.93,2248,11.35,1560,7.88,528,2.67,348,1.76,11,0.21,309,5.94,13,0.81,5,0.31,36,2.25,-,-,357,22.31
Hyogo,48335,244.12,1574,12.3,1292,10.09,4450,34.77,21049,164.45,951,7.43,1177,9.2,1641,12.82,829,6.48,136,1.06,117,0.91,10,0.29,436,12.82,25,1.79,13,0.93,39,2.79,1,0.07,218,15.57
Nara,11469,208.53,398,11.71,327,9.62,1426,41.94,4819,141.74,175,5.15,351,10.32,127,3.74,249,7.32,40,1.18,30,0.88,-,-,147,14.7,3,0.5,4,0.67,32,5.33,-,-,74,12.33
Wakayama,9004,183.76,726,24.2,192,6.4,620,20.67,3399,113.3,98,3.27,160,5.33,457,15.23,217,7.23,55,1.83,30,1,13,3.25,36,9,2,0.18,7,0.64,45,4.09,1,0.09,90,8.18
Tottori,7309,252.03,157,8.26,224,11.79,1870,98.42,3124,164.42,165,8.68,555,29.21,74,3.89,154,8.11,29,1.53,18,0.95,1,0.2,91,18.2,3,0.6,2,0.4,7,1.4,-,-,16,3.2
Shimane,7426,195.42,168,7.3,195,8.48,1021,44.39,3174,138,131,5.7,410,17.83,71,3.09,237,10.3,19,0.83,28,1.22,-,-,5,1.67,1,0.13,3,0.38,14,1.75,2,0.25,22,2.75
Okayama,19599,233.32,276,5.11,404,7.48,1985,36.76,8433,156.17,277,5.13,595,11.02,230,4.26,313,5.8,128,2.37,85,1.57,2,0.17,121,10.08,3,0.6,1,0.2,7,1.4,-,-,43,8.6
Hiroshima,26415,233.76,671,9.59,811,11.59,3187,45.53,10221,146.01,353,5.04,404,5.77,407,5.81,493,7.04,88,1.26,308,4.4,3,0.17,240,13.33,5,0.25,6,0.3,31,1.55,-,-,86,4.3
