"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33rd week, 2016",,,,,,"Data collected as of August 24, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Nagano,33244,386.56,388,7.32,371,7,4676,88.23,10651,200.96,587,11.08,272,5.13,1055,19.91,687,12.96,87,1.64,1347,25.42,1729,32.62,1,0.09,153,13.91,3,0.27,4,0.36,210,19.09,-,-,122,11.09
Gifu,31131,361.99,227,4.37,473,9.1,2350,45.19,6100,117.31,320,6.15,370,7.12,322,6.19,522,10.04,28,0.54,800,15.38,666,12.81,2,0.18,77,7,1,0.2,15,3,256,51.2,-,-,76,15.2
Shizuoka,43455,312.63,587,6.6,1170,13.15,10956,123.1,15503,174.19,994,11.17,395,4.44,723,8.12,1217,13.67,33,0.37,3071,34.51,2436,27.37,6,0.29,273,13,5,0.5,19,1.9,337,33.7,35,3.5,22,2.2
Aichi,85334,437.61,1218,6.73,1850,10.22,12119,66.96,27313,150.9,1777,9.82,702,3.88,2468,13.64,2216,12.24,74,0.41,4372,24.15,3183,17.59,9,0.26,622,18.29,16,1.14,35,2.5,369,26.36,3,0.21,359,25.64
Mie,23439,325.54,491,10.91,797,17.71,2239,49.76,9084,201.87,427,9.49,167,3.71,1177,26.16,728,16.18,23,0.51,2086,46.36,406,9.02,7,0.58,63,5.25,9,1,22,2.44,148,16.44,15,1.67,21,2.33
Shiga,15397,296.1,195,6.09,356,11.13,1639,51.22,6646,207.69,529,16.53,268,8.38,203,6.34,409,12.78,8,0.25,1384,43.25,650,20.31,-,-,54,6.75,7,1,8,1.14,55,7.86,-,-,98,14
Kyoto,33846,275.17,237,3.2,694,9.38,3535,47.77,14582,197.05,771,10.42,991,13.39,721,9.74,789,10.66,15,0.2,1648,22.27,2285,30.88,2,0.12,122,7.18,-,-,12,1.71,123,17.57,1,0.14,122,17.43
Osaka,90176,293.73,2151,10.76,3285,16.43,14897,74.49,41552,207.76,2727,13.64,921,4.61,1770,8.85,3122,15.61,103,0.52,7539,37.7,7933,39.67,17,0.33,683,13.39,22,1.29,31,1.82,578,34,3,0.18,400,23.53
Hyogo,62086,313.57,1173,9.16,2058,16.08,7564,59.09,28288,221,1788,13.97,623,4.87,1453,11.35,1701,13.29,74,0.58,3604,28.16,4278,33.42,12,0.35,423,12.44,21,1.91,21,1.91,210,19.09,1,0.09,183,16.64
Nara,15259,282.57,339,9.97,503,14.79,2015,59.26,5596,164.59,327,9.62,103,3.03,743,21.85,593,17.44,9,0.26,952,28,1533,45.09,3,0.33,109,12.11,9,1.5,6,1,155,25.83,1,0.17,98,16.33
Wakayama,11507,230.14,360,11.61,410,13.23,760,24.52,3526,113.74,307,9.9,59,1.9,738,23.81,474,15.29,8,0.26,1223,39.45,898,28.97,4,1,30,7.5,1,0.09,18,1.64,91,8.27,2,0.18,94,8.55
Tottori,7794,268.76,65,3.42,483,25.42,3276,172.42,3872,203.79,154,8.11,144,7.58,542,28.53,278,14.63,14,0.74,771,40.58,216,11.37,8,2,157,39.25,4,0.8,9,1.8,111,22.2,1,0.2,134,26.8
Shimane,7689,202.34,231,10.04,978,42.52,1931,83.96,6283,273.17,187,8.13,124,5.39,500,21.74,479,20.83,5,0.22,470,20.43,600,26.09,-,-,48,16,1,0.13,29,3.63,112,14,2,0.25,236,29.5
Okayama,22413,266.82,317,5.87,537,9.94,1922,35.59,10561,195.57,483,8.94,285,5.28,612,11.33,649,12.02,11,0.2,1545,28.61,2330,43.15,4,0.33,125,10.42,5,1,9,1.8,35,7,-,-,25,5
Hiroshima,35406,310.58,773,10.89,1490,20.99,5046,71.07,15723,221.45,838,11.8,198,2.79,1624,22.87,959,13.51,70,0.99,1324,18.65,1591,22.41,7,0.39,461,25.61,6,0.29,6,0.29,245,11.67,3,0.14,381,18.14
Yamaguchi,24668,362.76,992,20.67,559,11.65,4737,98.69,9302,193.79,426,8.88,223,4.65,1170,24.38,852,17.75,25,0.52,918,19.13,995,20.73,2,0.22,135,15,4,0.44,1,0.11,184,20.44,-,-,106,11.78
Tokushima,9420,254.59,586,25.48,367,15.96,874,38,5661,246.13,198,8.61,82,3.57,218,9.48,517,22.48,17,0.74,795,34.57,637,27.7,1,0.25,20,5,1,0.14,2,0.29,33,4.71,-,-,57,8.14
