"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"50th week, 2016",,,,,,"Data collected as of December 21, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Nagano,34187,397.52,1442,27.21,482,9.09,6188,116.75,15336,289.36,917,17.3,831,15.68,1176,22.19,968,18.26,124,2.34,2784,52.53,3238,61.09,2,0.18,465,42.27,4,0.36,4,0.36,449,40.82,-,-,128,11.64
Gifu,32375,376.45,996,19.15,720,13.85,3032,58.31,9947,191.29,532,10.23,915,17.6,362,6.96,766,14.73,39,0.75,1118,21.5,1574,30.27,2,0.18,275,25,1,0.2,27,5.4,567,113.4,-,-,79,15.8
Shizuoka,45259,325.6,2292,25.75,1550,17.42,15403,173.07,27417,308.06,1333,14.98,1551,17.43,801,9,1797,20.19,40,0.45,3728,41.89,3601,40.46,8,0.38,516,24.57,6,0.67,30,3.33,578,64.22,55,6.11,22,2.44
Aichi,88313,452.89,4526,25.01,2527,13.96,16337,90.26,49688,274.52,2754,15.22,2442,13.49,2830,15.64,3383,18.69,109,0.6,5642,31.17,5099,28.17,13,0.38,1116,32.82,32,2.29,49,3.5,785,56.07,4,0.29,362,25.86
Mie,23999,333.32,1545,34.33,1073,23.84,3058,67.96,18063,401.4,650,14.44,437,9.71,1444,32.09,1101,24.47,35,0.78,2336,51.91,673,14.96,11,0.92,99,8.25,13,1.44,41,4.56,278,30.89,20,2.22,21,2.33
Shiga,15901,305.79,570,18.39,430,13.87,2126,68.58,10152,327.48,727,23.45,668,21.55,230,7.42,604,19.48,14,0.45,1565,50.48,1180,38.06,-,-,71,8.88,10,1.43,16,2.29,101,14.43,-,-,99,14.14
Kyoto,34980,284.39,1337,17.83,1357,18.09,4721,62.95,23736,316.48,1163,15.51,1825,24.33,769,10.25,1199,15.99,23,0.31,1951,26.01,3571,47.61,3,0.18,202,11.88,1,0.14,15,2.14,212,30.29,1,0.14,123,17.57
Osaka,93317,303.96,8094,40.47,4978,24.89,20924,104.62,69583,347.92,4007,20.04,2560,12.8,1985,9.93,4719,23.6,160,0.8,8541,42.71,14066,70.33,30,0.59,1410,27.65,29,1.71,57,3.35,1062,62.47,4,0.24,405,23.82
Hyogo,64277,323,3765,29.19,2897,22.46,9716,75.32,49953,387.23,2753,21.34,1437,11.14,1703,13.2,2597,20.13,100,0.78,4264,33.05,7551,58.53,15,0.44,668,19.65,29,2.42,49,4.08,484,40.33,1,0.08,199,16.58
Nara,15942,295.22,1232,36.24,736,21.65,2751,80.91,11074,325.71,523,15.38,376,11.06,846,24.88,886,26.06,14,0.41,1086,31.94,2494,73.35,4,0.44,332,36.89,17,2.83,13,2.17,304,50.67,1,0.17,99,16.5
Wakayama,11866,237.32,1055,34.03,586,18.9,941,30.35,5943,191.71,505,16.29,149,4.81,816,26.32,721,23.26,19,0.61,1343,43.32,1813,58.48,7,1.75,55,13.75,3,0.27,30,2.73,197,17.91,5,0.45,98,8.91
Tottori,7866,271.24,730,38.42,564,29.68,4389,231,6542,344.32,307,16.16,232,12.21,581,30.58,424,22.32,22,1.16,866,45.58,607,31.95,12,3,263,65.75,7,1.4,15,3,182,36.4,2,0.4,136,27.2
Shimane,7875,207.24,1017,44.22,1176,51.13,2637,114.65,9826,427.22,302,13.13,548,23.83,728,31.65,707,30.74,15,0.65,530,23.04,1088,47.3,-,-,78,26,2,0.25,41,5.13,188,23.5,2,0.25,240,30
Okayama,23215,276.37,1195,22.13,782,14.48,2692,49.85,18719,346.65,751,13.91,886,16.41,697,12.91,1010,18.7,21,0.39,1696,31.41,3007,55.69,7,0.58,200,16.67,6,1.2,18,3.6,68,13.6,1,0.2,25,5
Hiroshima,37251,326.76,2144,30.2,2100,29.58,6927,97.56,28758,405.04,1370,19.3,821,11.56,1881,26.49,1439,20.27,115,1.62,1663,23.42,2450,34.51,12,0.67,811,45.06,9,0.43,11,0.52,445,21.19,3,0.14,381,18.14
Yamaguchi,25267,371.57,2327,48.48,870,18.13,6469,134.77,16167,336.81,668,13.92,408,8.5,1473,30.69,1257,26.19,40,0.83,1393,29.02,2107,43.9,2,0.22,185,20.56,12,1.33,7,0.78,376,41.78,-,-,111,12.33
