"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27th week, 2016",,,,,,"Data collected as of July 13, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1582477,319.82,24652,7.81,38536,12.2,230477,72.98,528742,167.43,35395,11.21,10579,3.35,39479,12.5,40270,12.75,1506,0.48,30650,9.71,76124,24.11,229,0.33,12248,17.75,242,0.51,583,1.23,6923,14.61,200,0.42,4966,10.48
Hokkaido,83455,370.91,1108,7.8,1755,12.36,18502,130.3,12787,90.05,1823,12.84,192,1.35,2688,18.93,1073,7.56,45,0.32,81,0.57,5413,38.12,-,-,260,9.29,5,0.23,19,0.86,507,23.05,4,0.18,365,16.59
Aomori,17486,269.02,127,3.02,435,10.36,1861,44.31,4491,106.93,321,7.64,33,0.79,407,9.69,475,11.31,2,0.05,20,0.48,696,16.57,3,0.27,139,12.64,9,1.5,8,1.33,125,20.83,-,-,104,17.33
Iwate,21211,331.42,175,4.38,292,7.3,4267,106.68,7134,178.35,388,9.7,23,0.58,206,5.15,438,10.95,8,0.2,34,0.85,479,11.98,4,0.29,198,14.14,4,0.21,3,0.16,196,10.32,1,0.05,160,8.42
Miyagi,28048,295.24,277,4.69,542,9.19,6409,108.63,10393,176.15,862,14.61,62,1.05,267,4.53,849,14.39,9,0.15,143,2.42,626,10.61,-,-,71,5.92,6,0.5,-,-,192,16,-,-,12,1
Akita,14313,265.06,70,2,222,6.34,1419,40.54,3781,108.03,261,7.46,30,0.86,1407,40.2,238,6.8,115,3.29,16,0.46,118,3.37,1,0.14,69,9.86,-,-,-,-,97,12.13,-,-,138,17.25
Yamagata,13928,296.34,45,1.55,525,18.1,4611,159,5881,202.79,310,10.69,31,1.07,1366,47.1,516,17.79,11,0.38,31,1.07,1781,61.41,-,-,30,3.75,2,0.2,5,0.5,58,5.8,4,0.4,14,1.4
Fukushima,23124,300.31,341,7.41,760,16.52,2477,53.85,5405,117.5,573,12.46,44,0.96,752,16.35,765,16.63,15,0.33,65,1.41,255,5.54,-,-,254,21.17,4,0.57,6,0.86,62,8.86,5,0.71,55,7.86
Ibaraki,33094,275.78,209,2.79,665,8.87,4145,55.27,11995,159.93,856,11.41,246,3.28,626,8.35,637,8.49,11,0.15,333,4.44,1888,25.17,2,0.12,467,27.47,2,0.15,8,0.62,141,10.85,-,-,35,2.69
Tochigi,18801,250.68,129,2.69,263,5.48,2628,54.75,4096,85.33,402,8.38,124,2.58,958,19.96,667,13.9,10,0.21,132,2.75,772,16.08,3,0.25,242,20.17,5,0.71,9,1.29,97,13.86,4,0.57,34,4.86
Gunma,27275,290.16,190,3.33,518,9.09,4935,86.58,8685,152.37,597,10.47,52,0.91,870,15.26,766,13.44,60,1.05,321,5.63,614,10.77,1,0.07,268,19.14,2,0.25,3,0.38,172,21.5,1,0.13,68,8.5
Saitama,84797,337.84,564,3.55,1946,12.24,13463,84.67,28178,177.22,2568,16.15,490,3.08,1579,9.93,2392,15.04,43,0.27,1204,7.57,4827,30.36,32,0.8,652,16.3,3,0.3,14,1.4,137,13.7,12,1.2,43,4.3
Chiba,70869,332.72,399,2.98,1346,10.04,12636,94.3,20798,155.21,1788,13.34,591,4.41,1595,11.9,1753,13.08,48,0.36,814,6.07,4036,30.12,14,0.42,593,17.97,12,1.33,36,4,112,12.44,2,0.22,29,3.22
Tokyo,109108,264.18,1089,4.2,2880,11.12,19789,76.41,46353,178.97,3024,11.68,943,3.64,1697,6.55,3901,15.06,78,0.3,2613,10.09,3833,14.8,7,0.18,591,15.55,20,0.8,28,1.12,311,12.44,24,0.96,90,3.6
Kanagawa,100304,295.88,695,3.26,2041,9.58,12913,60.62,34906,163.88,2872,13.48,524,2.46,966,4.54,2934,13.77,51,0.24,1912,8.98,4351,20.43,32,0.65,2048,41.8,3,0.3,22,2.2,88,8.8,1,0.1,64,6.4
