"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"40th week, 2015",,,,,,"Data collected as of October 7, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1151379,233.93,49041,15.6,54135,17.22,299031,95.11,714704,227.32,54941,17.47,361010,114.83,73792,23.47,66214,21.06,1989,0.63,94983,30.21,52074,16.56,368,0.54,17693,25.75,337,0.71,821,1.72,5879,12.35,277,0.58,4011,8.43
Hokkaido,41474,183.51,2819,19.85,4228,29.77,18971,133.6,17434,122.77,2677,18.85,12493,87.98,3226,22.72,1916,13.49,67,0.47,3105,21.87,3125,22.01,7,0.26,457,16.93,4,0.18,11,0.5,269,12.23,2,0.09,390,17.73
Aomori,14800,227.69,558,13.29,463,11.02,2383,56.74,5682,135.29,550,13.1,5332,126.95,883,21.02,740,17.62,4,0.1,586,13.95,134,3.19,-,-,203,18.45,10,1.67,11,1.83,127,21.17,-,-,121,20.17
Iwate,15447,241.36,723,18.54,448,11.49,4387,112.49,8620,221.03,727,18.64,4241,108.74,734,18.82,725,18.59,10,0.26,877,22.49,169,4.33,3,0.21,186,13.29,5,0.26,7,0.37,198,10.42,3,0.16,141,7.42
Miyagi,19606,208.57,762,13.14,1019,17.57,5615,96.81,15338,264.45,1202,20.72,10164,175.24,1527,26.33,1465,25.26,1,0.02,1862,32.1,287,4.95,3,0.25,151,12.58,4,0.33,4,0.33,286,23.83,1,0.08,77,6.42
Akita,13229,249.6,173,5.09,506,14.88,1883,55.38,4787,140.79,429,12.62,2317,68.15,392,11.53,334,9.82,4,0.12,452,13.29,317,9.32,10,1.43,90,12.86,1,0.13,-,-,134,16.75,-,-,73,9.13
Yamagata,10045,213.72,464,16,830,28.62,4589,158.24,9000,310.34,626,21.59,5776,199.17,837,28.86,831,28.66,13,0.45,1157,39.9,902,31.1,-,-,45,6.43,6,0.6,8,0.8,39,3.9,13,1.3,50,5
Fukushima,19076,251,1179,26.2,689,15.31,3965,88.11,8874,197.2,799,17.76,7347,163.27,1772,39.38,1170,26,17,0.38,974,21.64,930,20.67,-,-,316,26.33,3,0.43,8,1.14,140,20,3,0.43,127,18.14
Ibaraki,22555,187.96,509,6.79,1035,13.8,6980,93.07,16659,222.12,1258,16.77,5843,77.91,2022,26.96,1091,14.55,25,0.33,1583,21.11,1381,18.41,11,0.65,669,39.35,3,0.23,4,0.31,63,4.85,1,0.08,37,2.85
Tochigi,13914,183.08,350,7.29,296,6.17,3176,66.17,5412,112.75,598,12.46,6161,128.35,1328,27.67,1069,22.27,43,0.9,446,9.29,588,12.25,5,0.42,215,17.92,4,0.57,14,2,91,13,3,0.43,47,6.71
Gunma,19538,201.42,460,7.8,629,10.66,6522,110.54,13013,220.56,725,12.29,8303,140.73,1476,25.02,1246,21.12,45,0.76,1156,19.59,857,14.53,1,0.08,952,73.23,5,0.63,7,0.88,102,12.75,-,-,185,23.13
Saitama,41322,167.98,1490,9.55,3260,20.9,17121,109.75,40920,262.31,3310,21.22,22493,144.19,7110,45.58,3820,24.49,63,0.4,4441,28.47,4433,28.42,36,0.9,1165,29.13,6,0.6,38,3.8,155,15.5,20,2,113,11.3
Chiba,48217,229.6,964,7.25,2662,20.02,13939,104.8,26617,200.13,2066,15.53,11533,86.71,4358,32.77,2610,19.62,101,0.76,4415,33.2,2739,20.59,12,0.36,1054,31.94,16,1.78,43,4.78,49,5.44,10,1.11,52,5.78
Tokyo,57984,141.77,3014,11.68,4142,16.05,26675,103.39,64050,248.26,4817,18.67,31242,121.09,8930,34.61,6143,23.81,225,0.87,6932,26.87,2996,11.61,11,0.29,861,22.66,37,1.48,50,2,341,13.64,41,1.64,87,3.48
Kanagawa,53933,167.49,1595,7.82,2831,13.88,17319,84.9,44763,219.43,4719,23.13,25282,123.93,5914,28.99,4673,22.91,68,0.33,5557,27.24,2005,9.83,56,1.19,1613,34.32,14,1.4,24,2.4,159,15.9,1,0.1,124,12.4
Niigata,26631,283.31,1224,20.75,2373,40.22,7653,129.71,12781,216.63,1217,20.63,10638,180.31,1175,19.92,1363,23.1,50,0.85,1672,28.34,640,10.85,17,1.7,222,22.2,2,0.15,2,0.15,105,8.08,77,5.92,46,3.54
Toyama,11387,237.23,172,5.93,644,22.21,2823,97.34,7677,264.72,758,26.14,3221,111.07,139,4.79,487,16.79,8,0.28,1076,37.1,330,11.38,2,0.29,50,7.14,2,0.4,-,-,228,45.6,-,-,33,6.6
