"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21st week, 2021",,,,,,"Data collected as of June 2, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Yamanashi,-,-,32,1.33,15,0.63,157,6.54,932,38.83,32,1.33,2,0.08,12,0.5,122,5.08,5,0.21,14,0.58,-,-,25,2.78,-,-,3,0.3,3,0.3,-,-,-,-
Nagano,7,0.08,4,0.08,100,1.89,559,10.55,3196,60.3,160,3.02,18,0.34,22,0.42,379,7.15,41,0.77,30,0.57,1,0.09,13,1.18,4,0.4,4,0.4,2,0.2,-,-,1,0.1
Gifu,26,0.3,463,8.9,170,3.27,365,7.02,1475,28.37,50,0.96,9,0.17,20,0.38,267,5.13,11,0.21,18,0.35,1,0.09,10,0.91,-,-,-,-,3,0.6,-,-,1,0.2
Shizuoka,7,0.05,1891,21.49,380,4.32,805,9.15,4779,54.31,189,2.15,30,0.34,29,0.33,622,7.07,9,0.1,78,0.89,-,-,29,1.32,6,0.6,8,0.8,2,0.2,-,-,-,-
Aichi,30,0.15,2255,12.39,468,2.57,1573,8.64,8635,47.45,257,1.41,57,0.31,34,0.19,1055,5.8,64,0.35,124,0.68,-,-,67,1.91,2,0.13,14,0.93,1,0.07,-,-,1,0.07
Mie,20,0.29,369,8.39,164,3.73,276,6.27,3184,72.36,98,2.23,11,0.25,9,0.2,360,8.18,64,1.45,25,0.57,-,-,8,0.67,-,-,2,0.22,16,1.78,-,-,1,0.11
Shiga,26,0.44,279,7.97,110,3.14,400,11.43,1602,45.77,59,1.69,19,0.54,9,0.26,230,6.57,40,1.14,23,0.66,-,-,6,0.75,10,1.43,-,-,-,-,-,-,-,-
Kyoto,61,0.49,943,12.41,222,2.92,964,12.68,3895,51.25,170,2.24,40,0.53,11,0.14,389,5.12,49,0.64,42,0.55,-,-,27,1.5,1,0.14,3,0.43,2,0.29,-,-,-,-
Osaka,59,0.2,7226,37.06,792,4.06,2343,12.02,13281,68.11,431,2.21,101,0.52,65,0.33,1387,7.11,107,0.55,152,0.78,1,0.02,101,1.94,2,0.13,8,0.5,2,0.13,-,-,1,0.06
Hyogo,24,0.12,2066,16.14,551,4.3,1236,9.66,10017,78.26,228,1.78,57,0.45,41,0.32,903,7.05,43,0.34,133,1.04,-,-,122,3.49,4,0.29,22,1.57,5,0.36,1,0.07,5,0.36
