"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16th week, 2019",,,,,,"Data collected as of April 24, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Shizuoka,40065,288.24,324,3.64,265,2.98,2443,27.45,9936,111.64,236,2.65,108,1.21,751,8.44,347,3.9,16,0.18,139,1.56,-,-,170,7.73,3,0.3,12,1.2,15,1.5,1,0.1,13,1.3
Aichi,71370,366,1035,5.69,630,3.46,4666,25.64,14824,81.45,633,3.48,118,0.65,1041,5.72,791,4.35,43,0.24,164,0.9,2,0.06,185,5.29,6,0.4,7,0.47,42,2.8,1,0.07,212,14.13
Mie,16997,236.07,546,12.13,239,5.31,1411,31.36,4447,98.82,192,4.27,50,1.11,169,3.76,243,5.4,8,0.18,30,0.67,-,-,5,0.42,5,0.56,16,1.78,27,3,2,0.22,50,5.56
Shiga,13620,261.92,122,3.94,96,3.1,726,23.42,2483,80.1,116,3.74,34,1.1,81,2.61,104,3.35,20,0.65,29,0.94,-,-,14,1.75,2,0.29,1,0.14,1,0.14,1,0.14,12,1.71
Kyoto,31298,250.38,264,3.47,307,4.04,1662,21.87,6952,91.47,275,3.62,143,1.88,702,9.24,295,3.88,19,0.25,60,0.79,-,-,46,2.71,3,0.43,-,-,25,3.57,-,-,76,10.86
Osaka,70817,234.49,2859,14.44,1324,6.69,7059,35.65,20657,104.33,996,5.03,1005,5.08,1496,7.56,1024,5.17,126,0.64,235,1.19,2,0.04,226,4.35,11,0.69,4,0.25,34,2.13,-,-,261,16.31
Hyogo,47297,238.87,1357,10.6,849,6.63,3092,24.16,15705,122.7,705,5.51,395,3.09,1098,8.58,557,4.35,33,0.26,80,0.63,8,0.24,320,9.41,16,1.14,9,0.64,26,1.86,1,0.07,142,10.14
Nara,11262,204.76,322,9.47,213,6.26,1017,29.91,3552,104.47,135,3.97,116,3.41,74,2.18,171,5.03,10,0.29,19,0.56,-,-,105,10.5,3,0.5,3,0.5,26,4.33,-,-,42,7
Wakayama,8908,181.8,534,17.8,113,3.77,407,13.57,2499,83.3,69,2.3,32,1.07,319,10.63,142,4.73,6,0.2,20,0.67,9,2.25,32,8,1,0.09,5,0.45,32,2.91,1,0.09,61,5.55
Tottori,7049,243.07,120,6.32,111,5.84,1432,75.37,2393,125.95,98,5.16,320,16.84,40,2.11,106,5.58,12,0.63,12,0.63,1,0.2,87,17.4,1,0.2,1,0.2,5,1,-,-,4,0.8
Shimane,7259,191.03,150,6.52,130,5.65,793,34.48,2395,104.13,107,4.65,189,8.22,45,1.96,163,7.09,10,0.43,25,1.09,-,-,4,1.33,1,0.13,2,0.25,4,0.5,2,0.25,12,1.5
Okayama,19296,229.71,233,4.31,259,4.8,1533,28.39,6428,119.04,213,3.94,70,1.3,164,3.04,205,3.8,17,0.31,62,1.15,-,-,90,7.5,2,0.4,1,0.2,6,1.2,-,-,23,4.6
Hiroshima,26090,228.86,558,7.86,470,6.62,2370,33.38,8082,113.83,260,3.66,131,1.85,275,3.87,336,4.73,17,0.24,212,2.99,1,0.05,177,9.32,3,0.14,6,0.29,26,1.24,-,-,60,2.86
Yamaguchi,17032,274.71,900,20.93,180,4.19,1527,35.51,4057,94.35,114,2.65,110,2.56,303,7.05,273,6.35,19,0.44,63,1.47,1,0.13,90,11.25,3,0.38,-,-,23,2.88,-,-,40,5
Tokushima,7975,215.54,524,22.78,89,3.87,274,11.91,2688,116.87,54,2.35,95,4.13,49,2.13,113,4.91,1,0.04,9,0.39,-,-,49,12.25,-,-,-,-,5,0.71,-,-,1,0.14
Kagawa,11071,235.55,193,6.89,189,6.75,850,30.36,3300,117.86,90,3.21,13,0.46,204,7.29,212,7.57,5,0.18,88,3.14,4,0.8,19,3.8,1,0.2,2,0.4,10,2,1,0.2,7,1.4
Ehime,14310,234.59,209,5.65,174,4.7,1888,51.03,5618,151.84,196,5.3,23,0.62,188,5.08,333,9,10,0.27,60,1.62,-,-,367,45.88,-,-,1,0.17,11,1.83,-,-,8,1.33
Kochi,13648,284.33,295,9.83,68,2.27,1114,37.13,2413,80.43,118,3.93,18,0.6,119,3.97,121,4.03,7,0.23,14,0.47,-,-,25,8.33,1,0.13,-,-,39,4.88,3,0.38,53,6.63
Fukuoka,64866,327.61,1569,13.08,1045,8.71,7316,60.97,15693,130.78,907,7.56,574,4.78,1923,16.03,1068,8.9,98,0.82,396,3.3,9,0.35,434,16.69,10,0.67,8,0.53,30,2,-,-,79,5.27
Saga,9901,253.87,196,8.52,178,7.74,654,28.43,1806,78.52,140,6.09,240,10.43,262,11.39,215,9.35,18,0.78,14,0.61,-,-,25,6.25,1,0.17,1,0.17,14,2.33,-,-,44,7.33
Nagasaki,21179,302.56,175,3.98,418,9.5,1175,26.7,2382,54.14,182,4.14,239,5.43,233,5.3,264,6,9,0.2,51,1.16,4,0.5,121,15.13,3,0.25,9,0.75,23,1.92,-,-,16,1.33
Kumamoto,21503,268.79,498,9.96,340,6.8,1719,34.38,6285,125.7,277,5.54,436,8.72,203,4.06,512,10.24,125,2.5,89,1.78,1,0.11,321,35.67,3,0.2,5,0.33,13,0.87,-,-,106,7.07
Oita,19010,327.76,267,7.42,385,10.69,1262,35.06,5595,155.42,229,6.36,160,4.44,120,3.33,273,7.58,12,0.33,292,8.11,-,-,84,16.8,1,0.09,5,0.45,28,2.55,-,-,10,0.91
Miyazaki,18015,310.6,210,6,362,10.34,1839,52.54,5294,151.26,301,8.6,476,13.6,390,11.14,338,9.66,151,4.31,70,2,-,-,260,43.33,-,-,-,-,-,-,-,-,16,2.29
Kagoshima,25401,276.1,535,9.91,896,16.59,2194,40.63,7766,143.81,446,8.26,340,6.3,160,2.96,331,6.13,75,1.39,108,2,1,0.14,223,31.86,4,0.33,-,-,3,0.25,-,-,9,0.75
Okinawa,19497,336.16,151,4.44,143,4.21,852,25.06,1517,44.62,247,7.26,249,7.32,616,18.12,202,5.94,17,0.5,48,1.41,2,0.22,161,17.89,10,1.43,8,1.14,24,3.43,1,0.14,10,1.43
