"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"46th week, 2022",,,,,,"Data collected as of November 24, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,3844,0.78,111531,35.5,22626,7.2,46148,14.69,531333,169.11,10546,3.36,152178,48.43,1728,0.55,42722,13.6,35377,11.26,4287,1.36,144,0.21,5626,8.12,272,0.57,378,0.79,326,0.68,28,0.06,89,0.19
Hokkaido,50,0.23,4420,31.8,1306,9.4,3187,22.93,10137,72.93,565,4.06,7789,56.04,40,0.29,962,6.92,2409,17.33,124,0.89,9,0.32,110,3.93,10,0.45,2,0.09,27,1.23,1,0.05,10,0.45
Aomori,5,0.08,606,14.78,139,3.39,157,3.83,4686,114.29,118,2.88,2033,49.59,36,0.88,508,12.39,327,7.98,50,1.22,-,-,55,5.5,1,0.17,5,0.83,50,8.33,-,-,1,0.17
Iwate,9,0.15,881,22.59,217,5.56,1050,26.92,6058,155.33,176,4.51,1642,42.1,36,0.92,678,17.38,329,8.44,76,1.95,-,-,112,8,6,0.32,7,0.37,12,0.63,-,-,2,0.11
Miyagi,64,0.67,1392,24,274,4.72,529,9.12,9777,168.57,231,3.98,5043,86.95,48,0.83,1044,18,820,14.14,72,1.24,1,0.08,78,6.5,5,0.42,2,0.17,29,2.42,-,-,1,0.08
Akita,2,0.04,700,21.21,128,3.88,508,15.39,2568,77.82,194,5.88,1552,47.03,6,0.18,250,7.58,129,3.91,15,0.45,3,0.43,25,3.57,3,0.38,-,-,4,0.5,-,-,2,0.25
Yamagata,8,0.18,1215,43.39,387,13.82,466,16.64,6114,218.36,110,3.93,2655,94.82,7,0.25,495,17.68,1331,47.54,29,1.04,-,-,77,9.63,2,0.2,-,-,5,0.5,-,-,2,0.2
Fukushima,9,0.11,1228,24.56,571,11.42,661,13.22,6604,132.08,219,4.38,3213,64.26,44,0.88,1093,21.86,456,9.12,54,1.08,2,0.15,160,12.31,2,0.29,7,1,5,0.71,-,-,3,0.43
Ibaraki,36,0.3,1607,21.43,409,5.45,1034,13.79,10092,134.56,191,2.55,2733,36.44,31,0.41,577,7.69,924,12.32,84,1.12,7,0.41,330,19.41,1,0.08,5,0.42,38,3.17,-,-,-,-
