"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21st week, 2016",,,,,,"Data collected as of June 1, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Gifu,31122,357.72,213,4.02,282,5.32,1557,29.38,4499,84.89,206,3.89,50,0.94,233,4.4,295,5.57,19,0.36,13,0.25,272,5.13,1,0.09,39,3.55,1,0.2,12,2.4,113,22.6,-,-,74,14.8
Shizuoka,43396,312.2,521,5.85,575,6.46,7915,88.93,11407,128.17,681,7.65,30,0.34,564,6.34,677,7.61,22,0.25,32,0.36,1550,17.42,3,0.14,143,6.81,3,0.3,9,0.9,178,17.8,31,3.1,21,2.1
Aichi,85257,437.22,1082,5.98,925,5.11,8192,45.26,19866,109.76,1178,6.51,130,0.72,1620,8.95,1339,7.4,41,0.23,69,0.38,1646,9.09,6,0.18,293,8.62,10,0.71,16,1.14,205,14.64,1,0.07,350,25
Mie,23425,325.35,395,8.78,424,9.42,1535,34.11,6804,151.2,311,6.91,21,0.47,725,16.11,434,9.64,8,0.18,19,0.42,246,5.47,2,0.17,43,3.58,3,0.33,8,0.89,100,11.11,8,0.89,20,2.22
Shiga,15396,290.49,180,5.63,140,4.38,971,30.34,4961,155.03,403,12.59,69,2.16,145,4.53,253,7.91,2,0.06,66,2.06,302,9.44,-,-,31,3.88,3,0.43,3,0.43,36,5.14,-,-,97,13.86
Kyoto,33799,274.79,213,2.88,420,5.68,2357,31.85,10327,139.55,500,6.76,95,1.28,507,6.85,443,5.99,10,0.14,139,1.88,1312,17.73,1,0.06,76,4.47,-,-,4,0.57,86,12.29,-,-,116,16.57
Osaka,90095,293.47,1541,7.74,1755,8.82,9535,47.91,29413,147.8,1810,9.1,203,1.02,1451,7.29,1832,9.21,51,0.26,293,1.47,3604,18.11,14,0.27,359,7.04,11,0.65,11,0.65,300,17.65,1,0.06,381,22.41
Hyogo,62041,311.76,1009,7.82,1288,9.98,5208,40.37,19187,148.74,1222,9.47,78,0.6,1057,8.19,937,7.26,32,0.25,64,0.5,2277,17.65,10,0.29,268,7.66,12,1.09,11,1,96,8.73,1,0.09,175,15.91
Nara,15258,282.56,278,8.18,302,8.88,1301,38.26,4021,118.26,208,6.12,17,0.5,406,11.94,349,10.26,3,0.09,19,0.56,902,26.53,1,0.11,60,6.67,4,0.67,3,0.5,98,16.33,-,-,97,16.17
Wakayama,11503,230.06,326,10.52,253,8.16,534,17.23,2475,79.84,204,6.58,8,0.26,600,19.35,269,8.68,2,0.06,21,0.68,315,10.16,4,1,27,6.75,1,0.09,7,0.64,44,4,1,0.09,94,8.55
Tottori,7770,267.93,58,3.05,376,19.79,2506,131.89,2720,143.16,94,4.95,25,1.32,421,22.16,159,8.37,8,0.42,70,3.68,34,1.79,8,2.67,107,35.67,2,0.4,3,0.6,70,14,1,0.2,130,26
Shimane,7678,202.05,211,9.17,611,26.57,1382,60.09,4830,210,135,5.87,62,2.7,245,10.65,288,12.52,1,0.04,80,3.48,274,11.91,-,-,26,8.67,1,0.13,13,1.63,68,8.5,2,0.25,232,29
Okayama,22405,266.73,293,5.43,324,6,1401,25.94,7401,137.06,279,5.17,42,0.78,424,7.85,351,6.5,4,0.07,53,0.98,1449,26.83,4,0.33,112,9.33,3,0.6,7,1.4,24,4.8,-,-,24,4.8
Hiroshima,35396,310.49,501,7.06,731,10.3,3237,45.59,11607,163.48,495,6.97,68,0.96,1145,16.13,597,8.41,29,0.41,309,4.35,944,13.3,5,0.28,285,15.83,4,0.19,2,0.1,133,6.33,1,0.05,367,17.48
Yamaguchi,24660,362.65,793,16.52,325,6.77,3094,64.46,6700,139.58,291,6.06,64,1.33,770,16.04,505,10.52,15,0.31,175,3.65,687,14.31,-,-,106,11.78,3,0.33,-,-,84,9.33,-,-,103,11.44
Tokushima,9406,254.22,563,24.48,259,11.26,597,25.96,3913,170.13,117,5.09,8,0.35,146,6.35,296,12.87,4,0.17,13,0.57,255,11.09,1,0.25,12,3,1,0.14,1,0.14,15,2.14,-,-,56,8
Kagawa,13087,278.45,164,5.86,369,13.18,960,34.29,4790,171.07,157,5.61,95,3.39,334,11.93,256,9.14,13,0.46,158,5.64,254,9.07,1,0.2,37,7.4,2,0.4,4,0.8,52,10.4,1,0.2,149,29.8
Ehime,21132,346.43,467,12.62,225,6.08,2442,66,7344,198.49,229,6.19,40,1.08,421,11.38,485,13.11,15,0.41,27,0.73,171,4.62,2,0.25,313,39.13,1,0.17,3,0.5,32,5.33,-,-,78,13
Kochi,14925,310.94,575,19.17,74,2.47,1431,47.7,3791,126.37,145,4.83,23,0.77,140,4.67,183,6.1,45,1.5,27,0.9,341,11.37,-,-,11,3.67,1,0.13,6,0.75,105,13.13,24,3,229,28.63
Fukuoka,82057,414.43,2209,18.41,1581,13.18,8337,69.48,20841,173.68,1411,11.76,153,1.28,1457,12.14,1696,14.13,58,0.48,324,2.7,3115,25.96,12,0.46,618,23.77,12,0.86,39,2.79,406,29,1,0.07,25,1.79
Saga,12517,320.95,389,16.91,455,19.78,955,41.52,2337,101.61,175,7.61,26,1.13,314,13.65,363,15.78,6,0.26,71,3.09,1236,53.74,-,-,69,17.25,1,0.17,4,0.67,79,13.17,-,-,55,9.17
Nagasaki,23917,346.62,598,13.59,318,7.23,2358,53.59,4116,93.55,405,9.2,53,1.2,338,7.68,359,8.16,5,0.11,60,1.36,924,21,3,0.38,310,38.75,2,0.17,23,1.92,126,10.5,-,-,49,4.08
Kumamoto,22755,288.04,782,15.96,484,9.88,1484,30.29,9895,201.94,294,6,89,1.82,1227,25.04,644,13.14,13,0.27,108,2.2,1524,31.1,-,-,468,52,3,0.2,28,1.87,100,6.67,2,0.13,169,11.27
Oita,19556,337.17,606,16.83,357,9.92,2876,79.89,8976,249.33,535,14.86,51,1.42,635,17.64,531,14.75,25,0.69,49,1.36,282,7.83,2,0.4,81,16.2,-,-,-,-,86,7.82,-,-,17,1.55
Miyazaki,21025,356.36,757,21.03,462,12.83,2044,56.78,7939,220.53,286,7.94,102,2.83,605,16.81,653,18.14,7,0.19,34,0.94,2338,64.94,8,1.33,458,76.33,2,0.29,17,2.43,57,8.14,-,-,81,11.57
Kagoshima,34984,376.17,1209,21.98,976,17.75,4069,73.98,10535,191.55,782,14.22,109,1.98,594,10.8,497,9.04,19,0.35,51,0.93,1754,31.89,-,-,128,18.29,3,0.25,4,0.33,57,4.75,-,-,122,10.17
Okinawa,25402,437.97,929,27.32,204,6,822,24.18,2565,75.44,399,11.74,369,10.85,95,2.79,160,4.71,98,2.88,70,2.06,1513,44.5,7,0.78,168,18.67,16,2.29,28,4,165,23.57,1,0.14,46,6.57
