"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12th week, 2020",,,,,,"Data collected as of March 25, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Aichi,31749,162.82,508,2.79,624,3.43,4197,23.06,8767,48.17,460,2.53,228,1.25,661,3.63,434,2.38,24,0.13,58,0.32,2,0.06,61,1.74,2,0.13,12,0.8,120,8,-,-,2,0.13
Mie,8455,119.08,257,5.84,290,6.59,1114,25.32,2397,54.48,135,3.07,50,1.14,322,7.32,141,3.2,5,0.11,17,0.39,-,-,13,1.18,5,0.56,2,0.22,30,3.33,-,-,1,0.11
Shiga,7113,139.47,73,2.43,71,2.37,606,20.2,1378,45.93,64,2.13,27,0.9,113,3.77,66,2.2,14,0.47,12,0.4,1,0.13,3,0.38,4,0.57,2,0.29,21,3,-,-,2,0.29
Kyoto,14858,118.86,164,2.16,199,2.62,1668,21.95,2883,37.93,215,2.83,76,1,213,2.8,180,2.37,8,0.11,20,0.26,-,-,33,1.83,1,0.14,3,0.43,59,8.43,-,-,-,-
Osaka,42564,141.88,884,4.49,721,3.66,5103,25.9,9564,48.55,727,3.69,166,0.84,584,2.96,573,2.91,42,0.21,108,0.55,4,0.08,95,1.86,3,0.19,5,0.31,65,4.06,-,-,1,0.06
Hyogo,24199,122.22,541,4.23,534,4.17,2108,16.47,7607,59.43,433,3.38,47,0.37,415,3.24,353,2.76,19,0.15,53,0.41,2,0.06,186,5.31,13,0.93,7,0.5,89,6.36,1,0.07,5,0.36
Nara,5901,107.29,159,4.68,96,2.82,690,20.29,1768,52,114,3.35,43,1.26,227,6.68,96,2.82,1,0.03,7,0.21,-,-,23,2.3,1,0.17,3,0.5,24,4,-,-,6,1
Wakayama,4312,88,280,9.33,126,4.2,513,17.1,1166,38.87,72,2.4,13,0.43,183,6.1,72,2.4,2,0.07,7,0.23,-,-,6,1.5,3,0.27,-,-,51,4.64,1,0.09,-,-
Tottori,3135,108.1,40,2.11,81,4.26,1122,59.05,1327,69.84,85,4.47,12,0.63,247,13,57,3,11,0.58,5,0.26,-,-,43,8.6,1,0.2,1,0.2,26,5.2,-,-,-,-
Shimane,3522,92.68,48,2.09,55,2.39,515,22.39,1138,49.48,79,3.43,12,0.52,140,6.09,107,4.65,4,0.17,9,0.39,-,-,1,0.33,1,0.13,2,0.25,12,1.5,-,-,-,-
