"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4th week, 2016",,,,,,"Data collected as of February 3, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Fukui,877,27.41,64,2.91,76,3.45,405,18.41,572,26,56,2.55,1,0.05,122,5.55,46,2.09,3,0.14,-,-,18,0.82,-,-,2,0.67,-,-,3,0.5,8,1.33,-,-,-,-
Yamanashi,1531,38.28,52,2.17,21,0.88,262,10.92,808,33.67,24,1,2,0.08,64,2.67,21,0.88,-,-,1,0.04,17,0.71,-,-,23,2.56,1,0.1,2,0.2,23,2.3,-,-,4,0.4
Nagano,3616,41.56,284,5.26,59,1.09,455,8.43,1865,34.54,45,0.83,6,0.11,159,2.94,58,1.07,3,0.06,-,-,215,3.98,-,-,24,2.18,-,-,-,-,35,3.18,-,-,7,0.64
Gifu,3851,44.26,130,2.45,89,1.68,302,5.7,1098,20.72,63,1.19,17,0.32,102,1.92,54,1.02,4,0.08,3,0.06,64,1.21,-,-,11,1,-,-,6,1.2,33,6.6,-,-,2,0.4
Shizuoka,4656,33.5,267,3,144,1.62,1990,22.36,3602,40.47,179,2.01,11,0.12,148,1.66,124,1.39,6,0.07,1,0.01,367,4.12,-,-,32,1.45,2,0.2,4,0.4,28,2.8,6,0.6,3,0.3
Aichi,9110,46.72,618,3.41,201,1.11,1715,9.48,5193,28.69,291,1.61,36,0.2,577,3.19,272,1.5,10,0.06,8,0.04,291,1.61,-,-,48,1.41,-,-,1,0.07,65,4.64,-,-,7,0.5
Mie,1847,25.65,211,4.69,68,1.51,286,6.36,1790,39.78,99,2.2,2,0.04,161,3.58,75,1.67,-,-,-,-,54,1.2,-,-,8,0.67,2,0.22,2,0.22,31,3.44,1,0.11,1,0.11
Shiga,1685,31.79,136,4.25,26,0.81,128,4,1029,32.16,109,3.41,14,0.44,23,0.72,43,1.34,-,-,2,0.06,43,1.34,-,-,7,0.88,-,-,1,0.14,11,1.57,-,-,4,0.57
Kyoto,3521,28.86,113,1.55,78,1.07,461,6.32,2026,27.75,105,1.44,9,0.12,185,2.53,77,1.05,1,0.01,8,0.11,277,3.79,1,0.06,16,0.94,-,-,-,-,28,4,-,-,13,1.86
Osaka,10495,34.19,826,4.13,431,2.16,1730,8.65,5001,25.01,449,2.25,24,0.12,500,2.5,356,1.78,7,0.04,23,0.12,561,2.81,1,0.02,92,1.77,1,0.06,1,0.06,96,5.65,-,-,15,0.88
Hyogo,6145,30.88,651,5.05,265,2.05,1098,8.51,3954,30.65,387,3,19,0.15,290,2.25,156,1.21,6,0.05,8,0.06,413,3.2,-,-,56,1.6,-,-,1,0.09,17,1.55,-,-,16,1.45
Nara,1275,23.61,180,5.29,57,1.68,225,6.62,870,25.59,43,1.26,2,0.06,150,4.41,67,1.97,3,0.09,2,0.06,87,2.56,-,-,10,1.11,2,0.33,-,-,35,5.83,-,-,7,1.17
Wakayama,1005,20.1,176,5.68,62,2,124,4,404,13.03,38,1.23,-,-,246,7.94,38,1.23,-,-,1,0.03,26,0.84,-,-,9,2.25,-,-,-,-,12,1.09,-,-,10,0.91
Tottori,415,14.31,45,2.37,79,4.16,490,25.79,521,27.42,9,0.47,3,0.16,129,6.79,30,1.58,-,-,-,-,7,0.37,-,-,6,2,1,0.2,1,0.2,19,3.8,-,-,29,5.8
Shimane,584,15.37,126,5.48,110,4.78,323,14.04,707,30.74,27,1.17,4,0.17,24,1.04,45,1.96,-,-,5,0.22,59,2.57,-,-,2,0.67,1,0.13,-,-,20,2.5,2,0.25,8,1
Okayama,2179,25.94,143,2.65,59,1.09,289,5.35,1688,31.26,90,1.67,5,0.09,103,1.91,54,1,2,0.04,3,0.06,336,6.22,-,-,37,3.08,-,-,2,0.4,6,1.2,-,-,2,0.4
