"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"45th week, 2015",,,,,,"Data collected as of November 11, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Nagano,22379,260.22,585,11.04,497,9.38,5835,110.09,13134,247.81,804,15.17,7389,139.42,1886,35.58,948,17.89,51,0.96,1924,36.3,345,6.51,2,0.2,179,17.9,4,0.36,6,0.55,239,21.73,-,-,83,7.55
Gifu,21926,254.95,654,12.58,820,15.77,2231,42.9,8452,162.54,491,9.44,2180,41.92,1284,24.69,877,16.87,24,0.46,1823,35.06,179,3.44,1,0.09,80,7.27,2,0.4,11,2.2,219,43.8,-,-,77,15.4
Shizuoka,33622,243.64,1454,16.52,1624,18.45,14367,163.26,20387,231.67,1486,16.89,7897,89.74,2282,25.93,1797,20.42,59,0.67,3002,34.11,1246,14.16,6,0.29,304,14.48,7,0.7,22,2.2,233,23.3,35,3.5,55,5.5
Aichi,64832,332.47,2122,11.66,2737,15.04,16134,88.65,38529,211.7,2636,14.48,11842,65.07,3041,16.71,3541,19.46,131,0.72,7694,42.27,2376,13.05,22,0.65,439,12.91,18,1.29,14,1,291,20.79,-,-,183,13.07
Mie,17274,239.92,868,19.29,950,21.11,3372,74.93,9910,220.22,652,14.49,4025,89.44,657,14.6,1151,25.58,39,0.87,3480,77.33,180,4,9,0.75,56,4.67,15,1.67,18,2,144,16,2,0.22,12,1.33
Shiga,13655,262.6,377,12.16,491,15.84,2501,80.68,7450,240.32,689,22.23,3736,120.52,1463,47.19,565,18.23,17,0.55,1349,43.52,345,11.13,-,-,73,9.13,6,0.86,10,1.43,78,11.14,-,-,44,6.29
Kyoto,21769,179.91,642,8.79,1115,15.27,4225,57.88,15467,211.88,942,12.9,9163,125.52,1250,17.12,1178,16.14,26,0.36,1013,13.88,921,12.62,2,0.12,247,14.53,3,0.5,6,1,57,9.5,8,1.33,99,16.5
Osaka,52897,172.3,5574,28.01,3817,19.18,19427,97.62,50125,251.88,4354,21.88,27393,137.65,4370,21.96,4786,24.05,181,0.91,5039,25.32,2942,14.78,35,0.69,879,17.24,12,0.71,33,1.94,517,30.41,8,0.47,267,15.71
Hyogo,43116,217.76,2239,17.49,2887,22.55,11148,87.09,37729,294.76,2536,19.81,18242,142.52,2362,18.45,2689,21.01,120,0.94,2869,22.41,1925,15.04,18,0.51,1296,37.03,16,1.23,29,2.23,105,8.08,1,0.08,75,5.77
Nara,7989,147.94,806,23.71,506,14.88,2308,67.88,5766,169.59,417,12.26,4244,124.82,360,10.59,666,19.59,11,0.32,676,19.88,239,7.03,5,0.56,119,13.22,9,1.5,3,0.5,68,11.33,1,0.17,108,18
Wakayama,9324,190.29,717,23.9,421,14.03,1338,44.6,4134,137.8,423,14.1,3614,120.47,427,14.23,579,19.3,8,0.27,1405,46.83,122,4.07,3,0.75,61,15.25,10,0.91,6,0.55,74,6.73,3,0.27,79,7.18
Tottori,7350,253.45,330,17.37,381,20.05,4544,239.16,5488,288.84,202,10.63,1995,105,130,6.84,394,20.74,32,1.68,390,20.53,161,8.47,-,-,165,55,2,0.4,12,2.4,33,6.6,-,-,95,19
Shimane,8424,221.68,792,34.43,672,29.22,3136,136.35,6143,267.09,331,14.39,2620,113.91,88,3.83,637,27.7,5,0.22,214,9.3,308,13.39,2,0.67,60,20,5,0.63,42,5.25,64,8,2,0.25,75,9.38
Okayama,25555,307.89,725,13.43,496,9.19,2619,48.5,14742,273,767,14.2,4775,88.43,479,8.87,908,16.81,29,0.54,1320,24.44,1058,19.59,5,0.42,235,19.58,2,0.4,5,1,13,2.6,2,0.4,31,6.2
