"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"50th week, 2022",,,,,,"Data collected as of December 21, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,8875,1.81,118173,37.61,24276,7.73,50916,16.2,582952,185.54,11969,3.81,157379,50.09,1834,0.58,45825,14.58,37487,11.93,4777,1.52,171,0.25,6209,8.96,298,0.62,414,0.87,366,0.77,31,0.06,93,0.19
Hokkaido,188,0.85,4856,34.94,1451,10.44,3475,25,10790,77.63,636,4.58,7837,56.38,43,0.31,1016,7.31,2441,17.56,142,1.02,9,0.32,117,4.18,10,0.45,2,0.09,30,1.36,1,0.05,13,0.59
Aomori,96,1.5,719,17.54,147,3.59,178,4.34,5023,122.51,123,3,2067,50.41,36,0.88,544,13.27,332,8.1,52,1.27,-,-,59,5.9,1,0.17,6,1,62,10.33,-,-,1,0.17
Iwate,318,5.13,1000,25.64,224,5.74,1149,29.46,6669,171,194,4.97,1649,42.28,37,0.95,733,18.79,332,8.51,82,2.1,-,-,117,9,6,0.32,7,0.37,12,0.63,-,-,2,0.11
Miyagi,136,1.43,1711,29.5,304,5.24,567,9.78,10356,178.55,262,4.52,5108,88.07,48,0.83,1101,18.98,820,14.14,74,1.28,1,0.08,82,6.83,5,0.42,2,0.17,30,2.5,-,-,1,0.08
Akita,27,0.53,762,23.09,136,4.12,554,16.79,2710,82.12,198,6,1554,47.09,9,0.27,269,8.15,132,4,17,0.52,3,0.43,27,3.86,3,0.38,-,-,4,0.5,1,0.13,2,0.25
Yamagata,14,0.32,1501,53.61,398,14.21,490,17.5,6625,236.61,131,4.68,2661,95.04,7,0.25,531,18.96,1332,47.57,30,1.07,-,-,79,9.88,5,0.5,-,-,5,0.5,-,-,2,0.2
Fukushima,28,0.34,1710,34.2,619,12.38,708,14.16,6910,138.2,236,4.72,3233,64.66,45,0.9,1170,23.4,458,9.16,69,1.38,2,0.15,169,13,2,0.29,7,1,5,0.71,-,-,3,0.43
Ibaraki,89,0.75,1780,23.73,423,5.64,1162,15.49,11094,147.92,216,2.88,2759,36.79,34,0.45,631,8.41,936,12.48,88,1.17,7,0.41,364,21.41,1,0.09,5,0.45,43,3.91,-,-,-,-
Tochigi,55,0.72,1881,39.19,151,3.15,726,15.13,4130,86.04,117,2.44,2468,51.42,32,0.67,883,18.4,192,4,45,0.94,-,-,134,11.17,11,1.57,5,0.71,-,-,-,-,2,0.29
Gunma,43,0.5,1304,24.6,333,6.28,391,7.38,11240,212.08,187,3.53,3320,62.64,34,0.64,925,17.45,764,14.42,97,1.83,1,0.08,122,9.38,4,0.44,2,0.22,1,0.11,-,-,-,-
Saitama,283,1.13,4516,28.58,928,5.87,1876,11.87,39123,247.61,743,4.7,11411,72.22,123,0.78,2325,14.72,2141,13.55,327,2.07,43,1.1,368,9.44,7,0.64,23,2.09,8,0.73,-,-,2,0.18
Chiba,265,1.28,3294,25.73,578,4.52,1705,13.32,24646,192.55,520,4.06,9374,73.23,87,0.68,1803,14.09,1749,13.66,310,2.42,9,0.27,307,9.3,13,1.44,15,1.67,4,0.44,-,-,-,-
Tokyo,1236,3.03,7524,29.39,1344,5.25,2002,7.82,59194,231.23,944,3.69,16853,65.83,170,0.66,3804,14.86,4405,17.21,471,1.84,3,0.08,301,8.14,17,0.68,17,0.68,6,0.24,22,0.88,4,0.16
Kanagawa,813,2.34,5297,23.97,832,3.76,2446,11.07,39590,179.14,759,3.43,13911,62.95,158,0.71,2958,13.38,2946,13.33,382,1.73,9,0.18,955,19.1,10,0.91,34,3.09,7,0.64,2,0.18,6,0.55
Niigata,36,0.44,1130,20.18,775,13.84,2546,45.46,6940,123.93,266,4.75,5362,95.75,48,0.86,906,16.18,1677,29.95,126,2.25,11,1.22,49,5.44,6,0.5,6,0.5,5,0.42,-,-,1,0.08
Toyama,95,1.98,1253,43.21,403,13.9,490,16.9,6729,232.03,143,4.93,1517,52.31,16,0.55,350,12.07,411,14.17,16,0.55,-,-,27,3.86,2,0.4,1,0.2,4,0.8,-,-,1,0.2
