"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22nd week, 2016",,,,,,"Data collected as of June 8, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Nagano,33223,386.31,378,7.13,209,3.94,3107,58.62,7727,145.79,381,7.19,25,0.47,632,11.92,420,7.92,45,0.85,26,0.49,957,18.06,-,-,58,5.27,2,0.18,1,0.09,129,11.73,-,-,110,10
Gifu,31124,357.75,213,4.02,300,5.66,1643,31,4656,87.85,213,4.02,53,1,246,4.64,313,5.91,21,0.4,14,0.26,304,5.74,1,0.09,41,3.73,1,0.2,12,2.4,122,24.4,-,-,74,14.8
Shizuoka,43412,312.32,523,5.88,625,7.02,8248,92.67,11831,132.93,718,8.07,35,0.39,586,6.58,737,8.28,24,0.27,41,0.46,1636,18.38,3,0.14,149,7.1,3,0.3,9,0.9,181,18.1,31,3.1,21,2.1
Aichi,85261,437.24,1095,6.05,1013,5.6,8658,47.83,20600,113.81,1231,6.8,137,0.76,1681,9.29,1412,7.8,44,0.24,106,0.59,1773,9.8,6,0.18,310,9.12,10,0.71,17,1.21,213,15.21,1,0.07,354,25.29
Mie,23431,325.43,398,8.84,467,10.38,1631,36.24,7072,157.16,317,7.04,28,0.62,776,17.24,467,10.38,12,0.27,44,0.98,258,5.73,3,0.25,45,3.75,3,0.33,9,1,103,11.44,8,0.89,20,2.22
Shiga,15396,290.49,180,5.63,160,5,1038,32.44,5147,160.84,419,13.09,74,2.31,152,4.75,269,8.41,2,0.06,105,3.28,326,10.19,-,-,32,4,4,0.57,3,0.43,37,5.29,-,-,98,14
Kyoto,33821,274.97,215,2.91,443,5.99,2462,33.27,10832,146.38,517,6.99,119,1.61,524,7.08,466,6.3,11,0.15,190,2.57,1392,18.81,1,0.06,80,4.71,-,-,5,0.71,89,12.71,-,-,118,16.86
Osaka,90106,293.5,1550,7.79,1940,9.75,10129,50.9,30747,154.51,1924,9.67,230,1.16,1489,7.48,1963,9.86,52,0.26,473,2.38,3914,19.67,14,0.27,377,7.39,11,0.65,13,0.76,313,18.41,2,0.12,393,23.12
Hyogo,62056,311.84,1014,7.86,1347,10.44,5500,42.64,20174,156.39,1282,9.94,92,0.71,1100,8.53,1008,7.81,33,0.26,102,0.79,2439,18.91,11,0.31,276,7.89,12,1.09,12,1.09,103,9.36,1,0.09,175,15.91
Nara,15258,282.56,279,8.21,335,9.85,1375,40.44,4174,122.76,215,6.32,18,0.53,417,12.26,360,10.59,3,0.09,28,0.82,956,28.12,1,0.11,66,7.33,5,0.83,3,0.5,107,17.83,-,-,98,16.33
Wakayama,11504,230.08,326,10.52,277,8.94,557,17.97,2600,83.87,208,6.71,9,0.29,615,19.84,289,9.32,2,0.06,37,1.19,332,10.71,4,1,27,6.75,1,0.09,7,0.64,48,4.36,1,0.09,94,8.55
Tottori,7774,268.07,58,3.05,392,20.63,2575,135.53,2852,150.11,101,5.32,39,2.05,446,23.47,172,9.05,8,0.42,100,5.26,35,1.84,8,2.67,109,36.33,2,0.4,3,0.6,72,14.4,1,0.2,130,26
Shimane,7681,202.13,213,9.26,671,29.17,1446,62.87,4971,216.13,137,5.96,70,3.04,274,11.91,304,13.22,1,0.04,117,5.09,295,12.83,-,-,30,10,1,0.13,13,1.63,70,8.75,2,0.25,233,29.13
Okayama,22407,266.75,296,5.48,348,6.44,1452,26.89,7717,142.91,302,5.59,54,1,448,8.3,375,6.94,4,0.07,95,1.76,1534,28.41,4,0.33,112,9.33,4,0.8,7,1.4,24,4.8,-,-,25,5
