"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30th week, 2022",,,,,,"Data collected as of August 3, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Aichi,71,0.36,6242,34.3,547,3.01,1667,9.16,21178,116.36,259,1.42,1153,6.34,33,0.18,1154,6.34,315,1.73,133,0.73,3,0.09,88,2.51,12,0.8,11,0.73,-,-,-,-,1,0.07
Mie,16,0.23,2313,52.57,295,6.7,292,6.64,6410,145.68,103,2.34,355,8.07,10,0.23,382,8.68,83,1.89,15,0.34,1,0.08,9,0.75,3,0.33,12,1.33,2,0.22,-,-,-,-
Shiga,16,0.27,379,10.53,164,4.56,289,8.03,3945,109.58,140,3.89,399,11.08,3,0.08,314,8.72,114,3.17,23,0.64,-,-,12,1.5,4,0.57,1,0.14,1,0.14,-,-,1,0.14
Kyoto,42,0.34,1228,16.37,686,9.15,616,8.21,7069,94.25,121,1.61,333,4.44,25,0.33,433,5.77,73,0.97,48,0.64,1,0.06,34,1.89,2,0.33,2,0.33,-,-,2,0.33,1,0.17
Osaka,336,1.12,6864,35.02,1739,8.87,1679,8.57,23802,121.44,378,1.93,819,4.18,63,0.32,1622,8.28,228,1.16,184,0.94,9,0.18,174,3.41,1,0.06,9,0.56,-,-,-,-,2,0.13
Hyogo,69,0.35,2951,23.05,784,6.13,928,7.25,20083,156.9,218,1.7,675,5.27,67,0.52,1021,7.98,146,1.14,109,0.85,-,-,184,5.26,5,0.36,15,1.07,-,-,-,-,2,0.14
Nara,6,0.11,706,20.76,187,5.5,156,4.59,4278,125.82,53,1.56,160,4.71,5,0.15,308,9.06,43,1.26,22,0.65,-,-,57,5.7,-,-,2,0.33,1,0.17,-,-,-,-
Wakayama,8,0.17,306,10.55,187,6.45,192,6.62,2919,100.66,60,2.07,102,3.52,3,0.1,291,10.03,17,0.59,22,0.76,-,-,22,5.5,2,0.18,6,0.55,18,1.64,-,-,1,0.09
Tottori,4,0.14,109,5.74,169,8.89,999,52.58,2360,124.21,23,1.21,404,21.26,7,0.37,188,9.89,79,4.16,3,0.16,-,-,23,4.6,4,0.8,5,1,-,-,-,-,-,-
Shimane,-,-,720,32.73,132,6,151,6.86,3178,144.45,62,2.82,646,29.36,3,0.14,307,13.95,40,1.82,14,0.64,-,-,3,1,8,1,6,0.75,-,-,-,-,1,0.13
Okayama,42,0.5,305,5.65,245,4.54,216,4,7724,143.04,124,2.3,264,4.89,31,0.57,482,8.93,108,2,67,1.24,3,0.25,16,1.33,6,1.2,1,0.2,4,0.8,-,-,-,-
Hiroshima,13,0.11,1211,17.06,642,9.04,399,5.62,10354,145.83,111,1.56,1550,21.83,22,0.31,572,8.06,296,4.17,54,0.76,3,0.16,143,7.53,2,0.1,3,0.15,2,0.1,-,-,2,0.1
Yamaguchi,6,0.09,476,10.58,255,5.67,830,18.44,6177,137.27,91,2.02,203,4.51,15,0.33,501,11.13,188,4.18,39,0.87,-,-,59,6.56,-,-,-,-,6,0.67,-,-,-,-
Tokushima,2,0.06,76,3.45,162,7.36,80,3.64,2552,116,37,1.68,97,4.41,4,0.18,242,11,9,0.41,13,0.59,-,-,3,1,3,0.5,3,0.5,2,0.33,-,-,-,-
Kagawa,3,0.06,34,1.21,232,8.29,170,6.07,5120,182.86,67,2.39,130,4.64,15,0.54,346,12.36,18,0.64,33,1.18,-,-,14,2.8,1,0.2,1,0.2,1,0.2,-,-,1,0.2
Ehime,13,0.22,1047,29.08,210,5.83,450,12.5,7722,214.5,96,2.67,81,2.25,18,0.5,509,14.14,17,0.47,41,1.14,-,-,156,22.29,1,0.17,-,-,-,-,-,-,3,0.5
Kochi,9,0.2,90,3.21,241,8.61,219,7.82,2512,89.71,78,2.79,36,1.29,11,0.39,293,10.46,29,1.04,21,0.75,-,-,13,4.33,4,0.5,-,-,5,0.63,-,-,7,0.88
Fukuoka,33,0.17,3062,25.52,1094,9.12,3388,28.23,22373,186.44,372,3.1,872,7.27,39,0.33,1888,15.73,170,1.42,145,1.21,4,0.15,94,3.62,3,0.2,12,0.8,2,0.13,-,-,-,-
Saga,4,0.11,400,18.18,283,12.86,259,11.77,2906,132.09,67,3.05,274,12.45,9,0.41,439,19.95,21,0.95,11,0.5,1,0.25,14,3.5,4,0.67,6,1,2,0.33,-,-,4,0.67
Nagasaki,5,0.07,1045,24.3,341,7.93,1260,29.3,4273,99.37,82,1.91,378,8.79,25,0.58,461,10.72,44,1.02,33,0.77,8,1.14,65,9.29,11,0.92,3,0.25,1,0.08,-,-,4,0.33
Kumamoto,5,0.06,894,18.24,270,5.51,213,4.35,8715,177.86,149,3.04,541,11.04,24,0.49,865,17.65,139,2.84,31,0.63,-,-,98,10.89,1,0.07,8,0.53,2,0.13,-,-,4,0.27
Oita,7,0.12,906,25.17,237,6.58,296,8.22,10247,284.64,110,3.06,650,18.06,21,0.58,540,15,82,2.28,47,1.31,-,-,32,6.4,-,-,1,0.09,6,0.55,-,-,-,-
Miyazaki,17,0.29,1689,46.92,320,8.89,578,16.06,6993,194.25,120,3.33,620,17.22,12,0.33,621,17.25,63,1.75,34,0.94,2,0.33,68,11.33,-,-,-,-,-,-,-,-,-,-
Kagoshima,11,0.12,760,14.34,946,17.85,558,10.53,10965,206.89,129,2.43,2080,39.25,17,0.32,619,11.68,254,4.79,70,1.32,-,-,71,10.14,2,0.18,8,0.73,-,-,-,-,3,0.27
Okinawa,39,0.7,204,6.18,152,4.61,532,16.12,1811,54.88,101,3.06,2161,65.48,10,0.3,229,6.94,115,3.48,36,1.09,3,0.33,75,8.33,11,1.57,26,3.71,3,0.43,-,-,1,0.14
