"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36th week, 2017",,,,,,"Data collected as of September 13, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1367491,276.65,72790,23.06,62528,19.81,257369,81.52,620739,196.62,39671,12.57,276442,87.56,9104,2.88,52452,16.61,1103,0.35,69622,22.05,62059,19.66,328,0.47,17421,25.1,360,0.75,684,1.43,5450,11.43,184,0.39,4854,10.18
Hokkaido,49342,220.28,4294,30.45,5633,39.95,17409,123.47,13550,96.1,2065,14.65,11839,83.96,214,1.52,1462,10.37,62,0.44,2506,17.77,1654,11.73,10,0.36,407,14.54,6,0.26,38,1.65,181,7.87,-,-,205,8.91
Aomori,15403,240.67,561,13.68,478,11.66,2462,60.05,6464,157.66,357,8.71,2587,63.1,189,4.61,667,16.27,5,0.12,639,15.59,640,15.61,4,0.36,100,9.09,10,1.67,6,1,141,23.5,-,-,74,12.33
Iwate,14537,227.14,907,23.26,996,25.54,3798,97.38,7033,180.33,310,7.95,1971,50.54,223,5.72,639,16.38,5,0.13,592,15.18,1312,33.64,5,0.36,169,12.07,7,0.37,5,0.26,217,11.42,4,0.21,108,5.68
Miyagi,27164,285.94,1634,27.69,1363,23.1,5521,93.58,10567,179.1,792,13.42,5059,85.75,159,2.69,1202,20.37,10,0.17,787,13.34,467,7.92,-,-,107,8.92,3,0.25,1,0.08,182,15.17,-,-,51,4.25
Akita,13141,243.35,455,13,365,10.43,1665,47.57,3897,111.34,414,11.83,1793,51.23,43,1.23,316,9.03,14,0.4,479,13.69,126,3.6,9,1.29,50,7.14,1,0.13,-,-,256,32,3,0.38,56,7
Yamagata,11418,242.94,960,33.1,668,23.03,5227,180.24,5552,191.45,448,15.45,2641,91.07,523,18.03,685,23.62,22,0.76,1073,37,508,17.52,-,-,83,10.38,2,0.2,7,0.7,150,15,-,-,78,7.8
Fukushima,23767,308.66,1851,40.24,597,12.98,4010,87.17,6306,137.09,796,17.3,3136,68.17,319,6.93,1051,22.85,9,0.2,648,14.09,669,14.54,1,0.08,385,32.08,6,0.86,16,2.29,82,11.71,4,0.57,218,31.14
Ibaraki,31001,258.34,1034,13.79,1181,15.75,6625,88.33,11909,158.79,873,11.64,4657,62.09,157,2.09,799,10.65,21,0.28,1039,13.85,563,7.51,6,0.35,655,38.53,2,0.15,-,-,96,7.38,-,-,122,9.38
