"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2nd week, 2020",,,,,,"Data collected as of January 16, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,155578,32.4,1677,0.55,2315,0.76,9904,3.24,24568,8.03,3003,0.98,967,0.32,2471,0.81,1298,0.42,144,0.05,248,0.08,11,0.02,622,0.94,13,0.03,13,0.03,285,0.6,1,0,16,0.03
Hokkaido,6163,29.21,232,1.81,110,0.86,491,3.84,440,3.44,114,0.89,13,0.1,224,1.75,35,0.27,4,0.03,3,0.02,-,-,21,0.75,-,-,1,0.05,26,1.18,-,-,-,-
Aomori,1830,28.15,36,0.86,15,0.36,80,1.9,286,6.81,25,0.6,39,0.93,28,0.67,22,0.52,-,-,1,0.02,-,-,10,0.91,-,-,-,-,3,0.5,-,-,-,-
Iwate,2058,31.18,25,0.61,18,0.44,161,3.93,242,5.9,25,0.61,29,0.71,27,0.66,22,0.54,-,-,3,0.07,-,-,7,0.5,-,-,-,-,3,0.16,-,-,-,-
Miyagi,2357,25.07,33,0.57,43,0.74,199,3.43,342,5.9,79,1.36,33,0.57,19,0.33,22,0.38,-,-,-,-,1,0.08,8,0.67,-,-,-,-,15,1.25,-,-,-,-
Akita,3510,66.23,22,0.65,9,0.26,48,1.41,112,3.29,16,0.47,10,0.29,4,0.12,7,0.21,-,-,1,0.03,1,0.17,1,0.17,1,0.13,-,-,2,0.25,-,-,1,0.13
Yamagata,1005,25.13,10,0.37,37,1.37,182,6.74,157,5.81,55,2.04,-,-,17,0.63,15,0.56,1,0.04,1,0.04,-,-,6,0.75,1,0.1,-,-,5,0.5,-,-,-,-
Fukushima,3665,44.16,41,0.82,38,0.76,198,3.96,252,5.04,59,1.18,11,0.22,79,1.58,28,0.56,-,-,5,0.1,-,-,34,2.62,-,-,-,-,4,0.57,-,-,-,-
Ibaraki,5298,44.15,37,0.49,49,0.65,246,3.28,680,9.07,139,1.85,12,0.16,36,0.48,27,0.36,1,0.01,6,0.08,-,-,28,1.65,-,-,1,0.08,11,0.92,-,-,-,-
Tochigi,2080,27.37,22,0.46,16,0.33,79,1.65,272,5.67,38,0.79,9,0.19,15,0.31,19,0.4,-,-,5,0.1,-,-,6,0.5,-,-,-,-,7,1,-,-,-,-
Gunma,2986,39.29,13,0.28,27,0.57,129,2.74,347,7.38,59,1.26,13,0.28,23,0.49,27,0.57,3,0.06,1,0.02,-,-,14,1.27,1,0.11,-,-,8,0.89,-,-,-,-
