"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22nd week, 2017",,,,,,"Data collected as of June 7, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1353890,273.24,18311,5.79,30120,9.52,164600,52.04,419554,132.64,25942,8.2,22710,7.18,5541,1.75,30412,9.61,550,0.17,4555,1.44,41652,13.17,191,0.28,8741,12.6,222,0.47,347,0.73,3745,7.85,114,0.24,4381,9.18
Hokkaido,48881,217.25,1522,10.79,2049,14.53,12129,86.02,10002,70.94,1479,10.49,156,1.11,180,1.28,856,6.07,37,0.26,61,0.43,1321,9.37,8,0.29,219,7.82,5,0.22,11,0.48,113,4.91,-,-,160,6.96
Aomori,15279,238.73,106,2.59,297,7.24,1856,45.27,4077,99.44,219,5.34,153,3.73,156,3.8,394,9.61,2,0.05,58,1.41,256,6.24,1,0.09,72,6.55,5,0.83,-,-,88,14.67,-,-,58,9.67
Iwate,14357,224.33,124,3.18,669,17.15,2634,67.54,4806,123.23,173,4.44,23,0.59,80,2.05,425,10.9,-,-,6,0.15,622,15.95,3,0.21,88,6.29,4,0.21,2,0.11,127,6.68,-,-,92,4.84
Miyagi,26964,283.83,237,4.02,588,9.97,3723,63.1,6025,102.12,535,9.07,69,1.17,59,1,694,11.76,6,0.1,22,0.37,246,4.17,-,-,48,4,2,0.17,-,-,112,9.33,-,-,51,4.25
Akita,13095,242.5,118,3.37,138,3.94,1268,36.23,2821,80.6,225,6.43,549,15.69,29,0.83,173,4.94,4,0.11,29,0.83,71,2.03,5,0.71,27,3.86,1,0.13,-,-,100,12.5,1,0.13,54,6.75
Yamagata,11380,242.13,140,4.67,236,7.87,3827,127.57,3255,108.5,336,11.2,57,1.9,137,4.57,432,14.4,12,0.4,22,0.73,386,12.87,-,-,40,5,1,0.1,4,0.4,91,9.1,-,-,58,5.8
Fukushima,23678,307.51,303,6.59,325,7.07,2671,58.07,4545,98.8,453,9.85,25,0.54,245,5.33,612,13.3,6,0.13,16,0.35,244,5.3,1,0.08,203,16.92,5,0.71,4,0.57,54,7.71,4,0.57,215,30.71
Ibaraki,30806,256.72,171,2.28,506,6.75,4180,55.73,8176,109.01,564,7.52,118,1.57,96,1.28,426,5.68,11,0.15,25,0.33,362,4.83,3,0.18,339,19.94,2,0.15,-,-,61,4.69,-,-,122,9.38
