"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51st week, 2015",,,,,,"Data collected as of December 24, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1160945,235.72,111002,35.27,69072,21.95,387406,123.1,941498,299.17,73685,23.41,381230,121.14,94898,30.16,83070,26.4,2617,0.83,98071,31.16,76542,24.32,476,0.69,24172,35.18,432,0.91,1036,2.18,9779,20.54,396,0.83,4251,8.93
Hokkaido,42416,187.68,6667,46.95,5121,36.06,25718,181.11,21618,152.24,3732,26.28,14472,101.92,4994,35.17,2360,16.62,81,0.57,3475,24.47,5115,36.02,8,0.29,586,20.93,9,0.41,14,0.64,486,22.09,2,0.09,414,18.82
Aomori,14814,227.91,1248,29.71,680,16.19,3029,72.12,7497,178.5,738,17.57,6017,143.26,978,23.29,975,23.21,10,0.24,688,16.38,308,7.33,-,-,264,24,11,1.83,15,2.5,214,35.67,-,-,121,20.17
Iwate,15512,242.38,1541,39.51,538,13.79,6176,158.36,10586,271.44,969,24.85,4668,119.69,852,21.85,933,23.92,15,0.38,905,23.21,305,7.82,4,0.29,251,17.93,5,0.26,8,0.42,296,15.58,4,0.21,152,8
Miyagi,19754,210.15,2432,41.93,1169,20.16,7631,131.57,18783,323.84,1663,28.67,11051,190.53,1696,29.24,1835,31.64,2,0.03,1917,33.05,387,6.67,4,0.33,190,15.83,8,0.67,5,0.42,389,32.42,1,0.08,79,6.58
Akita,13622,257.02,882,25.94,587,17.26,2268,66.71,5788,170.24,583,17.15,2646,77.82,929,27.32,425,12.5,5,0.15,469,13.79,353,10.38,10,1.43,111,15.86,1,0.13,-,-,180,22.5,-,-,75,9.38
Yamagata,10107,215.04,1879,64.79,1120,38.62,6332,218.34,10793,372.17,906,31.24,6103,210.45,1374,47.38,1040,35.86,16,0.55,1192,41.1,1327,45.76,-,-,60,8.57,9,0.9,9,0.9,48,4.8,16,1.6,52,5.2
Fukushima,19299,253.93,3342,74.27,794,17.64,4913,109.18,10812,240.27,1206,26.8,7740,172,2265,50.33,1505,33.44,26,0.58,1017,22.6,1048,23.29,-,-,402,33.5,5,0.71,11,1.57,191,27.29,3,0.43,131,18.71
Ibaraki,22697,189.14,1812,24.16,1305,17.4,8367,111.56,20987,279.83,1723,22.97,6294,83.92,2584,34.45,1353,18.04,43,0.57,1642,21.89,2217,29.56,14,0.82,879,51.71,3,0.23,6,0.46,150,11.54,1,0.08,42,3.23
Tochigi,13986,184.03,1774,36.96,372,7.75,4268,88.92,6848,142.67,799,16.65,6418,133.71,1714,35.71,1374,28.63,51,1.06,462,9.63,841,17.52,6,0.5,320,26.67,4,0.57,22,3.14,140,20,5,0.71,49,7
Gunma,19729,203.39,1578,26.75,786,13.32,8404,142.44,17396,294.85,902,15.29,8503,144.12,1786,30.27,1548,26.24,62,1.05,1208,20.47,1077,18.25,1,0.08,1160,89.23,5,0.63,9,1.13,182,22.75,-,-,191,23.88
Saitama,41777,169.14,4257,27.11,4229,26.94,22401,142.68,52497,334.38,4703,29.96,23442,149.31,8516,54.24,4721,30.07,92,0.59,4570,29.11,6113,38.94,43,1.08,1568,39.2,9,0.9,43,4.3,259,25.9,20,2,113,11.3
Chiba,48610,230.38,2326,17.49,3394,25.52,18228,137.05,34812,261.74,3072,23.1,12792,96.18,5212,39.19,3297,24.79,130,0.98,4552,34.23,4110,30.9,17,0.52,1380,41.82,19,2.11,49,5.44,115,12.78,17,1.89,53,5.89
Tokyo,58963,143.81,6807,26.38,5195,20.14,33926,131.5,86495,335.25,6432,24.93,32583,126.29,10011,38.8,7666,29.71,297,1.15,7193,27.88,4666,18.09,14,0.37,1226,32.26,41,1.71,71,2.96,715,29.79,58,2.42,96,4
Kanagawa,54489,169.22,3706,18.17,3646,17.87,21897,107.34,61655,302.23,6456,31.65,26761,131.18,6396,31.35,5881,28.83,103,0.5,5716,28.02,3057,14.99,73,1.59,2232,48.52,18,1.8,31,3.1,276,27.6,1,0.1,132,13.2
Niigata,26839,285.52,2868,48.61,3078,52.17,9820,166.44,16150,273.73,1699,28.8,11359,192.53,1357,23,1736,29.42,66,1.12,1769,29.98,1046,17.73,19,1.9,309,30.9,4,0.31,3,0.23,161,12.38,109,8.38,52,4
Toyama,11514,244.98,1087,37.48,784,27.03,3679,126.86,9665,333.28,897,30.93,3360,115.86,203,7,616,21.24,8,0.28,1129,38.93,446,15.38,3,0.43,73,10.43,2,0.4,-,-,322,64.4,-,-,33,6.6
Ishikawa,13517,281.6,1132,39.03,853,29.41,4965,171.21,9867,340.24,648,22.34,3146,108.48,898,30.97,688,23.72,7,0.24,564,19.45,2171,74.86,-,-,95,13.57,1,0.2,5,1,228,45.6,-,-,76,15.2
Fukui,11264,352,1264,57.45,609,27.68,2884,131.09,10412,473.27,336,15.27,3384,153.82,363,16.5,542,24.64,24,1.09,643,29.23,619,28.14,1,0.33,33,11,17,2.83,17,2.83,47,7.83,-,-,107,17.83
Yamanashi,8761,219.03,473,19.71,188,7.83,2748,114.5,5728,238.67,336,14,1765,73.54,705,29.38,415,17.29,4,0.17,950,39.58,90,3.75,1,0.11,180,20,6,0.6,58,5.8,113,11.3,3,0.3,68,6.8
Nagano,22487,261.48,1884,35.55,570,10.75,6700,126.42,14955,282.17,1008,19.02,7488,141.28,2137,40.32,1085,20.47,61,1.15,1942,36.64,621,11.72,3,0.3,204,20.4,5,0.45,6,0.55,284,25.82,-,-,83,7.55
Gifu,22054,256.44,1463,28.13,887,17.06,2685,51.63,10243,196.98,583,11.21,2248,43.23,1474,28.35,984,18.92,36,0.69,1834,35.27,240,4.62,1,0.09,96,8.73,2,0.4,13,2.6,257,51.4,-,-,77,15.4
Shizuoka,33809,244.99,2434,27.66,1987,22.58,17279,196.35,24303,276.17,1722,19.57,7971,90.58,2576,29.27,2017,22.92,66,0.75,3032,34.45,1829,20.78,11,0.52,351,16.71,11,1.1,23,2.3,306,30.6,43,4.3,56,5.6
Aichi,64943,333.04,4448,24.44,3116,17.12,19138,105.15,46646,256.3,3174,17.44,12191,66.98,3865,21.24,3963,21.77,140,0.77,7723,42.43,2738,15.04,30,0.88,508,14.94,20,1.43,23,1.64,375,26.79,-,-,185,13.21
Mie,17383,241.43,1692,37.6,1038,23.07,3810,84.67,12221,271.58,797,17.71,4060,90.22,876,19.47,1293,28.73,44,0.98,3486,77.47,205,4.56,10,0.83,70,5.83,15,1.67,19,2.11,173,19.22,4,0.44,12,1.33
Shiga,13698,263.42,812,26.19,542,17.48,2839,91.58,9084,293.03,893,28.81,3782,122,1519,49,644,20.77,19,0.61,1371,44.23,410,13.23,-,-,81,10.13,9,1.29,12,1.71,108,15.43,1,0.14,47,6.71
Kyoto,21890,180.91,1426,19.53,1259,17.25,4931,67.55,18563,254.29,1205,16.51,9179,125.74,1475,20.21,1302,17.84,28,0.38,1030,14.11,1229,16.84,4,0.24,298,17.53,3,0.5,10,1.67,76,12.67,8,1.33,100,16.67
