"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16th week, 2015",,,,,,"Data collected as of April 22, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1112464,226.02,25767,8.21,14985,4.77,123634,39.39,356756,113.65,26992,8.6,19447,6.2,20033,6.38,21926,6.99,505,0.16,1418,0.45,15281,4.87,136,0.2,4675,6.82,125,0.26,216,0.45,1680,3.54,96,0.2,2381,5.01
Hokkaido,40044,176.41,1630,11.4,1354,9.47,7684,53.73,7430,51.96,1199,8.38,768,5.37,894,6.25,672,4.7,14,0.1,31,0.22,1028,7.19,4,0.15,156,5.78,-,-,3,0.14,41,1.86,1,0.05,132,6
Aomori,14525,223.46,267,6.36,133,3.17,990,23.57,2794,66.52,269,6.4,98,2.33,361,8.6,256,6.1,1,0.02,7,0.17,41,0.98,-,-,87,7.91,3,0.5,5,0.83,37,6.17,-,-,72,12
Iwate,14637,225.18,240,6,140,3.5,1813,45.33,4544,113.6,405,10.13,13,0.33,249,6.23,247,6.18,3,0.08,10,0.25,54,1.35,-,-,80,5.71,1,0.05,2,0.11,73,3.84,2,0.11,115,6.05
Miyagi,19045,204.78,313,5.4,232,4,2294,39.55,8553,147.47,625,10.78,186,3.21,808,13.93,477,8.22,-,-,13,0.22,119,2.05,1,0.08,47,3.92,1,0.08,3,0.25,114,9.5,-,-,60,5
Akita,12548,236.75,108,3.18,131,3.85,641,18.85,2495,73.38,238,7,28,0.82,40,1.18,108,3.18,1,0.03,3,0.09,209,6.15,7,1,33,4.71,-,-,-,-,65,8.13,-,-,7,0.88
Yamagata,9247,196.74,117,4.03,340,11.72,2292,79.03,4506,155.38,365,12.59,538,18.55,154,5.31,257,8.86,2,0.07,7,0.24,288,9.93,-,-,15,2.14,1,0.1,6,0.6,15,1.5,6,0.6,18,1.8
Fukushima,18128,238.53,619,13.76,221,4.91,1595,35.44,5051,112.24,374,8.31,306,6.8,340,7.56,337,7.49,8,0.18,7,0.16,390,8.67,-,-,112,9.33,-,-,4,0.57,65,9.29,1,0.14,86,12.29
Ibaraki,22120,184.33,390,5.2,298,3.97,2988,39.84,8622,114.96,542,7.23,209,2.79,360,4.8,340,4.53,2,0.03,24,0.32,225,3,-,-,195,11.47,-,-,-,-,17,1.31,-,-,35,2.69
Tochigi,13679,179.99,272,5.67,114,2.38,1213,25.27,3230,67.29,309,6.44,172,3.58,300,6.25,375,7.81,13,0.27,2,0.04,96,2,3,0.25,68,5.67,1,0.14,2,0.29,28,4,1,0.14,40,5.71
Gunma,19063,198.57,419,7.1,249,4.22,2746,46.54,6377,108.08,306,5.19,367,6.22,276,4.68,423,7.17,13,0.22,39,0.66,265,4.49,1,0.08,261,20.08,4,0.5,4,0.5,38,4.75,-,-,129,16.13
Saitama,40527,167.47,884,5.78,684,4.47,6730,43.99,20069,131.17,1516,9.91,322,2.1,1867,12.2,1249,8.16,17,0.11,40,0.26,1068,6.98,12,0.3,253,6.33,2,0.2,11,1.1,57,5.7,6,0.6,84,8.4
Chiba,46994,222.72,475,3.6,705,5.34,5737,43.46,13905,105.34,1007,7.63,166,1.26,1398,10.59,808,6.12,12,0.09,23,0.17,762,5.77,2,0.06,291,8.82,5,0.56,12,1.33,9,1,8,0.89,41,4.56
Tokyo,56745,138.74,1214,4.71,798,3.09,10679,41.39,32430,125.7,2108,8.17,415,1.61,3394,13.16,1978,7.67,60,0.23,60,0.23,927,3.59,4,0.11,216,5.68,9,0.36,20,0.8,65,2.6,11,0.44,59,2.36
Kanagawa,53173,161.13,836,4.08,531,2.59,7362,35.91,23744,115.82,2312,11.28,347,1.69,2760,13.46,1650,8.05,27,0.13,40,0.2,515,2.51,24,0.52,474,10.3,6,0.6,6,0.6,32,3.2,-,-,81,8.1
Niigata,25707,270.6,455,7.58,810,13.5,3877,64.62,6021,100.35,766,12.77,227,3.78,532,8.87,442,7.37,10,0.17,33,0.55,181,3.02,5,0.5,80,8,1,0.08,-,-,47,3.62,20,1.54,19,1.46
Toyama,10847,225.98,128,4.41,296,10.21,1401,48.31,3881,133.83,357,12.31,211,7.28,43,1.48,154,5.31,1,0.03,44,1.52,100,3.45,1,0.14,11,1.57,1,0.2,-,-,104,20.8,-,-,20,4
Ishikawa,13065,272.19,149,5.14,178,6.14,2544,87.72,4179,144.1,374,12.9,15,0.52,426,14.69,179,6.17,1,0.03,1,0.03,276,9.52,-,-,21,3,-,-,-,-,83,16.6,-,-,58,11.6
Fukui,10802,337.56,217,9.86,194,8.82,1186,53.91,4041,183.68,185,8.41,310,14.09,22,1,162,7.36,3,0.14,4,0.18,274,12.45,-,-,11,3.67,5,0.83,4,0.67,6,1,-,-,27,4.5
Yamanashi,8553,213.83,96,4,49,2.04,685,28.54,2434,101.42,118,4.92,3,0.13,29,1.21,95,3.96,1,0.04,4,0.17,13,0.54,-,-,39,4.33,2,0.2,1,0.1,12,1.2,-,-,44,4.4
Nagano,21581,250.94,335,6.32,96,1.81,1806,34.08,6186,116.72,346,6.53,71,1.34,231,4.36,263,4.96,13,0.25,5,0.09,35,0.66,-,-,61,6.1,-,-,4,0.36,84,7.64,-,-,49,4.45
