"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"52nd week, 2018",,,,,,"Data collected as of January 7, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Gifu,28975,336.92,1382,26.58,829,15.94,2757,53.02,10106,194.35,373,7.17,603,11.6,196,3.77,727,13.98,1089,20.94,257,4.94,3,0.27,192,17.45,1,0.2,10,2,64,12.8,-,-,95,19
Shizuoka,52845,382.93,2841,31.92,1848,20.76,7915,88.93,22998,258.4,884,9.93,1671,18.78,1049,11.79,1557,17.49,4394,49.37,1145,12.87,10,0.48,799,38.05,9,1,39,4.33,55,6.11,4,0.44,19,2.11
Aichi,93506,479.52,5207,28.61,2406,13.22,15740,86.48,43077,236.69,2730,15,2898,15.92,933,5.13,3073,16.88,5444,29.91,952,5.23,9,0.26,1118,31.94,11,0.73,34,2.27,219,14.6,3,0.2,160,10.67
Mie,29824,420.06,2377,54.02,1141,25.93,4777,108.57,12866,292.41,710,16.14,844,19.18,185,4.2,1105,25.11,2114,48.05,224,5.09,5,0.45,66,6,15,1.67,24,2.67,81,9,2,0.22,17,1.89
Shiga,18483,355.44,730,23.55,432,13.94,1938,62.52,7103,229.13,531,17.13,1421,45.84,86,2.77,523,16.87,1077,34.74,337,10.87,1,0.13,165,20.63,6,0.86,16,2.29,16,2.29,-,-,15,2.14
Kyoto,41578,332.62,1874,24.66,1046,13.76,5606,73.76,18219,239.72,954,12.55,2059,27.09,334,4.39,1228,16.16,1492,19.63,274,3.61,3,0.18,344,20.24,7,1,2,0.29,46,6.57,-,-,52,7.43
Osaka,98141,322.83,10174,51.38,5233,26.43,21301,107.58,55204,278.81,3919,19.79,4981,25.16,1641,8.29,4479,22.62,5293,26.73,1251,6.32,45,0.88,1283,25.16,19,1.12,26,1.53,165,9.71,2,0.12,239,14.06
Hyogo,70098,354.03,4749,37.1,2761,21.57,8912,69.63,38629,301.79,2421,18.91,3268,25.53,600,4.69,2359,18.43,2830,22.11,647,5.05,34,1,1260,37.06,37,2.85,32,2.46,87,6.69,2,0.15,117,9
Nara,17411,322.43,1638,48.18,704,20.71,2975,87.5,8358,245.82,477,14.03,1174,34.53,271,7.97,737,21.68,944,27.76,126,3.71,3,0.3,372,37.2,14,2.33,11,1.83,67,11.17,-,-,56,9.33
Wakayama,15685,326.77,1224,40.8,554,18.47,1387,46.23,4932,164.4,404,13.47,586,19.53,208,6.93,622,20.73,738,24.6,139,4.63,56,18.67,65,21.67,6,0.55,10,0.91,87,7.91,6,0.55,52,4.73
