"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43rd week, 2021",,,,,,"Data collected as of November 4, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,806,0.16,218473,69.29,28042,8.89,77550,24.6,367971,116.71,13902,4.41,43231,13.71,1883,0.6,51014,16.18,27632,8.76,6469,2.05,120,0.17,5704,8.22,298,0.62,377,0.79,609,1.27,18,0.04,65,0.14
Hokkaido,53,0.24,9374,67.44,1666,11.99,5502,39.58,7738,55.67,737,5.3,165,1.19,52,0.37,1291,9.29,80,0.58,165,1.19,2,0.07,110,3.93,4,0.18,1,0.05,33,1.5,-,-,3,0.14
Aomori,7,0.11,1326,31.57,281,6.69,435,10.36,4171,99.31,150,3.57,76,1.81,34,0.81,566,13.48,146,3.48,46,1.1,1,0.09,25,2.27,5,0.83,3,0.5,25,4.17,-,-,-,-
Iwate,3,0.05,1735,43.38,202,5.05,2054,51.35,4942,123.55,210,5.25,1423,35.58,24,0.6,808,20.2,224,5.6,68,1.7,-,-,93,6.64,4,0.21,6,0.32,20,1.05,-,-,4,0.21
Miyagi,12,0.13,5271,90.88,478,8.24,915,15.78,5641,97.26,339,5.84,541,9.33,41,0.71,1182,20.38,163,2.81,138,2.38,1,0.08,69,5.75,2,0.17,-,-,35,2.92,-,-,1,0.08
Akita,-,-,1607,47.26,163,4.79,750,22.06,2102,61.82,187,5.5,33,0.97,20,0.59,334,9.82,70,2.06,16,0.47,3,0.43,26,3.71,1,0.13,-,-,2,0.25,-,-,2,0.25
Yamagata,67,1.49,3031,104.52,430,14.83,1235,42.59,2649,91.34,112,3.86,65,2.24,14,0.48,614,21.17,385,13.28,50,1.72,-,-,51,6.38,2,0.2,-,-,4,0.4,-,-,1,0.1
Fukushima,15,0.18,4688,93.76,659,13.18,1474,29.48,4982,99.64,223,4.46,79,1.58,32,0.64,1214,24.28,187,3.74,106,2.12,1,0.08,153,11.77,6,0.86,1,0.14,2,0.29,-,-,3,0.43
Ibaraki,17,0.14,2656,35.41,469,6.25,1967,26.23,5920,78.93,255,3.4,159,2.12,33,0.44,785,10.47,773,10.31,125,1.67,-,-,316,18.59,1,0.08,2,0.17,88,7.33,-,-,1,0.08
Tochigi,10,0.13,2295,47.81,186,3.88,786,16.38,3323,69.23,137,2.85,85,1.77,37,0.77,914,19.04,150,3.13,113,2.35,4,0.33,162,13.5,5,0.71,20,2.86,16,2.29,-,-,-,-
Gunma,7,0.08,2229,42.06,383,7.23,765,14.43,5861,110.58,163,3.08,78,1.47,27,0.51,915,17.26,271,5.11,126,2.38,1,0.07,213,14.2,4,0.44,2,0.22,6,0.67,-,-,2,0.22
Saitama,29,0.12,8718,54.83,1289,8.11,2764,17.38,21356,134.31,786,4.94,384,2.42,120,0.75,2973,18.7,696,4.38,482,3.03,25,0.64,328,8.41,9,0.82,24,2.18,10,0.91,-,-,3,0.27
Chiba,38,0.18,6380,48.7,554,4.23,2527,19.29,9834,75.07,707,5.4,284,2.17,79,0.6,1926,14.7,535,4.08,331,2.53,4,0.12,287,8.7,7,0.78,13,1.44,13,1.44,-,-,3,0.33
Tokyo,33,0.08,16091,62.61,1299,5.05,3278,12.75,32703,127.25,1038,4.04,906,3.53,217,0.84,4569,17.78,1695,6.6,566,2.2,1,0.03,240,6.49,15,0.63,22,0.92,17,0.71,13,0.54,3,0.13
Kanagawa,26,0.08,11109,49.82,868,3.89,3163,14.18,20296,91.01,928,4.16,537,2.41,131,0.59,3430,15.38,548,2.46,495,2.22,10,0.2,779,15.58,8,0.73,14,1.27,21,1.91,-,-,2,0.18
Niigata,18,0.2,7368,131.57,1169,20.88,3519,62.84,4855,86.7,370,6.61,107,1.91,48,0.86,931,16.63,977,17.45,142,2.54,15,1.5,48,4.8,10,0.77,7,0.54,23,1.77,-,-,1,0.08
Toyama,5,0.11,3059,109.25,390,13.93,932,33.29,3267,116.68,123,4.39,91,3.25,31,1.11,410,14.64,188,6.71,36,1.29,-,-,4,0.57,3,0.6,2,0.4,12,2.4,-,-,1,0.2
Ishikawa,-,-,3387,116.79,487,16.79,640,22.07,3365,116.03,200,6.9,203,7,9,0.31,509,17.55,288,9.93,38,1.31,-,-,19,2.71,1,0.2,1,0.2,18,3.6,-,-,1,0.2
Fukui,-,-,2780,120.87,318,13.83,650,28.26,4102,178.35,108,4.7,42,1.83,6,0.26,398,17.3,242,10.52,26,1.13,-,-,11,3.67,19,3.17,3,0.5,2,0.33,-,-,-,-
Yamanashi,-,-,778,32.42,44,1.83,239,9.96,1882,78.42,57,2.38,20,0.83,19,0.79,226,9.42,13,0.54,45,1.88,1,0.11,48,5.33,2,0.2,5,0.5,4,0.4,-,-,-,-
Nagano,9,0.1,2773,52.32,220,4.15,991,18.7,6381,120.4,275,5.19,79,1.49,32,0.6,767,14.47,263,4.96,112,2.11,1,0.09,27,2.45,6,0.6,5,0.5,8,0.8,-,-,1,0.1
Gifu,30,0.35,3185,61.25,357,6.87,841,16.17,2909,55.94,82,1.58,73,1.4,23,0.44,545,10.48,629,12.1,55,1.06,1,0.09,53,4.82,1,0.2,-,-,4,0.8,-,-,1,0.2
Shizuoka,11,0.08,7393,84.01,728,8.27,1368,15.55,8865,100.74,333,3.78,122,1.39,53,0.6,1321,15.01,376,4.27,232,2.64,-,-,83,3.77,15,1.5,21,2.1,6,0.6,-,-,-,-
Aichi,32,0.16,8833,48.53,822,4.52,3554,19.53,16148,88.73,457,2.51,217,1.19,52,0.29,2003,11.01,1792,9.85,263,1.45,6,0.17,165,4.71,9,0.6,29,1.93,2,0.13,1,0.07,2,0.13
Mie,26,0.38,5025,114.2,330,7.5,511,11.61,5312,120.73,166,3.77,90,2.05,21,0.48,672,15.27,733,16.66,56,1.27,-,-,16,1.45,2,0.22,3,0.33,26,2.89,-,-,1,0.11
Shiga,27,0.46,1450,41.43,174,4.97,814,23.26,2839,81.11,147,4.2,303,8.66,15,0.43,452,12.91,825,23.57,69,1.97,-,-,13,1.63,12,1.71,6,0.86,4,0.57,-,-,-,-
Kyoto,66,0.53,3525,46.38,542,7.13,1705,22.43,7135,93.88,278,3.66,777,10.22,24,0.32,807,10.62,770,10.13,114,1.5,-,-,64,3.76,2,0.29,4,0.57,3,0.43,2,0.29,-,-
Osaka,76,0.26,15692,80.06,1928,9.84,4204,21.45,24570,125.36,788,4.02,3391,17.3,102,0.52,2817,14.37,1500,7.65,423,2.16,12,0.23,238,4.58,10,0.63,12,0.75,4,0.25,-,-,4,0.25
Hyogo,29,0.15,10606,82.86,1154,9.02,2076,16.22,19435,151.84,426,3.33,2436,19.03,66,0.52,1811,14.15,1100,8.59,272,2.13,1,0.03,272,7.77,11,0.79,36,2.57,10,0.71,1,0.07,6,0.43
Nara,1,0.02,3014,88.65,445,13.09,459,13.5,3943,115.97,90,2.65,325,9.56,16,0.47,540,15.88,158,4.65,39,1.15,1,0.1,86,8.6,9,1.5,4,0.67,4,0.67,-,-,3,0.5
Wakayama,1,0.02,2939,97.97,195,6.5,649,21.63,3269,108.97,99,3.3,66,2.2,13,0.43,425,14.17,130,4.33,45,1.5,-,-,23,5.75,17,1.55,12,1.09,14,1.27,-,-,1,0.09
Tottori,5,0.17,1395,73.42,273,14.37,2170,114.21,3147,165.63,105,5.53,61,3.21,10,0.53,293,15.42,343,18.05,21,1.11,1,0.2,24,4.8,6,1.2,4,0.8,1,0.2,-,-,-,-
Shimane,14,0.37,1603,69.7,175,7.61,317,13.78,4300,186.96,140,6.09,139,6.04,4,0.17,533,23.17,356,15.48,14,0.61,-,-,11,3.67,13,1.63,9,1.13,5,0.63,-,-,-,-
Okayama,40,0.48,2088,38.67,323,5.98,609,11.28,7929,146.83,191,3.54,1140,21.11,26,0.48,708,13.11,926,17.15,115,2.13,3,0.25,39,3.25,6,1.2,2,0.4,5,1,-,-,1,0.2
Hiroshima,20,0.18,4198,59.13,828,11.66,1004,14.14,12186,171.63,249,3.51,543,7.65,37,0.52,1002,14.11,1047,14.75,163,2.3,8,0.42,237,12.47,8,0.4,3,0.15,11,0.55,1,0.05,4,0.2
Yamaguchi,11,0.17,5901,131.13,265,5.89,1360,30.22,5687,126.38,156,3.47,1530,34,35,0.78,963,21.4,619,13.76,89,1.98,-,-,42,4.67,2,0.22,4,0.44,30,3.33,-,-,-,-
Tokushima,3,0.08,2911,126.57,208,9.04,238,10.35,3324,144.52,111,4.83,35,1.52,6,0.26,421,18.3,373,16.22,23,1,-,-,12,3,1,0.14,3,0.43,6,0.86,-,-,-,-
Kagawa,3,0.06,2154,76.93,338,12.07,565,20.18,5987,213.82,119,4.25,369,13.18,21,0.75,503,17.96,1086,38.79,76,2.71,2,0.4,18,3.6,2,0.4,4,0.8,1,0.2,-,-,-,-
Ehime,8,0.13,3153,87.58,304,8.44,1076,29.89,9639,267.75,136,3.78,781,21.69,23,0.64,865,24.03,599,16.64,93,2.58,1,0.13,249,31.13,3,0.5,4,0.67,1,0.17,-,-,2,0.33
Kochi,4,0.09,3208,114.57,221,7.89,395,14.11,3991,142.54,136,4.86,1053,37.61,35,1.25,400,14.29,1048,37.43,28,1,-,-,19,6.33,5,0.63,2,0.25,9,1.13,-,-,4,0.5
Fukuoka,5,0.03,12690,105.75,2200,18.33,9298,77.48,20508,170.9,735,6.13,9113,75.94,88,0.73,3030,25.25,1820,15.17,373,3.11,11,0.42,257,9.88,12,0.86,28,2,10,0.71,-,-,-,-
Saga,2,0.05,2249,97.78,428,18.61,803,34.91,1510,65.65,121,5.26,1141,49.61,8,0.35,743,32.3,267,11.61,31,1.35,-,-,16,4,6,1,7,1.17,7,1.17,-,-,-,-
Nagasaki,8,0.12,3144,73.12,537,12.49,2902,67.49,3187,74.12,309,7.19,1156,26.88,33,0.77,733,17.05,192,4.47,117,2.72,-,-,29,3.63,8,0.67,18,1.5,39,3.25,-,-,1,0.08
Kumamoto,3,0.04,3884,77.68,548,10.96,754,15.08,6215,124.3,245,4.9,4917,98.34,65,1.3,1425,28.5,601,12.02,94,1.88,-,-,195,21.67,1,0.07,11,0.73,3,0.2,-,-,1,0.07
Oita,2,0.03,2821,78.36,383,10.64,552,15.33,8696,241.56,337,9.36,2701,75.03,21,0.58,862,23.94,732,20.33,97,2.69,2,0.4,58,11.6,-,-,1,0.09,40,3.64,-,-,-,-
Miyazaki,3,0.05,3923,108.97,632,17.56,1838,51.06,8906,247.39,204,5.67,2264,62.89,28,0.78,1033,28.69,1072,29.78,100,2.78,-,-,150,25,-,-,2,0.29,-,-,-,-,-,-
Kagoshima,11,0.12,3561,65.94,1564,28.96,1701,31.5,10854,201,379,7.02,2978,55.15,47,0.87,928,17.19,509,9.43,150,2.78,-,-,108,15.43,3,0.25,4,0.33,1,0.08,-,-,1,0.08
Okinawa,16,0.28,1273,38.58,585,17.73,1201,36.39,2110,63.94,258,7.82,153,4.64,5,0.15,417,12.64,135,4.09,91,2.76,1,0.11,218,24.22,20,2.86,13,1.86,4,0.57,-,-,1,0.14
