"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23rd week, 2022",,,,,,"Data collected as of June 15, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Aichi,37,0.19,1424,7.82,358,1.97,1261,6.93,16213,89.08,195,1.07,211,1.16,29,0.16,880,4.84,52,0.29,96,0.53,1,0.03,67,1.91,9,0.6,7,0.47,-,-,-,-,1,0.07
Mie,6,0.09,102,2.32,191,4.34,208,4.73,4846,110.14,82,1.86,137,3.11,8,0.18,287,6.52,20,0.45,8,0.18,1,0.08,9,0.75,3,0.33,5,0.56,1,0.11,-,-,-,-
Shiga,11,0.18,66,1.83,77,2.14,224,6.22,2895,80.42,92,2.56,75,2.08,3,0.08,239,6.64,28,0.78,20,0.56,-,-,8,1,3,0.43,1,0.14,1,0.14,-,-,-,-
Kyoto,31,0.25,133,1.77,360,4.8,377,5.03,5309,70.79,81,1.08,158,2.11,23,0.31,302,4.03,46,0.61,30,0.4,-,-,30,1.67,1,0.17,1,0.17,-,-,2,0.33,1,0.17
Osaka,49,0.16,954,4.87,980,5,1185,6.05,17242,87.97,288,1.47,286,1.46,51,0.26,1222,6.23,85,0.43,128,0.65,7,0.14,91,1.78,-,-,6,0.38,-,-,-,-,2,0.13
Hyogo,14,0.07,246,1.94,429,3.38,651,5.13,15357,120.92,162,1.28,242,1.91,48,0.38,770,6.06,37,0.29,82,0.65,-,-,124,3.54,5,0.36,13,0.93,-,-,-,-,2,0.14
Nara,-,-,96,2.82,97,2.85,110,3.24,3107,91.38,36,1.06,76,2.24,2,0.06,215,6.32,13,0.38,13,0.38,-,-,36,3.6,-,-,2,0.33,1,0.17,-,-,-,-
Wakayama,1,0.02,16,0.53,112,3.73,154,5.13,2383,79.43,49,1.63,72,2.4,3,0.1,209,6.97,14,0.47,18,0.6,-,-,20,5,2,0.18,6,0.55,15,1.36,-,-,1,0.09
Tottori,2,0.07,27,1.42,118,6.21,839,44.16,1863,98.05,18,0.95,269,14.16,5,0.26,142,7.47,34,1.79,3,0.16,-,-,15,3,3,0.6,4,0.8,-,-,-,-,-,-
Shimane,-,-,278,12.09,89,3.87,123,5.35,2429,105.61,52,2.26,404,17.57,3,0.13,231,10.04,23,1,10,0.43,-,-,1,0.33,6,0.75,5,0.63,-,-,-,-,1,0.13
Okayama,35,0.42,127,2.35,157,2.91,171,3.17,6025,111.57,99,1.83,120,2.22,15,0.28,325,6.02,13,0.24,53,0.98,3,0.25,7,0.58,5,1,1,0.2,3,0.6,-,-,-,-
Hiroshima,11,0.1,425,5.99,406,5.72,274,3.86,7659,107.87,91,1.28,593,8.35,13,0.18,408,5.75,86,1.21,40,0.56,3,0.16,100,5.26,2,0.1,1,0.05,2,0.1,-,-,2,0.1
Yamaguchi,6,0.09,185,4.11,174,3.87,627,13.93,5048,112.18,62,1.38,85,1.89,10,0.22,366,8.13,45,1,28,0.62,-,-,44,4.89,-,-,-,-,5,0.56,-,-,-,-
Tokushima,-,-,28,1.22,107,4.65,72,3.13,1997,86.83,28,1.22,82,3.57,3,0.13,175,7.61,6,0.26,9,0.39,-,-,2,0.5,1,0.14,1,0.14,2,0.29,-,-,-,-
Kagawa,1,0.02,3,0.11,112,4,132,4.71,4005,143.04,54,1.93,76,2.71,15,0.54,253,9.04,13,0.46,25,0.89,-,-,11,2.2,1,0.2,1,0.2,1,0.2,-,-,1,0.2
Ehime,12,0.2,345,9.58,130,3.61,385,10.69,6254,173.72,54,1.5,58,1.61,15,0.42,381,10.58,9,0.25,31,0.86,-,-,116,16.57,1,0.17,-,-,-,-,-,-,3,0.5
Kochi,9,0.2,9,0.32,141,5.04,166,5.93,2098,74.93,52,1.86,21,0.75,9,0.32,207,7.39,6,0.21,16,0.57,-,-,7,2.33,4,0.5,-,-,4,0.5,-,-,6,0.75
Fukuoka,15,0.08,1896,15.8,780,6.5,2515,20.96,17506,145.88,304,2.53,311,2.59,32,0.27,1436,11.97,42,0.35,95,0.79,4,0.15,78,3,2,0.13,8,0.53,2,0.13,-,-,-,-
Saga,-,-,299,13.59,191,8.68,218,9.91,2427,110.32,56,2.55,101,4.59,9,0.41,326,14.82,7,0.32,8,0.36,1,0.25,14,3.5,2,0.33,5,0.83,1,0.17,-,-,4,0.67
Nagasaki,5,0.07,954,22.19,254,5.91,987,22.95,3493,81.23,68,1.58,90,2.09,13,0.3,341,7.93,8,0.19,20,0.47,5,0.71,48,6.86,9,0.75,2,0.17,1,0.08,-,-,4,0.33
Kumamoto,5,0.06,866,17.67,156,3.18,170,3.47,6995,142.76,120,2.45,186,3.8,21,0.43,655,13.37,75,1.53,23,0.47,-,-,60,6.67,1,0.07,7,0.47,2,0.13,-,-,3,0.2
Oita,7,0.12,162,4.5,138,3.83,177,4.92,8245,229.03,81,2.25,278,7.72,16,0.44,394,10.94,28,0.78,36,1,-,-,26,5.2,-,-,1,0.09,3,0.27,-,-,-,-
Miyazaki,14,0.24,1466,40.72,237,6.58,527,14.64,5726,159.06,99,2.75,138,3.83,11,0.31,455,12.64,26,0.72,28,0.78,-,-,64,10.67,-,-,-,-,-,-,-,-,-,-
Kagoshima,11,0.12,703,13.52,661,12.71,451,8.67,8891,170.98,115,2.21,1101,21.17,14,0.27,465,8.94,126,2.42,51,0.98,-,-,61,8.71,2,0.18,6,0.55,-,-,-,-,2,0.18
Okinawa,6,0.11,181,5.48,118,3.58,391,11.85,1193,36.15,81,2.45,1401,42.45,6,0.18,176,5.33,63,1.91,28,0.85,3,0.33,55,6.11,8,1.14,6,0.86,3,0.43,-,-,1,0.14
