"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"17th week, 2022",,,,,,"Data collected as of May 6, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,498,0.1,12364,3.94,6654,2.12,16960,5.4,238687,76.01,3882,1.24,7850,2.5,688,0.22,14844,4.73,1485,0.47,1336,0.43,51,0.07,1715,2.48,93,0.19,104,0.22,93,0.19,13,0.03,55,0.12
Hokkaido,14,0.06,994,7.2,388,2.81,1177,8.53,3058,22.16,229,1.66,67,0.49,12,0.09,345,2.5,19,0.14,40,0.29,5,0.18,35,1.25,4,0.18,-,-,7,0.32,1,0.05,6,0.27
Aomori,1,0.02,2,0.05,50,1.22,88,2.15,2167,52.85,44,1.07,113,2.76,6,0.15,195,4.76,1,0.02,18,0.44,-,-,13,1.18,-,-,1,0.17,11,1.83,-,-,1,0.17
Iwate,2,0.03,383,9.82,91,2.33,399,10.23,2574,66,84,2.15,24,0.62,14,0.36,240,6.15,35,0.9,19,0.49,-,-,21,1.5,2,0.11,2,0.11,3,0.16,-,-,2,0.11
Miyagi,14,0.15,89,1.56,84,1.47,269,4.72,4834,84.81,94,1.65,69,1.21,22,0.39,340,5.96,61,1.07,19,0.33,1,0.08,27,2.25,3,0.25,-,-,3,0.25,-,-,1,0.08
Akita,2,0.04,63,1.85,50,1.47,210,6.18,1416,41.65,102,3,5,0.15,1,0.03,82,2.41,1,0.03,3,0.09,1,0.14,3,0.43,-,-,-,-,1,0.13,-,-,1,0.13
Yamagata,3,0.07,3,0.1,127,4.38,219,7.55,3739,128.93,43,1.48,25,0.86,5,0.17,194,6.69,29,1,9,0.31,-,-,38,4.75,-,-,-,-,-,-,-,-,1,0.1
Fukushima,6,0.07,64,1.28,221,4.42,262,5.24,3811,76.22,86,1.72,114,2.28,23,0.46,398,7.96,25,0.5,16,0.32,-,-,42,3.23,1,0.14,3,0.43,1,0.14,-,-,1,0.14
Ibaraki,16,0.13,56,0.75,100,1.33,317,4.23,4745,63.27,69,0.92,83,1.11,6,0.08,184,2.45,13,0.17,36,0.48,-,-,87,5.12,1,0.08,-,-,17,1.42,-,-,-,-
Tochigi,8,0.11,147,3.06,36,0.75,231,4.81,2052,42.75,28,0.58,217,4.52,11,0.23,288,6,17,0.35,20,0.42,-,-,34,2.83,4,0.57,1,0.14,-,-,-,-,-,-
Gunma,3,0.03,67,1.24,98,1.81,160,2.96,5222,96.7,60,1.11,155,2.87,13,0.24,299,5.54,25,0.46,36,0.67,1,0.08,43,3.31,1,0.11,-,-,-,-,-,-,-,-
Saitama,19,0.08,79,0.5,210,1.33,351,2.22,13888,87.9,213,1.35,180,1.14,49,0.31,784,4.96,44,0.28,90,0.57,9,0.23,99,2.54,1,0.09,9,0.82,1,0.09,-,-,-,-
Chiba,22,0.11,12,0.09,129,1.01,557,4.35,9904,77.38,146,1.14,136,1.06,27,0.21,576,4.5,30,0.23,74,0.58,2,0.06,62,1.94,4,0.44,3,0.33,3,0.33,-,-,-,-
Tokyo,20,0.05,111,0.44,191,0.75,594,2.34,22288,87.75,234,0.92,378,1.49,58,0.23,1177,4.63,70,0.28,130,0.51,-,-,87,2.35,4,0.16,6,0.24,2,0.08,9,0.36,2,0.08
Kanagawa,30,0.09,65,0.29,161,0.73,718,3.25,14574,65.95,217,0.98,338,1.53,47,0.21,935,4.23,76,0.34,104,0.47,3,0.06,224,4.48,1,0.09,9,0.82,5,0.45,1,0.09,3,0.27
Niigata,7,0.08,22,0.39,250,4.39,1026,18,2221,38.96,96,1.68,330,5.79,14,0.25,319,5.6,148,2.6,38,0.67,7,0.7,16,1.6,3,0.25,2,0.17,2,0.17,-,-,1,0.08
Toyama,1,0.02,603,20.79,185,6.38,253,8.72,3118,107.52,41,1.41,105,3.62,7,0.24,117,4.03,72,2.48,4,0.14,-,-,9,1.29,2,0.4,-,-,1,0.2,-,-,-,-
Ishikawa,4,0.08,39,1.34,153,5.28,167,5.76,3082,106.28,72,2.48,48,1.66,4,0.14,125,4.31,13,0.45,7,0.24,-,-,8,1.14,1,0.2,1,0.2,3,0.6,-,-,1,0.2
Fukui,1,0.03,195,8.48,99,4.3,152,6.61,2433,105.78,29,1.26,536,23.3,33,1.43,103,4.48,106,4.61,10,0.43,-,-,5,1.67,3,0.5,1,0.17,1,0.17,-,-,-,-
Yamanashi,2,0.05,12,0.5,2,0.08,22,0.92,1337,55.71,28,1.17,30,1.25,3,0.13,70,2.92,1,0.04,7,0.29,-,-,12,1.33,-,-,-,-,-,-,-,-,1,0.1
Nagano,19,0.22,59,1.09,51,0.94,161,2.98,3700,68.52,89,1.65,83,1.54,11,0.2,200,3.7,51,0.94,21,0.39,-,-,15,1.36,2,0.18,2,0.18,-,-,-,-,3,0.27
Gifu,14,0.16,279,5.37,132,2.54,138,2.65,2722,52.35,32,0.62,56,1.08,-,-,159,3.06,9,0.17,10,0.19,-,-,7,0.64,-,-,1,0.2,1,0.2,-,-,-,-
